------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Utah",49000,8.2,143466,"10 of 52"
"United States",00000,12.7,27437114,"N/A"
"Rich County",49033,1.9,26,"5 of 3141"
"Morgan County",49029,2.8,172,"12 of 3141"
"Davis County",49011,4.4,8464,"59 of 3141"
"Daggett County",49009,4.9,24,"90 of 3141"
"Utah County",49049,6.0,16980,"201 of 3141"
"Kane County",49025,6.2,310,"217 of 3141"
"Summit County",49043,6.3,1656,"236 of 3141"
"Box Elder County",49003,6.5,1995,"279 of 3141"
"Emery County",49015,6.7,424,"302 of 3141"
"Cache County",49005,6.7,4055,"311 of 3141"
"Wasatch County",49051,7.0,1215,"344 of 3141"
"Iron County",49021,7.5,2028,"459 of 3141"
"Juab County",49023,7.6,453,"468 of 3141"
"Washington County",49053,7.6,7467,"477 of 3141"
"Tooele County",49045,8.1,2928,"607 of 3141"
"Garfield County",49017,8.8,296,"739 of 3141"
"Grand County",49019,8.9,585,"770 of 3141"
"Beaver County",49001,9.2,351,"845 of 3141"
"Salt Lake County",49035,9.8,67727,"985 of 3141"
"Weber County",49057,9.9,14810,"1008 of 3141"
"Sevier County",49041,10.0,1291,"1030 of 3141"
"Carbon County",49007,10.3,1351,"1113 of 3141"
"Millard County",49027,10.4,796,"1135 of 3141"
"Sanpete County",49039,10.9,1822,"1247 of 3141"
"Wayne County",49055,11.4,204,"1359 of 3141"
"Duchesne County",49013,12.6,1455,"1602 of 3141"
"Uintah County",49047,14.1,2927,"1846 of 3141"
"Piute County",49031,15.9,216,"2117 of 3141"
"San Juan County",49037,16.3,1438,"2173 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
