------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Utah",49000,65325.000000000,"14 of 52"
"Piute County",49031,41750.000000000,"2272 of 3141"
"Wayne County",49055,42444.000000000,"2198 of 3141"
"San Juan County",49037,42581.000000000,"2184 of 3141"
"Iron County",49021,45422.000000000,"1881 of 3141"
"Grand County",49019,46658.000000000,"1720 of 3141"
"Carbon County",49007,46994.000000000,"1682 of 3141"
"Beaver County",49001,47878.000000000,"1591 of 3141"
"Kane County",49025,50266.000000000,"1329 of 3141"
"Sevier County",49041,50850.000000000,"1255 of 3141"
"Sanpete County",49039,50928.000000000,"1239 of 3141"
"Garfield County",49017,51700.000000000,"1154 of 3141"
"Emery County",49015,51852.000000000,"1134 of 3141"
"Rich County",49033,52917.000000000,"1025 of 3141"
"Cache County",49005,53812.000000000,"943 of 3141"
"Washington County",49053,55175.000000000,"829 of 3141"
"Juab County",49023,57590.000000000,"656 of 3141"
"Box Elder County",49003,58835.000000000,"579 of 3141"
"Millard County",49027,59312.000000000,"557 of 3141"
"Weber County",49057,62036.000000000,"421 of 3141"
"Duchesne County",49013,63000.000000000,"377 of 3141"
"Tooele County",49045,66542.000000000,"277 of 3141"
"Uintah County",49047,67012.000000000,"269 of 3141"
"Utah County",49049,67042.000000000,"268 of 3141"
"Salt Lake County",49035,67922.000000000,"250 of 3141"
"Wasatch County",49051,74552.000000000,"163 of 3141"
"Davis County",49011,75961.000000000,"146 of 3141"
"Daggett County",49009,85000.000000000,"68 of 3141"
"Morgan County",49029,86071.000000000,"62 of 3141"
"Summit County",49043,94952.000000000,"26 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
