------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=38&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=38&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for North Dakota by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"North Dakota(6)",38000,No,44.2 ,41.1, 47.3,173,33.7
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"McLean County(6)",38055,No,67 ,38.9, 108.4,4,36.8
"Rolette County(6)",38079,No,66.3 ,41.6, 100.2,5,42.6
"Barnes County(6)",38003,No,63.5 ,36.7, 102.2,4,41.7
"Stutsman County(6)",38093,No,54.6 ,37.1, 78,7,44.2
"Ward County(6)",38101,No,50.7 ,40.2, 63.1,17,39.2
"Burleigh County(6)",38015,No,47.4 ,39.1, 57.1,25,31.7
"Morton County(6)",38059,No,46.2 ,32.4, 64.1,8,31.2
"Richland County(6)",38077,No,45.4 ,27.4, 71.2,4,34.9
"Cass County(6)",38017,Yes,38.9 ,32.7, 45.8,30,29.4
"Stark County(6)",38089,Yes,38.3 ,25.1, 55.9,6,34.9
"Walsh County(6)",38099,Yes,36.5 ,21.2, 61.5,4,34.6
"Grand Forks County(6)",38035,Yes,35.9 ,26.6, 47.3,11,27.3
"Williams County(6)",38105,Yes,33.4 ,20.5, 51.1,4,34.4
"Adams County(6)",38001,Yes,* ,*, *,3 or fewer,*
"Benson County(6)",38005,Yes,* ,*, *,3 or fewer,*
"Billings County(6)",38007,Yes,* ,*, *,3 or fewer,*
"Bottineau County(6)",38009,Yes,* ,*, *,3 or fewer,*
"Bowman County(6)",38011,Yes,* ,*, *,3 or fewer,*
"Burke County(6)",38013,Yes,* ,*, *,3 or fewer,*
"Cavalier County(6)",38019,Yes,* ,*, *,3 or fewer,*
"Dickey County(6)",38021,Yes,* ,*, *,3 or fewer,*
"Divide County(6)",38023,Yes,* ,*, *,3 or fewer,*
"Dunn County(6)",38025,Yes,* ,*, *,3 or fewer,*
"Eddy County(6)",38027,Yes,* ,*, *,3 or fewer,*
"Emmons County(6)",38029,Yes,* ,*, *,3 or fewer,*
"Foster County(6)",38031,Yes,* ,*, *,3 or fewer,*
"Golden Valley County(6)",38033,Yes,* ,*, *,3 or fewer,*
"Grant County(6)",38037,Yes,* ,*, *,3 or fewer,*
