------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for California by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"California(3)",06000,Yes,41.6 ,41.2, 42,8827,33.9
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Plumas County(7)",06063,No,59.2 ,39.3, 86.1,8,40.2
"Napa County(7)",06055,No,53 ,46.1, 60.6,46,37.2
"Glenn County(7)",06021,No,52.5 ,36.1, 73.6,7,32.7
"Santa Cruz County(7)",06087,No,50.1 ,45, 55.6,77,35.3
"Shasta County(7)",06089,No,48.9 ,43, 55.4,58,32.0
"Siskiyou County(7)",06093,No,48.3 ,36.9, 62.5,15,42.9
"Nevada County(7)",06057,No,48.3 ,40.3, 57.6,33,31.7
"San Luis Obispo County(7)",06079,No,46.6 ,41.7, 51.9,78,31.0
"Lassen County(7)",06035,No,46.4 ,31.5, 66.1,7,43.6
"San Diego County(7)",06073,No,45.9 ,44.5, 47.4,804,35.3
"Tehama County(7)",06103,No,45.3 ,36, 56.3,18,35.2
"Marin County(7)",06041,No,45 ,40.5, 49.9,83,29.9
"Mariposa County(7)",06043,No,44.9 ,28.1, 69.1,6,31.5
"Imperial County(7)",06025,No,44.7 ,38.5, 51.7,38,42.0
"Butte County(7)",06007,No,44.6 ,39.4, 50.4,61,32.2
"Lake County(7)",06033,No,44.5 ,35.5, 55.3,20,38.9
"San Joaquin County(7)",06077,No,43.8 ,40.8, 47,161,36.9
"Solano County(7)",06095,No,43.7 ,40, 47.6,110,34.2
"San Bernardino County(7)",06071,No,43.1 ,41.3, 44.9,449,38.2
"Sacramento County(7)",06067,No,43 ,40.9, 45.1,355,32.5
"Santa Barbara County(7)",06083,No,42.9 ,39.1, 47,100,31.7
"Contra Costa County(7)",06013,No,42.9 ,40.6, 45.2,287,32.6
"Yolo County(7)",06113,No,42.4 ,36.8, 48.6,43,32.8
"Sonoma County(7)",06097,No,42.4 ,39.1, 45.9,137,31.3
"El Dorado County(7)",06017,No,42.2 ,37, 48.1,53,31.7
"Ventura County(7)",06111,Yes,42 ,39.4, 44.7,203,31.9
"Placer County(7)",06061,Yes,41.8 ,38.1, 45.7,102,28.8
"Merced County(7)",06047,Yes,41.7 ,36.6, 47.2,50,40.4
"Sutter County(7)",06101,Yes,41.2 ,33.7, 49.9,22,34.5
"Humboldt County(7)",06023,Yes,41.1 ,34.7, 48.4,33,34.7
"Los Angeles County(7)",06037,Yes,41.1 ,40.3, 41.9,2260,35.2
"Orange County(7)",06059,Yes,40.6 ,39.2, 41.9,723,32.5
"Inyo County(7)",06027,Yes,40.3 ,26, 60.7,6,30.4
"Riverside County(7)",06065,Yes,40.2 ,38.6, 41.9,493,34.7
"Alameda County(7)",06001,Yes,39.7 ,37.9, 41.7,363,32.7
"Stanislaus County(7)",06099,Yes,39.7 ,36.4, 43.3,108,33.1
"Santa Clara County(7)",06085,Yes,39.7 ,38, 41.5,407,32.4
"Monterey County(7)",06053,Yes,39.6 ,35.8, 43.7,84,33.9
