------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Tennessee",47000,29.0,1915756,"23 of 52"
"United States",00000,29.8,95565066,"N/A"
"Pickett County",47137,17.7,899,"64 of 3141"
"Cumberland County",47035,20.7,12014,"245 of 3141"
"Van Buren County",47175,20.8,1180,"261 of 3141"
"Clay County",47027,20.9,1607,"288 of 3141"
"Benton County",47005,21.7,3500,"376 of 3141"
"Loudon County",47105,22.2,11313,"473 of 3141"
"Fentress County",47049,22.3,3995,"496 of 3141"
"Roane County",47145,22.3,11789,"498 of 3141"
"Jackson County",47087,22.4,2589,"524 of 3141"
"Cocke County",47029,22.6,7966,"580 of 3141"
"Lewis County",47101,22.7,2708,"593 of 3141"
"Moore County",47127,22.8,1435,"621 of 3141"
"Decatur County",47039,22.9,2670,"646 of 3141"
"Hardin County",47071,22.9,5912,"663 of 3141"
"Houston County",47083,23.2,1899,"749 of 3141"
"Polk County",47139,23.3,3895,"771 of 3141"
"Fayette County",47047,23.5,9241,"819 of 3141"
"Henry County",47079,23.5,7580,"821 of 3141"
"Hawkins County",47073,23.5,13263,"831 of 3141"
"Williamson County",47187,23.6,50048,"850 of 3141"
"Hancock County",47067,23.7,1566,"881 of 3141"
"White County",47185,23.8,6270,"899 of 3141"
"Stewart County",47161,23.8,3155,"916 of 3141"
"Meigs County",47121,23.9,2823,"928 of 3141"
"Overton County",47133,23.9,5258,"944 of 3141"
"Unicoi County",47171,23.9,4263,"945 of 3141"
"Lincoln County",47103,24.0,8035,"959 of 3141"
"Marion County",47115,24.0,6797,"960 of 3141"
"Grainger County",47057,24.0,5504,"970 of 3141"
"Sullivan County",47163,24.1,37693,"1001 of 3141"
"Monroe County",47123,24.5,11193,"1113 of 3141"
"Obion County",47131,24.5,7517,"1120 of 3141"
"Greene County",47059,24.7,16905,"1179 of 3141"
"Sequatchie County",47153,24.7,3625,"1205 of 3141"
"Giles County",47055,24.7,7181,"1207 of 3141"
"Smith County",47159,24.8,4777,"1229 of 3141"
"Perry County",47135,24.8,1956,"1244 of 3141"
"McNairy County",47109,24.9,6461,"1278 of 3141"
"Anderson County",47001,25.0,18891,"1322 of 3141"
"Grundy County",47061,25.0,3345,"1330 of 3141"
"McMinn County",47107,25.0,13166,"1333 of 3141"
"Henderson County",47077,25.1,6999,"1353 of 3141"
"Carroll County",47017,25.1,7069,"1360 of 3141"
"Carter County",47019,25.1,14198,"1361 of 3141"
"Jefferson County",47089,25.1,13301,"1367 of 3141"
"Humphreys County",47085,25.2,4601,"1375 of 3141"
"Campbell County",47013,25.2,10025,"1379 of 3141"
"Gibson County",47053,25.3,12449,"1411 of 3141"
"Dyer County",47045,25.3,9567,"1429 of 3141"
"Blount County",47009,25.4,32237,"1434 of 3141"
"Union County",47173,25.4,4874,"1455 of 3141"
"Lawrence County",47099,25.5,10843,"1473 of 3141"
"Crockett County",47033,25.5,3718,"1508 of 3141"
"Cannon County",47015,25.6,3538,"1514 of 3141"
"Wilson County",47189,25.6,32988,"1525 of 3141"
"Coffee County",47031,25.7,13880,"1550 of 3141"
"Cheatham County",47021,25.8,10253,"1597 of 3141"
"Johnson County",47091,25.9,4615,"1607 of 3141"
"Sevier County",47155,26.0,24859,"1663 of 3141"
"Warren County",47177,26.1,10495,"1682 of 3141"
"Rhea County",47143,26.2,8501,"1706 of 3141"
"Bledsoe County",47007,26.3,3795,"1756 of 3141"
