------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Tennessee",47000,48.3,3183978,"22 of 52"
"Montgomery County",47125,35.7,68632,"3099 of 3141"
"Rutherford County",47149,40.5,120911,"2956 of 3141"
"Davidson County",47037,41.7,283130,"2903 of 3141"
"Shelby County",47157,43.9,411489,"2765 of 3141"
"Putnam County",47141,45.6,34428,"2606 of 3141"
"Tipton County",47167,46.1,28306,"2546 of 3141"
"Chester County",47023,46.1,7885,"2541 of 3141"
"Bedford County",47003,46.7,21858,"2480 of 3141"
"Knox County",47093,46.8,211600,"2466 of 3141"
"Trousdale County",47169,47.0,4127,"2431 of 3141"
"Lauderdale County",47097,47.5,12576,"2374 of 3141"
"Madison County",47113,47.8,46806,"2306 of 3141"
"Weakley County",47183,47.9,16163,"2298 of 3141"
"Scott County",47151,47.9,10504,"2297 of 3141"
"Robertson County",47147,48.2,33021,"2243 of 3141"
"Williamson County",47187,48.5,102957,"2180 of 3141"
"Maury County",47119,48.6,42591,"2169 of 3141"
"Bradley County",47011,48.9,50686,"2117 of 3141"
"Marshall County",47117,49.0,15561,"2103 of 3141"
"Macon County",47111,49.1,11405,"2090 of 3141"
"Sumner County",47165,49.3,86705,"2038 of 3141"
"Dickson County",47043,49.4,25337,"2036 of 3141"
"Hamilton County",47065,49.4,175280,"2023 of 3141"
"Lawrence County",47099,49.5,21084,"2010 of 3141"
"Washington County",47179,49.7,62848,"1971 of 3141"
"Haywood County",47075,50.0,8973,"1909 of 3141"
"Crockett County",47033,50.1,7285,"1901 of 3141"
"Warren County",47177,50.1,20134,"1898 of 3141"
"Coffee County",47031,50.2,27160,"1858 of 3141"
"Gibson County",47053,50.2,24727,"1856 of 3141"
"Wilson County",47189,50.3,64760,"1851 of 3141"
"Lake County",47095,50.3,3817,"1845 of 3141"
"Hamblen County",47063,50.3,31937,"1839 of 3141"
"Dyer County",47045,50.6,19104,"1765 of 3141"
"Hardeman County",47069,50.7,13076,"1738 of 3141"
"DeKalb County",47041,50.9,9856,"1701 of 3141"
"Rhea County",47143,50.9,16532,"1690 of 3141"
"Cheatham County",47021,51.0,20244,"1674 of 3141"
"Hickman County",47081,51.2,12549,"1618 of 3141"
"Franklin County",47051,51.4,21285,"1565 of 3141"
"Smith County",47159,51.5,9924,"1553 of 3141"
"Henderson County",47077,51.8,14441,"1482 of 3141"
"Morgan County",47129,51.9,11224,"1463 of 3141"
"Union County",47173,52.4,10041,"1333 of 3141"
"Wayne County",47181,52.5,8767,"1308 of 3141"
"Grundy County",47061,52.5,7018,"1289 of 3141"
"McNairy County",47109,52.8,13705,"1218 of 3141"
