------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Tennessee",47000,13.5,603524,"38 of 52"
"Williamson County",47187,4.5,6152,"63 of 3141"
"Montgomery County",47125,8.2,9615,"615 of 3141"
"Knox County",47093,9.1,27332,"808 of 3141"
"Rutherford County",47149,9.2,16978,"818 of 3141"
"Wilson County",47189,9.3,8153,"854 of 3141"
"Sumner County",47165,10.4,12400,"1136 of 3141"
"Maury County",47119,10.6,6367,"1183 of 3141"
"Washington County",47179,10.9,9403,"1243 of 3141"
"Madison County",47113,11.2,7257,"1317 of 3141"
"Blount County",47009,11.3,10239,"1345 of 3141"
"Hamilton County",47065,11.3,28016,"1349 of 3141"
"Davidson County",47037,12.0,55568,"1482 of 3141"
"Shelby County",47157,12.4,75338,"1564 of 3141"
"Stewart County",47161,12.6,1187,"1608 of 3141"
"Moore County",47127,12.7,580,"1624 of 3141"
"Fayette County",47047,13.0,3702,"1666 of 3141"
"Robertson County",47147,13.3,6137,"1726 of 3141"
"Roane County",47145,13.3,5181,"1735 of 3141"
"Coffee County",47031,13.4,4925,"1743 of 3141"
"Tipton County",47167,13.6,5483,"1762 of 3141"
"Cheatham County",47021,13.9,3801,"1814 of 3141"
"Anderson County",47001,14.1,7550,"1839 of 3141"
"Sullivan County",47163,14.3,16194,"1877 of 3141"
"Franklin County",47051,14.4,4051,"1889 of 3141"
"Loudon County",47105,14.6,5464,"1922 of 3141"
"Putnam County",47141,14.7,7056,"1926 of 3141"
"Marshall County",47117,14.7,3200,"1941 of 3141"
"Henry County",47079,15.0,3491,"1982 of 3141"
"Chester County",47023,15.2,1653,"2017 of 3141"
"Giles County",47055,15.4,3148,"2045 of 3141"
"Cumberland County",47035,15.4,6796,"2050 of 3141"
"Gibson County",47053,15.4,5120,"2053 of 3141"
"Cannon County",47015,15.5,1527,"2070 of 3141"
"Bradley County",47011,15.8,11082,"2108 of 3141"
"Weakley County",47183,16.0,3431,"2130 of 3141"
"McMinn County",47107,16.0,5923,"2139 of 3141"
"Smith County",47159,16.2,2132,"2154 of 3141"
"Dyer County",47045,16.5,4197,"2192 of 3141"
"Sevier County",47155,16.5,11142,"2202 of 3141"
"Jefferson County",47089,16.6,6157,"2206 of 3141"
"Decatur County",47039,16.7,1399,"2219 of 3141"
"Lewis County",47101,16.8,1435,"2243 of 3141"
"Sequatchie County",47153,16.9,1744,"2256 of 3141"
"Humphreys County",47085,16.9,2182,"2259 of 3141"
"Obion County",47131,16.9,3626,"2262 of 3141"
"Hawkins County",47073,17.0,6866,"2266 of 3141"
"Dickson County",47043,17.1,5971,"2278 of 3141"
"Unicoi County",47171,17.1,2255,"2284 of 3141"
"Lincoln County",47103,17.2,4054,"2290 of 3141"
"Greene County",47059,17.2,8438,"2291 of 3141"
"Benton County",47005,17.2,2037,"2299 of 3141"
"White County",47185,17.3,3223,"2312 of 3141"
"Carter County",47019,17.5,7232,"2334 of 3141"
"Meigs County",47121,17.6,1503,"2345 of 3141"
"Hamblen County",47063,18.0,7850,"2387 of 3141"
"Morgan County",47129,18.6,2902,"2436 of 3141"
"Bedford County",47003,18.7,5752,"2450 of 3141"
"Marion County",47115,18.7,3790,"2459 of 3141"
"Carroll County",47017,19.0,3674,"2483 of 3141"
"Henderson County",47077,19.0,3676,"2486 of 3141"
"Haywood County",47075,19.2,2381,"2503 of 3141"
"Grainger County",47057,19.2,3156,"2504 of 3141"
"Lawrence County",47099,19.2,5500,"2508 of 3141"
"Van Buren County",47175,19.2,799,"2510 of 3141"
"Polk County",47139,19.5,2360,"2547 of 3141"
"Hardin County",47071,19.8,3700,"2583 of 3141"
"McNairy County",47109,19.8,3593,"2584 of 3141"
"Trousdale County",47169,20.2,1209,"2616 of 3141"
"Overton County",47133,20.4,3126,"2641 of 3141"
"Warren County",47177,20.7,5673,"2666 of 3141"
"Crockett County",47033,20.8,2049,"2673 of 3141"
"DeKalb County",47041,20.9,2847,"2684 of 3141"
"Cocke County",47029,21.0,5332,"2695 of 3141"
"Wayne County",47181,21.0,2580,"2698 of 3141"
"Macon County",47111,21.1,3303,"2704 of 3141"
"Hickman County",47081,21.3,3650,"2726 of 3141"
"Claiborne County",47025,21.4,4801,"2735 of 3141"
"Hardeman County",47069,21.6,3949,"2754 of 3141"
"Monroe County",47123,21.8,6991,"2777 of 3141"
"Scott County",47151,21.9,3260,"2784 of 3141"
"Jackson County",47087,22.2,1897,"2803 of 3141"
"Fentress County",47049,22.4,2855,"2819 of 3141"
"Rhea County",47143,22.7,5020,"2838 of 3141"
"Union County",47173,22.8,3064,"2842 of 3141"
"Houston County",47083,22.8,1304,"2851 of 3141"
"Johnson County",47091,22.8,3080,"2852 of 3141"
"Hancock County",47067,22.9,1092,"2853 of 3141"
"Clay County",47027,23.2,1297,"2873 of 3141"
"Campbell County",47013,24.7,7061,"2953 of 3141"
"Lauderdale County",47097,24.8,4454,"2958 of 3141"
"Perry County",47135,25.7,1432,"2992 of 3141"
"Pickett County",47137,26.1,1031,"3009 of 3141"
"Lake County",47095,26.5,1502,"3020 of 3141"
"Grundy County",47061,26.8,2493,"3028 of 3141"
"Bledsoe County",47007,26.8,2946,"3030 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
