------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Tennessee",47000,1.5,38270,"14 of 51"
"United States",00000,4.5,5305440,"N/A"
"Cheatham County",47021,0.0,0,"1 of 3140"
"Cocke County",47029,0.0,0,"1 of 3140"
"Grundy County",47061,0.0,0,"1 of 3140"
"Hancock County",47067,0.0,0,"1 of 3140"
"Hardeman County",47069,0.0,0,"1 of 3140"
"Meigs County",47121,0.0,0,"1 of 3140"
"Scott County",47151,0.0,0,"1 of 3140"
"Smith County",47159,0.0,0,"1 of 3140"
"Lincoln County",47103,0.1,13,"393 of 3140"
"Marion County",47115,0.1,12,"409 of 3140"
"Jackson County",47087,0.1,5,"414 of 3140"
"Henry County",47079,0.1,16,"431 of 3140"
"Wayne County",47181,0.1,7,"433 of 3140"
"Pickett County",47137,0.1,3,"472 of 3140"
"McNairy County",47109,0.1,14,"473 of 3140"
"Van Buren County",47175,0.1,3,"475 of 3140"
"Polk County",47139,0.1,10,"479 of 3140"
"Gibson County",47053,0.2,29,"494 of 3140"
"Overton County",47133,0.2,14,"509 of 3140"
"Claiborne County",47025,0.2,22,"538 of 3140"
"Campbell County",47013,0.2,27,"542 of 3140"
"Carter County",47019,0.2,41,"545 of 3140"
"Hardin County",47071,0.2,19,"566 of 3140"
"Roane County",47145,0.2,45,"600 of 3140"
"Bledsoe County",47007,0.2,10,"612 of 3140"
"Morgan County",47129,0.2,16,"621 of 3140"
"Carroll County",47017,0.2,26,"647 of 3140"
"Lake County",47095,0.2,5,"650 of 3140"
"Hickman County",47081,0.2,22,"682 of 3140"
"Lawrence County",47099,0.2,40,"687 of 3140"
"Humphreys County",47085,0.3,18,"701 of 3140"
"Dickson County",47043,0.3,50,"711 of 3140"
"Union County",47173,0.3,20,"738 of 3140"
"Clay County",47027,0.3,9,"754 of 3140"
"Washington County",47179,0.3,156,"777 of 3140"
"Giles County",47055,0.3,36,"799 of 3140"
"Chester County",47023,0.3,19,"809 of 3140"
"Fentress County",47049,0.3,24,"826 of 3140"
"Hawkins County",47073,0.3,79,"854 of 3140"
"Sullivan County",47163,0.3,229,"865 of 3140"
"Cannon County",47015,0.3,19,"875 of 3140"
"Henderson County",47077,0.4,38,"881 of 3140"
"Dyer County",47045,0.4,55,"899 of 3140"
"Haywood County",47075,0.4,29,"989 of 3140"
"Unicoi County",47171,0.4,33,"1036 of 3140"
"Sequatchie County",47153,0.5,25,"1071 of 3140"
"Greene County",47059,0.5,129,"1084 of 3140"
"Weakley County",47183,0.5,65,"1093 of 3140"
"Stewart County",47161,0.5,26,"1113 of 3140"
"Perry County",47135,0.5,17,"1149 of 3140"
"Benton County",47005,0.6,39,"1253 of 3140"
"DeKalb County",47041,0.6,44,"1281 of 3140"
"Cumberland County",47035,0.6,153,"1298 of 3140"
"White County",47185,0.6,61,"1308 of 3140"
"Tipton County",47167,0.6,139,"1344 of 3140"
"Crockett County",47033,0.7,37,"1394 of 3140"
"Lewis County",47101,0.7,32,"1396 of 3140"
"Fayette County",47047,0.7,106,"1416 of 3140"
"Monroe County",47123,0.7,123,"1419 of 3140"
"Maury County",47119,0.7,242,"1439 of 3140"
"Anderson County",47001,0.8,236,"1500 of 3140"
"Jefferson County",47089,0.8,156,"1507 of 3140"
"Madison County",47113,0.8,292,"1519 of 3140"
"Obion County",47131,0.8,102,"1527 of 3140"
"Coffee County",47031,0.8,177,"1554 of 3140"
"Sumner County",47165,0.9,553,"1594 of 3140"
"Johnson County",47091,0.9,60,"1599 of 3140"
