------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Tennessee",47000,16.7,1072360,"41 of 52"
"Williamson County",47187,4.6,9704,"20 of 3141"
"Moore County",47127,7.7,480,"207 of 3141"
"Wilson County",47189,9.2,11712,"393 of 3141"
"Sumner County",47165,9.7,16911,"481 of 3141"
"Robertson County",47147,11.3,7661,"778 of 3141"
"Rutherford County",47149,11.8,34716,"894 of 3141"
"Cheatham County",47021,12.7,4966,"1037 of 3141"
"Blount County",47009,13.0,16196,"1108 of 3141"
"Maury County",47119,13.0,11212,"1117 of 3141"
"Trousdale County",47169,13.3,1152,"1188 of 3141"
"Marshall County",47117,13.5,4213,"1231 of 3141"
"Loudon County",47105,13.7,6923,"1280 of 3141"
"Jefferson County",47089,13.8,7001,"1299 of 3141"
"Smith County",47159,14.1,2681,"1364 of 3141"
"Montgomery County",47125,14.2,26641,"1368 of 3141"
"Sequatchie County",47153,14.4,2073,"1416 of 3141"
"Fayette County",47047,14.4,5602,"1425 of 3141"
"Dickson County",47043,14.5,7344,"1434 of 3141"
"Hamilton County",47065,14.5,50043,"1443 of 3141"
"Tipton County",47167,14.6,8839,"1451 of 3141"
"Franklin County",47051,15.0,5918,"1536 of 3141"
"Coffee County",47031,15.2,8111,"1560 of 3141"
"Sevier County",47155,15.3,14396,"1586 of 3141"
"Roane County",47145,15.4,8045,"1616 of 3141"
"Knox County",47093,15.8,69448,"1685 of 3141"
"Giles County",47055,15.9,4498,"1734 of 3141"
"Cumberland County",47035,16.0,9129,"1737 of 3141"
"Anderson County",47001,16.3,12085,"1792 of 3141"
"Washington County",47179,16.5,20127,"1835 of 3141"
"Sullivan County",47163,16.6,25508,"1838 of 3141"
"Meigs County",47121,16.6,1911,"1860 of 3141"
"Davidson County",47037,16.9,111103,"1921 of 3141"
"Lincoln County",47103,16.9,5578,"1925 of 3141"
"Bedford County",47003,16.9,7828,"1928 of 3141"
"Cannon County",47015,17.0,2317,"1937 of 3141"
"Polk County",47139,17.0,2802,"1950 of 3141"
"Houston County",47083,17.1,1349,"1955 of 3141"
"Gibson County",47053,17.1,8231,"1970 of 3141"
"Greene County",47059,17.2,11422,"1986 of 3141"
"White County",47185,17.6,4562,"2061 of 3141"
"Crockett County",47033,17.7,2522,"2082 of 3141"
"Bradley County",47011,18.0,18048,"2152 of 3141"
"Marion County",47115,18.1,5045,"2158 of 3141"
"Dyer County",47045,18.1,6674,"2165 of 3141"
"Chester County",47023,18.2,2902,"2185 of 3141"
"Lawrence County",47099,18.3,7688,"2201 of 3141"
"Humphreys County",47085,18.4,3299,"2207 of 3141"
"Macon County",47111,18.6,4235,"2247 of 3141"
"Grainger County",47057,18.7,4253,"2258 of 3141"
"Pickett County",47137,18.8,936,"2274 of 3141"
"DeKalb County",47041,18.9,3592,"2294 of 3141"
"Stewart County",47161,19.0,2489,"2303 of 3141"
"Haywood County",47075,19.1,3377,"2309 of 3141"
"Hawkins County",47073,19.3,10737,"2349 of 3141"
"Van Buren County",47175,19.5,1083,"2359 of 3141"
"Henderson County",47077,19.5,5365,"2363 of 3141"
"Overton County",47133,19.6,4241,"2374 of 3141"
"Wayne County",47181,19.6,2882,"2386 of 3141"
"McMinn County",47107,19.7,10069,"2389 of 3141"
"Henry County",47079,19.7,6254,"2390 of 3141"
"Hickman County",47081,19.7,4523,"2392 of 3141"
"Hamblen County",47063,19.8,12232,"2398 of 3141"
"Carroll County",47017,19.8,5400,"2415 of 3141"
"Unicoi County",47171,20.1,3502,"2445 of 3141"
"Madison County",47113,20.3,19100,"2460 of 3141"
"Monroe County",47123,20.4,9132,"2472 of 3141"
"Weakley County",47183,20.5,6383,"2486 of 3141"
"Campbell County",47013,20.6,8071,"2493 of 3141"
"Bledsoe County",47007,20.7,2735,"2505 of 3141"
"Shelby County",47157,20.8,191520,"2516 of 3141"
"Hardeman County",47069,21.2,4664,"2556 of 3141"
"Hardin County",47071,21.5,5449,"2603 of 3141"
"Union County",47173,21.6,4080,"2620 of 3141"
"McNairy County",47109,21.6,5520,"2621 of 3141"
"Warren County",47177,21.6,8548,"2622 of 3141"
"Rhea County",47143,21.9,6849,"2641 of 3141"
"Lewis County",47101,22.1,2603,"2663 of 3141"
"Jackson County",47087,22.3,2532,"2672 of 3141"
"Benton County",47005,22.3,3566,"2682 of 3141"
"Claiborne County",47025,22.4,6768,"2686 of 3141"
"Decatur County",47039,22.6,2584,"2702 of 3141"
"Morgan County",47129,22.9,4279,"2733 of 3141"
"Obion County",47131,23.0,6937,"2737 of 3141"
"Fentress County",47049,23.0,4059,"2745 of 3141"
"Lauderdale County",47097,23.1,5451,"2755 of 3141"
"Putnam County",47141,23.3,16843,"2764 of 3141"
"Carter County",47019,24.5,13432,"2832 of 3141"
"Cocke County",47029,25.0,8688,"2860 of 3141"
"Johnson County",47091,25.3,4030,"2880 of 3141"
"Hancock County",47067,25.7,1652,"2903 of 3141"
"Scott County",47151,26.2,5630,"2921 of 3141"
"Clay County",47027,26.6,2018,"2948 of 3141"
"Grundy County",47061,28.5,3746,"3003 of 3141"
"Perry County",47135,29.4,2274,"3021 of 3141"
