------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Tennessee",47000,5.2,340063,"38 of 52"
"United States",00000,17.6,56510571,"N/A"
"Moore County",47127,0.2,11,"3120 of 3141"
"Houston County",47083,0.8,62,"3004 of 3141"
"Scott County",47151,0.8,176,"2995 of 3141"
"Pickett County",47137,0.9,44,"2975 of 3141"
"Hancock County",47067,0.9,59,"2963 of 3141"
"Van Buren County",47175,0.9,53,"2952 of 3141"
"Trousdale County",47169,1.1,98,"2890 of 3141"
"Grundy County",47061,1.2,156,"2876 of 3141"
"Claiborne County",47025,1.2,376,"2864 of 3141"
"Morgan County",47129,1.2,264,"2853 of 3141"
"Campbell County",47013,1.2,486,"2852 of 3141"
"Overton County",47133,1.3,284,"2809 of 3141"
"Hawkins County",47073,1.4,788,"2753 of 3141"
"Fentress County",47049,1.4,255,"2742 of 3141"
"Meigs County",47121,1.5,177,"2685 of 3141"
"Union County",47173,1.5,290,"2669 of 3141"
"Clay County",47027,1.6,120,"2634 of 3141"
"Hardeman County",47069,1.7,435,"2566 of 3141"
"Roane County",47145,1.7,898,"2561 of 3141"
"Marion County",47115,1.7,486,"2549 of 3141"
"Carter County",47019,1.7,971,"2542 of 3141"
"Sullivan County",47163,1.8,2776,"2513 of 3141"
"Polk County",47139,1.9,311,"2457 of 3141"
"Johnson County",47091,1.9,336,"2444 of 3141"
"Jackson County",47087,1.9,220,"2436 of 3141"
"Wayne County",47181,1.9,320,"2429 of 3141"
"Cannon County",47015,2.0,273,"2402 of 3141"
"McNairy County",47109,2.0,514,"2396 of 3141"
"Giles County",47055,2.0,577,"2390 of 3141"
"Lawrence County",47099,2.0,848,"2384 of 3141"
"Bledsoe County",47007,2.1,308,"2310 of 3141"
"Lake County",47095,2.2,164,"2290 of 3141"
"Cocke County",47029,2.2,776,"2265 of 3141"
"Lewis County",47101,2.2,263,"2264 of 3141"
"Benton County",47005,2.2,356,"2263 of 3141"
"Henderson County",47077,2.2,619,"2257 of 3141"
"Weakley County",47183,2.3,770,"2228 of 3141"
"Perry County",47135,2.3,180,"2224 of 3141"
"Humphreys County",47085,2.3,418,"2221 of 3141"
"Hickman County",47081,2.3,562,"2219 of 3141"
"Hardin County",47071,2.3,595,"2212 of 3141"
"White County",47185,2.3,609,"2208 of 3141"
"Henry County",47079,2.3,754,"2194 of 3141"
"Lauderdale County",47097,2.4,629,"2175 of 3141"
"Chester County",47023,2.4,413,"2155 of 3141"
"Carroll County",47017,2.4,683,"2148 of 3141"
"Fayette County",47047,2.5,974,"2130 of 3141"
"Smith County",47159,2.5,486,"2109 of 3141"
"Gibson County",47053,2.6,1260,"2083 of 3141"
"Stewart County",47161,2.6,342,"2075 of 3141"
"Tipton County",47167,2.7,1631,"2047 of 3141"
"Anderson County",47001,2.7,2012,"2044 of 3141"
"Greene County",47059,2.7,1856,"2020 of 3141"
"Cheatham County",47021,2.7,1083,"2008 of 3141"
"Cumberland County",47035,2.8,1640,"1960 of 3141"
"Grainger County",47057,3.0,697,"1867 of 3141"
"Blount County",47009,3.1,3977,"1828 of 3141"
"Franklin County",47051,3.2,1312,"1812 of 3141"
"Lincoln County",47103,3.2,1067,"1809 of 3141"
"Decatur County",47039,3.2,373,"1802 of 3141"
"Washington County",47179,3.3,4132,"1770 of 3141"
"Dyer County",47045,3.3,1234,"1769 of 3141"
"Dickson County",47043,3.3,1699,"1754 of 3141"
"Jefferson County",47089,3.5,1836,"1708 of 3141"
"Sequatchie County",47153,3.5,515,"1693 of 3141"
"Madison County",47113,3.7,3576,"1657 of 3141"
"McMinn County",47107,3.7,1935,"1643 of 3141"
"Wilson County",47189,3.8,4953,"1601 of 3141"
"Obion County",47131,4.0,1214,"1574 of 3141"
"Knox County",47093,4.0,18014,"1570 of 3141"
"Coffee County",47031,4.1,2209,"1540 of 3141"
"Monroe County",47123,4.2,1925,"1501 of 3141"
"Haywood County",47075,4.3,768,"1475 of 3141"
"Unicoi County",47171,4.4,787,"1452 of 3141"
"Sumner County",47165,4.5,7957,"1423 of 3141"
"Rhea County",47143,4.6,1501,"1397 of 3141"
"Williamson County",47187,4.7,9937,"1381 of 3141"
"Marshall County",47117,4.9,1568,"1332 of 3141"
"Macon County",47111,5.1,1187,"1293 of 3141"
"Hamilton County",47065,5.3,18703,"1261 of 3141"
"Maury County",47119,5.4,4749,"1234 of 3141"
"Sevier County",47155,5.7,5399,"1193 of 3141"
"Bradley County",47011,5.8,6029,"1156 of 3141"
"Putnam County",47141,6.0,4542,"1125 of 3141"
"Shelby County",47157,6.1,57198,"1110 of 3141"
"Robertson County",47147,6.4,4401,"1071 of 3141"
"Rutherford County",47149,7.4,22213,"946 of 3141"
"DeKalb County",47041,7.6,1470,"927 of 3141"
"Loudon County",47105,8.2,4170,"882 of 3141"
"Warren County",47177,8.7,3508,"830 of 3141"
"Montgomery County",47125,9.7,18665,"755 of 3141"
"Davidson County",47037,10.1,68326,"720 of 3141"
"Crockett County",47033,10.1,1473,"718 of 3141"
"Hamblen County",47063,11.5,7269,"650 of 3141"
"Bedford County",47003,11.8,5528,"634 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
