------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Tennessee",47000,12.4,208730,"41 of 52"
"Williamson County",47187,3.1,1831,"57 of 3141"
"Trousdale County",47169,5.9,113,"402 of 3141"
"Moore County",47127,6.6,128,"547 of 3141"
"Wilson County",47189,6.9,2430,"601 of 3141"
"Sumner County",47165,7.4,3483,"729 of 3141"
"Rutherford County",47149,7.8,5801,"838 of 3141"
"Cheatham County",47021,8.0,854,"895 of 3141"
"Robertson County",47147,8.9,1683,"1117 of 3141"
"Blount County",47009,9.0,3057,"1147 of 3141"
"Loudon County",47105,9.1,1349,"1169 of 3141"
"Jefferson County",47089,9.3,1326,"1202 of 3141"
"Fayette County",47047,9.9,1111,"1376 of 3141"
"Hamilton County",47065,9.9,8521,"1392 of 3141"
"Maury County",47119,10.2,2400,"1465 of 3141"
"Marshall County",47117,10.2,863,"1475 of 3141"
"Houston County",47083,10.5,217,"1537 of 3141"
"Sevier County",47155,10.6,2728,"1558 of 3141"
"Franklin County",47051,10.6,1182,"1560 of 3141"
"Knox County",47093,10.7,12133,"1584 of 3141"
"Dickson County",47043,10.9,1434,"1653 of 3141"
"Montgomery County",47125,11.3,5595,"1746 of 3141"
"Roane County",47145,11.4,1624,"1763 of 3141"
"Van Buren County",47175,11.4,184,"1772 of 3141"
"Smith County",47159,11.5,619,"1780 of 3141"
"Cumberland County",47035,11.5,2001,"1786 of 3141"
"Giles County",47055,11.6,920,"1803 of 3141"
"Washington County",47179,11.6,3831,"1807 of 3141"
"Coffee County",47031,11.6,1690,"1817 of 3141"
"Crockett County",47033,11.9,410,"1870 of 3141"
"Sullivan County",47163,12.3,5395,"1964 of 3141"
"Tipton County",47167,12.6,2069,"2003 of 3141"
"Davidson County",47037,12.6,19376,"2014 of 3141"
"Humphreys County",47085,12.9,577,"2075 of 3141"
"Bedford County",47003,13.0,1630,"2096 of 3141"
"Anderson County",47001,13.0,2607,"2100 of 3141"
"Greene County",47059,13.0,2373,"2105 of 3141"
"Chester County",47023,13.2,599,"2138 of 3141"
"Overton County",47133,13.2,808,"2147 of 3141"
"Cannon County",47015,13.3,508,"2162 of 3141"
"Lawrence County",47099,13.4,1539,"2166 of 3141"
"White County",47185,13.4,918,"2172 of 3141"
"Sequatchie County",47153,13.4,571,"2180 of 3141"
