------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Tennessee",47000,22.7,1497647,"28 of 52"
"United States",00000,22.9,73601279,"N/A"
"Lake County",47095,15.3,1160,"3086 of 3141"
"Bledsoe County",47007,16.5,2380,"3029 of 3141"
"Johnson County",47091,17.2,3067,"2976 of 3141"
"Cumberland County",47035,18.0,10449,"2901 of 3141"
"Pickett County",47137,18.2,924,"2862 of 3141"
"Wayne County",47181,18.4,3069,"2833 of 3141"
"Jackson County",47087,18.6,2158,"2801 of 3141"
"Van Buren County",47175,18.8,1065,"2780 of 3141"
"Unicoi County",47171,19.0,3390,"2731 of 3141"
"Claiborne County",47025,19.1,6041,"2715 of 3141"
"Carter County",47019,19.2,10840,"2704 of 3141"
"Roane County",47145,19.2,10168,"2695 of 3141"
"Morgan County",47129,19.4,4201,"2643 of 3141"
"Hardeman County",47069,19.5,5029,"2615 of 3141"
"Washington County",47179,19.6,24772,"2594 of 3141"
"Weakley County",47183,19.6,6635,"2580 of 3141"
"Clay County",47027,19.7,1517,"2554 of 3141"
"Sullivan County",47163,19.8,30961,"2544 of 3141"
"Greene County",47059,19.8,13575,"2539 of 3141"
"Benton County",47005,19.9,3209,"2528 of 3141"
"Moore County",47127,20.0,1262,"2483 of 3141"
"Loudon County",47105,20.0,10226,"2478 of 3141"
"Campbell County",47013,20.4,8130,"2359 of 3141"
"Polk County",47139,20.4,3415,"2355 of 3141"
"Hancock County",47067,20.4,1350,"2348 of 3141"
"Fayette County",47047,20.5,8049,"2339 of 3141"
"Jefferson County",47089,20.6,10883,"2311 of 3141"
"Cocke County",47029,20.6,7265,"2302 of 3141"
"Franklin County",47051,20.7,8579,"2264 of 3141"
"Hawkins County",47073,20.8,11711,"2248 of 3141"
"Hardin County",47071,20.8,5376,"2222 of 3141"
"Blount County",47009,20.9,26568,"2207 of 3141"
"Meigs County",47121,20.9,2473,"2205 of 3141"
"Giles County",47055,21.0,6088,"2172 of 3141"
"Henry County",47079,21.0,6768,"2168 of 3141"
"Grainger County",47057,21.0,4814,"2164 of 3141"
"Hamilton County",47065,21.0,74601,"2142 of 3141"
"Putnam County",47141,21.1,15931,"2129 of 3141"
"Sevier County",47155,21.1,20173,"2115 of 3141"
"Anderson County",47001,21.1,15963,"2106 of 3141"
"Decatur County",47039,21.1,2470,"2100 of 3141"
"Trousdale County",47169,21.3,1866,"2061 of 3141"
"Knox County",47093,21.3,96488,"2033 of 3141"
"Carroll County",47017,21.3,6004,"2032 of 3141"
"Stewart County",47161,21.3,2828,"2028 of 3141"
"Cannon County",47015,21.4,2957,"2018 of 3141"
"Marion County",47115,21.4,6062,"2015 of 3141"
"Davidson County",47037,21.4,145226,"2009 of 3141"
"Lewis County",47101,21.4,2559,"2007 of 3141"
"Humphreys County",47085,21.5,3927,"1991 of 3141"
"McMinn County",47107,21.5,11306,"1978 of 3141"
"Fentress County",47049,21.6,3881,"1939 of 3141"
"Hickman County",47081,21.8,5330,"1886 of 3141"
"Perry County",47135,21.9,1724,"1836 of 3141"
"Monroe County",47123,21.9,10009,"1816 of 3141"
"Obion County",47131,22.0,6745,"1771 of 3141"
"DeKalb County",47041,22.1,4284,"1726 of 3141"
"White County",47185,22.1,5839,"1718 of 3141"
"Sequatchie County",47153,22.2,3250,"1687 of 3141"
"Union County",47173,22.2,4261,"1667 of 3141"
"McNairy County",47109,22.3,5779,"1640 of 3141"
"Lincoln County",47103,22.4,7504,"1593 of 3141"
"Houston County",47083,22.4,1832,"1589 of 3141"
"Bradley County",47011,22.4,23210,"1582 of 3141"
"Grundy County",47061,22.4,2996,"1566 of 3141"
"Madison County",47113,22.8,22337,"1402 of 3141"
"Overton County",47133,22.9,5026,"1385 of 3141"
"Rhea County",47143,22.9,7445,"1355 of 3141"
"Chester County",47023,23.0,3926,"1334 of 3141"
"Henderson County",47077,23.1,6449,"1261 of 3141"
"Cheatham County",47021,23.2,9216,"1224 of 3141"
"Hamblen County",47063,23.2,14751,"1215 of 3141"
"Lauderdale County",47097,23.3,6162,"1209 of 3141"
"Haywood County",47075,23.3,4184,"1170 of 3141"
"Maury County",47119,23.6,20694,"1047 of 3141"
"Dickson County",47043,23.6,12142,"1034 of 3141"
"Smith County",47159,23.7,4578,"995 of 3141"
"Marshall County",47117,23.7,7541,"994 of 3141"
"Warren County",47177,23.8,9581,"955 of 3141"
"Dyer County",47045,24.1,9080,"858 of 3141"
"Coffee County",47031,24.1,13034,"836 of 3141"
"Wilson County",47189,24.2,31126,"810 of 3141"
"Scott County",47151,24.2,5310,"789 of 3141"
"Sumner County",47165,24.2,42518,"786 of 3141"
"Crockett County",47033,24.4,3551,"718 of 3141"
"Macon County",47111,24.5,5686,"700 of 3141"
"Gibson County",47053,24.5,12046,"697 of 3141"
"Robertson County",47147,24.8,17030,"589 of 3141"
"Rutherford County",47149,25.0,74631,"544 of 3141"
"Lawrence County",47099,25.0,10664,"532 of 3141"
"Shelby County",47157,25.3,237605,"470 of 3141"
"Tipton County",47167,25.4,15595,"465 of 3141"
"Bedford County",47003,25.8,12068,"398 of 3141"
"Montgomery County",47125,27.0,51943,"251 of 3141"
"Williamson County",47187,27.9,59156,"173 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
