------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Tennessee",47000,85.2,5554213,"23 of 51"
"United States",00000,85.4,270854872,"N/A"
"Montgomery County",47125,77.6,146641,"3035 of 3140"
"Lake County",47095,80.7,6092,"2882 of 3140"
"Davidson County",47037,81.3,543786,"2830 of 3140"
"Lauderdale County",47097,82.4,21514,"2704 of 3140"
"Rutherford County",47149,82.6,243574,"2676 of 3140"
"Dyer County",47045,82.7,30868,"2657 of 3140"
"Knox County",47093,83.2,371982,"2595 of 3140"
"Pickett County",47137,83.4,4194,"2557 of 3140"
"Rhea County",47143,83.5,26754,"2549 of 3140"
"Cumberland County",47035,83.7,48364,"2488 of 3140"
"Bradley County",47011,83.8,85721,"2477 of 3140"
"Shelby County",47157,83.8,775097,"2475 of 3140"
"Monroe County",47123,83.9,37785,"2458 of 3140"
"Washington County",47179,84.2,105303,"2391 of 3140"
"Maury County",47119,84.5,73141,"2351 of 3140"
"Sevier County",47155,84.5,79846,"2349 of 3140"
"Gibson County",47053,84.5,41168,"2342 of 3140"
"Sumner County",47165,84.6,147222,"2303 of 3140"
"Williamson County",47187,85.0,178640,"2216 of 3140"
"Cannon County",47015,85.1,11653,"2201 of 3140"
"Weakley County",47183,85.2,28448,"2173 of 3140"
"Stewart County",47161,85.4,11185,"2124 of 3140"
"Putnam County",47141,85.4,63742,"2118 of 3140"
"Coffee County",47031,85.5,45843,"2096 of 3140"
"Tipton County",47167,85.5,51966,"2090 of 3140"
"Lincoln County",47103,85.7,28421,"2049 of 3140"
"Morgan County",47129,85.8,18406,"1999 of 3140"
"Jefferson County",47089,85.9,44908,"1995 of 3140"
"Franklin County",47051,86.0,35244,"1938 of 3140"
"Hamilton County",47065,86.1,301880,"1909 of 3140"
"Sullivan County",47163,86.2,133705,"1892 of 3140"
"Bedford County",47003,86.2,39869,"1876 of 3140"
"Carter County",47019,86.3,48490,"1868 of 3140"
"Roane County",47145,86.3,45311,"1849 of 3140"
"Houston County",47083,86.5,7023,"1786 of 3140"
"Wilson County",47189,86.7,110811,"1728 of 3140"
"DeKalb County",47041,86.7,16606,"1719 of 3140"
"Anderson County",47001,86.8,64890,"1693 of 3140"
"Humphreys County",47085,86.8,15732,"1691 of 3140"
"Moore County",47127,86.8,5440,"1689 of 3140"
"Robertson County",47147,86.8,58876,"1673 of 3140"
"Giles County",47055,86.8,24886,"1672 of 3140"
"Trousdale County",47169,86.8,7428,"1670 of 3140"
"Johnson County",47091,87.0,15412,"1610 of 3140"
"Obion County",47131,87.1,26416,"1567 of 3140"
