------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Tennessee",47000,3.1,199276,"22 of 51"
"United States",00000,3.2,10247779,"N/A"
"Shelby County",47157,1.1,10393,"65 of 3140"
"Marion County",47115,1.2,342,"76 of 3140"
"Lawrence County",47099,1.2,520,"82 of 3140"
"Scott County",47151,1.3,281,"94 of 3140"
"Hardin County",47071,1.4,363,"129 of 3140"
"Henry County",47079,1.6,504,"173 of 3140"
"Montgomery County",47125,1.7,3198,"210 of 3140"
"Cocke County",47029,1.7,593,"212 of 3140"
"Campbell County",47013,1.8,727,"263 of 3140"
"Hardeman County",47069,1.9,498,"307 of 3140"
"Hamilton County",47065,1.9,6812,"308 of 3140"
"McNairy County",47109,1.9,502,"315 of 3140"
"Haywood County",47075,2.0,360,"343 of 3140"
"Perry County",47135,2.0,157,"344 of 3140"
"Grundy County",47061,2.2,287,"433 of 3140"
"Claiborne County",47025,2.3,717,"499 of 3140"
"Warren County",47177,2.4,948,"544 of 3140"
"Bedford County",47003,2.4,1110,"557 of 3140"
"Chester County",47023,2.4,409,"568 of 3140"
"Blount County",47009,2.5,3088,"588 of 3140"
"Humphreys County",47085,2.5,446,"594 of 3140"
"Greene County",47059,2.5,1681,"610 of 3140"
"Decatur County",47039,2.6,300,"702 of 3140"
"Henderson County",47077,2.6,723,"710 of 3140"
"Unicoi County",47171,2.6,465,"720 of 3140"
"Davidson County",47037,2.7,18105,"775 of 3140"
"Dyer County",47045,2.7,1011,"779 of 3140"
"Lewis County",47101,2.7,322,"787 of 3140"
"Wayne County",47181,2.7,450,"790 of 3140"
"Bradley County",47011,2.8,2830,"818 of 3140"
"Sullivan County",47163,2.8,4327,"835 of 3140"
"Overton County",47133,2.9,624,"896 of 3140"
"Lincoln County",47103,2.9,976,"940 of 3140"
"Hamblen County",47063,3.0,1865,"962 of 3140"
"Cumberland County",47035,3.0,1722,"964 of 3140"
"Jackson County",47087,3.0,345,"977 of 3140"
"Fayette County",47047,3.0,1178,"989 of 3140"
"Giles County",47055,3.0,873,"1008 of 3140"
"Macon County",47111,3.1,718,"1058 of 3140"
"Madison County",47113,3.1,3023,"1069 of 3140"
"Smith County",47159,3.2,608,"1124 of 3140"
"White County",47185,3.2,839,"1133 of 3140"
"Coffee County",47031,3.4,1842,"1281 of 3140"
"Gibson County",47053,3.5,1690,"1326 of 3140"
"McMinn County",47107,3.5,1809,"1332 of 3140"
"Sevier County",47155,3.5,3345,"1375 of 3140"
"Franklin County",47051,3.5,1451,"1378 of 3140"
"Benton County",47005,3.6,569,"1391 of 3140"
"Tipton County",47167,3.6,2161,"1391 of 3140"
"Knox County",47093,3.6,16047,"1420 of 3140"
"Carter County",47019,3.6,2019,"1424 of 3140"
"Monroe County",47123,3.6,1639,"1454 of 3140"
"Fentress County",47049,3.6,648,"1457 of 3140"
"Carroll County",47017,3.6,1016,"1465 of 3140"
"Sumner County",47165,3.7,6418,"1498 of 3140"
"Grainger County",47057,3.7,844,"1507 of 3140"
"Rhea County",47143,3.7,1200,"1537 of 3140"
"Meigs County",47121,3.8,441,"1543 of 3140"
"Polk County",47139,3.8,634,"1573 of 3140"
"Obion County",47131,3.8,1153,"1578 of 3140"
"Roane County",47145,4.0,2080,"1682 of 3140"
"Washington County",47179,4.0,5048,"1728 of 3140"
"Dickson County",47043,4.1,2053,"1739 of 3140"
"Wilson County",47189,4.2,5310,"1791 of 3140"
"Rutherford County",47149,4.2,12361,"1814 of 3140"
"Hancock County",47067,4.2,275,"1831 of 3140"
"Van Buren County",47175,4.3,241,"1871 of 3140"
"Loudon County",47105,4.3,2174,"1873 of 3140"
"DeKalb County",47041,4.4,837,"1912 of 3140"
"Sequatchie County",47153,4.4,638,"1913 of 3140"
"Putnam County",47141,4.4,3304,"1947 of 3140"
"Marshall County",47117,4.4,1395,"1953 of 3140"
"Anderson County",47001,4.5,3334,"1970 of 3140"
"Hickman County",47081,4.6,1116,"2055 of 3140"
"Hawkins County",47073,4.6,2595,"2063 of 3140"
"Union County",47173,4.7,893,"2083 of 3140"
"Johnson County",47091,4.8,853,"2160 of 3140"
"Robertson County",47147,4.9,3348,"2219 of 3140"
"Maury County",47119,4.9,4281,"2224 of 3140"
"Williamson County",47187,5.0,10451,"2248 of 3140"
"Cheatham County",47021,5.0,1960,"2253 of 3140"
"Jefferson County",47089,5.1,2664,"2302 of 3140"
"Weakley County",47183,5.1,1705,"2310 of 3140"
"Houston County",47083,5.2,420,"2337 of 3140"
"Crockett County",47033,5.2,751,"2357 of 3140"
"Moore County",47127,5.8,362,"2583 of 3140"
"Bledsoe County",47007,6.2,887,"2682 of 3140"
"Clay County",47027,6.2,475,"2684 of 3140"
"Cannon County",47015,6.6,899,"2754 of 3140"
"Stewart County",47161,6.7,874,"2774 of 3140"
"Pickett County",47137,7.0,354,"2833 of 3140"
"Trousdale County",47169,7.1,608,"2848 of 3140"
"Lauderdale County",47097,7.2,1872,"2858 of 3140"
"Morgan County",47129,8.0,1719,"2953 of 3140"
"Lake County",47095,12.9,973,"3115 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
