------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"Tennessee",47000,16.8,1107392,"11 of 52"
"Sequatchie County",47153,0.2,26,"2884 of 3141"
"Fentress County",47049,0.2,32,"2883 of 3141"
"Polk County",47139,0.3,44,"2799 of 3141"
"Van Buren County",47175,0.3,17,"2762 of 3141"
"Grainger County",47057,0.4,87,"2676 of 3141"
"Macon County",47111,0.4,100,"2617 of 3141"
"Union County",47173,0.4,84,"2608 of 3141"
"Hancock County",47067,0.5,31,"2566 of 3141"
"Grundy County",47061,0.5,64,"2553 of 3141"
"Unicoi County",47171,0.5,86,"2547 of 3141"
"Scott County",47151,0.5,117,"2488 of 3141"
"Campbell County",47013,0.5,216,"2477 of 3141"
"Jackson County",47087,0.6,72,"2382 of 3141"
"Cumberland County",47035,0.7,383,"2342 of 3141"
"Overton County",47133,0.7,146,"2332 of 3141"
"Sevier County",47155,0.7,662,"2291 of 3141"
"Pickett County",47137,0.8,41,"2189 of 3141"
"Claiborne County",47025,1.0,316,"2036 of 3141"
"Stewart County",47161,1.1,145,"1987 of 3141"
"Lewis County",47101,1.2,143,"1937 of 3141"
"Warren County",47177,1.3,505,"1913 of 3141"
"Loudon County",47105,1.3,656,"1905 of 3141"
"Cheatham County",47021,1.3,516,"1900 of 3141"
"Hawkins County",47073,1.3,755,"1878 of 3141"
"Meigs County",47121,1.4,161,"1864 of 3141"
"DeKalb County",47041,1.4,265,"1860 of 3141"
"Carter County",47019,1.4,785,"1848 of 3141"
"Cannon County",47015,1.5,202,"1821 of 3141"
"White County",47185,1.6,433,"1741 of 3141"
"Moore County",47127,1.7,110,"1704 of 3141"
"Jefferson County",47089,1.8,951,"1684 of 3141"
"Marion County",47115,1.9,534,"1661 of 3141"
"Sullivan County",47163,1.9,2977,"1657 of 3141"
"Lawrence County",47099,1.9,816,"1654 of 3141"
"Monroe County",47123,2.0,900,"1639 of 3141"
"Cocke County",47029,2.1,736,"1606 of 3141"
"Clay County",47027,2.1,165,"1593 of 3141"
"Smith County",47159,2.2,416,"1589 of 3141"
"Coffee County",47031,2.2,1178,"1584 of 3141"
"Rhea County",47143,2.2,720,"1575 of 3141"
"Putnam County",47141,2.3,1733,"1557 of 3141"
"Roane County",47145,2.4,1251,"1544 of 3141"
"Greene County",47059,2.4,1635,"1537 of 3141"
"Blount County",47009,2.6,3257,"1490 of 3141"
"Decatur County",47039,2.9,341,"1423 of 3141"
"Perry County",47135,3.3,261,"1359 of 3141"
"Anderson County",47001,3.4,2592,"1336 of 3141"
"Benton County",47005,3.4,556,"1332 of 3141"
"McMinn County",47107,3.6,1875,"1319 of 3141"
"Hardin County",47071,3.7,943,"1309 of 3141"
"Humphreys County",47085,3.8,689,"1292 of 3141"
"Johnson County",47091,3.8,680,"1280 of 3141"
"Dickson County",47043,4.0,2030,"1264 of 3141"
"Washington County",47179,4.0,5057,"1257 of 3141"
"Hamblen County",47063,4.0,2551,"1252 of 3141"
"Bledsoe County",47007,4.0,582,"1249 of 3141"
"Houston County",47083,4.0,331,"1248 of 3141"
"Williamson County",47187,4.2,8904,"1228 of 3141"
"Franklin County",47051,4.9,2043,"1147 of 3141"
