------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Tennessee",47000,8.6,558982,"27 of 51"
"Van Buren County",47175,1.6,89,"62 of 3140"
"Grundy County",47061,2.3,309,"140 of 3140"
"Sequatchie County",47153,3.0,435,"258 of 3140"
"Bledsoe County",47007,3.0,427,"259 of 3140"
"Jackson County",47087,3.1,351,"274 of 3140"
"McNairy County",47109,3.3,849,"319 of 3140"
"Chester County",47023,3.3,560,"322 of 3140"
"Clay County",47027,3.4,258,"340 of 3140"
"Grainger County",47057,3.5,792,"365 of 3140"
"Stewart County",47161,3.5,458,"370 of 3140"
"Fayette County",47047,3.5,1363,"372 of 3140"
"Wayne County",47181,3.6,600,"407 of 3140"
"Union County",47173,3.8,717,"451 of 3140"
"Meigs County",47121,3.9,456,"495 of 3140"
"Marion County",47115,4.0,1130,"537 of 3140"
"Overton County",47133,4.1,899,"573 of 3140"
"Perry County",47135,4.4,339,"649 of 3140"
"Hardeman County",47069,4.4,1136,"676 of 3140"
"Benton County",47005,4.5,719,"700 of 3140"
"Polk County",47139,4.5,757,"720 of 3140"
"Lake County",47095,4.6,348,"748 of 3140"
"Marshall County",47117,4.7,1483,"784 of 3140"
"Crockett County",47033,4.8,692,"826 of 3140"
"Morgan County",47129,4.9,1040,"850 of 3140"
"Trousdale County",47169,5.0,425,"901 of 3140"
"Fentress County",47049,5.0,895,"932 of 3140"
"Johnson County",47091,5.1,900,"958 of 3140"
"Lewis County",47101,5.2,610,"992 of 3140"
"Hardin County",47071,5.2,1340,"1038 of 3140"
"Henderson County",47077,5.3,1456,"1057 of 3140"
"Unicoi County",47171,5.3,940,"1076 of 3140"
"Williamson County",47187,5.3,11225,"1087 of 3140"
"Claiborne County",47025,5.4,1676,"1103 of 3140"
"Smith County",47159,5.4,1028,"1114 of 3140"
"Loudon County",47105,5.4,2753,"1140 of 3140"
"Cheatham County",47021,5.7,2236,"1254 of 3140"
"Decatur County",47039,5.7,658,"1269 of 3140"
"Hancock County",47067,5.8,381,"1335 of 3140"
"White County",47185,5.9,1534,"1358 of 3140"
"Blount County",47009,5.9,7467,"1394 of 3140"
"Cocke County",47029,5.9,2079,"1404 of 3140"
"Jefferson County",47089,6.0,3138,"1432 of 3140"
"Pickett County",47137,6.1,306,"1477 of 3140"
"Lawrence County",47099,6.1,2562,"1488 of 3140"
"Hickman County",47081,6.1,1477,"1497 of 3140"
"Dickson County",47043,6.1,3103,"1499 of 3140"
"McMinn County",47107,6.2,3249,"1551 of 3140"
"Wilson County",47189,6.3,8035,"1573 of 3140"
"Roane County",47145,6.3,3307,"1588 of 3140"
"Hamblen County",47063,6.3,3978,"1605 of 3140"
"Houston County",47083,6.4,518,"1624 of 3140"
"Moore County",47127,6.4,402,"1639 of 3140"
"Hawkins County",47073,6.4,3596,"1646 of 3140"
"Robertson County",47147,6.4,4364,"1647 of 3140"
"Anderson County",47001,6.5,4858,"1677 of 3140"
"Cannon County",47015,6.8,938,"1812 of 3140"
"Madison County",47113,6.9,6635,"1823 of 3140"
"Carroll County",47017,7.0,1945,"1860 of 3140"
"Obion County",47131,7.0,2132,"1884 of 3140"
"Franklin County",47051,7.2,2953,"1966 of 3140"
"Haywood County",47075,7.3,1297,"1997 of 3140"
"Henry County",47079,7.3,2339,"2010 of 3140"
"Weakley County",47183,7.5,2500,"2081 of 3140"
"Maury County",47119,7.5,6521,"2099 of 3140"
"Sevier County",47155,7.6,7149,"2114 of 3140"
"Giles County",47055,7.6,2173,"2117 of 3140"
"Macon County",47111,7.6,1748,"2124 of 3140"
"Scott County",47151,7.6,1656,"2130 of 3140"
"Putnam County",47141,7.6,5694,"2141 of 3140"
"DeKalb County",47041,7.7,1468,"2148 of 3140"
"Sullivan County",47163,7.7,11905,"2154 of 3140"
"Campbell County",47013,7.7,3042,"2163 of 3140"
"Coffee County",47031,7.7,4128,"2164 of 3140"
"Tipton County",47167,7.7,4709,"2185 of 3140"
"Greene County",47059,7.9,5332,"2221 of 3140"
"Lincoln County",47103,7.9,2610,"2226 of 3140"
"Sumner County",47165,8.1,14089,"2304 of 3140"
"Carter County",47019,8.2,4614,"2335 of 3140"
"Hamilton County",47065,8.5,29921,"2421 of 3140"
"Washington County",47179,8.6,10744,"2436 of 3140"
"Humphreys County",47085,8.8,1602,"2511 of 3140"
"Lauderdale County",47097,8.9,2327,"2533 of 3140"
"Warren County",47177,9.0,3579,"2555 of 3140"
"Bedford County",47003,9.2,4271,"2617 of 3140"
"Rutherford County",47149,9.5,27962,"2679 of 3140"
"Monroe County",47123,9.9,4460,"2764 of 3140"
"Bradley County",47011,9.9,10145,"2768 of 3140"
"Knox County",47093,9.9,44410,"2771 of 3140"
"Cumberland County",47035,10.1,5847,"2806 of 3140"
"Rhea County",47143,10.2,3255,"2811 of 3140"
"Davidson County",47037,10.8,72304,"2905 of 3140"
"Gibson County",47053,11.0,5345,"2935 of 3140"
"Montgomery County",47125,11.3,21370,"2975 of 3140"
"Shelby County",47157,12.1,112239,"3042 of 3140"
"Dyer County",47045,13.2,4921,"3091 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
