------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Tennessee",47000,6.6,210756,"29 of 52"
"Williamson County",47187,3.6,3902,"475 of 3141"
"Smith County",47159,3.7,327,"534 of 3141"
"Pickett County",47137,3.9,90,"588 of 3141"
"Lewis County",47101,4.0,201,"634 of 3141"
"Sumner County",47165,4.5,4105,"815 of 3141"
"Wilson County",47189,4.5,2986,"834 of 3141"
"Dickson County",47043,4.7,1113,"918 of 3141"
"Moore County",47127,5.0,149,"1056 of 3141"
"Rutherford County",47149,5.1,8247,"1064 of 3141"
"Washington County",47179,5.3,3280,"1168 of 3141"
"Overton County",47133,5.3,486,"1171 of 3141"
"Davidson County",47037,5.3,20324,"1178 of 3141"
"Clay County",47027,5.3,145,"1203 of 3141"
"Knox County",47093,5.5,12964,"1283 of 3141"
"Cheatham County",47021,5.5,1120,"1298 of 3141"
"Bedford County",47003,5.6,1271,"1335 of 3141"
"DeKalb County",47041,5.6,476,"1338 of 3141"
"Macon County",47111,5.8,604,"1420 of 3141"
"Coffee County",47031,5.8,1441,"1455 of 3141"
"Blount County",47009,5.9,3654,"1490 of 3141"
"Hamilton County",47065,5.9,10505,"1498 of 3141"
"Giles County",47055,5.9,778,"1501 of 3141"
"Lincoln County",47103,5.9,895,"1506 of 3141"
"Crockett County",47033,5.9,382,"1514 of 3141"
"Johnson County",47091,6.0,358,"1550 of 3141"
"Marion County",47115,6.0,765,"1553 of 3141"
"Gibson County",47053,6.1,1330,"1590 of 3141"
"Polk County",47139,6.1,443,"1612 of 3141"
"Perry County",47135,6.2,180,"1615 of 3141"
"Maury County",47119,6.2,2661,"1617 of 3141"
"Madison County",47113,6.2,2824,"1621 of 3141"
"Sevier County",47155,6.2,3049,"1654 of 3141"
"Hickman County",47081,6.2,641,"1655 of 3141"
"Jefferson County",47089,6.2,1534,"1658 of 3141"
"Carter County",47019,6.3,1542,"1716 of 3141"
"Grainger County",47057,6.4,648,"1744 of 3141"
"Humphreys County",47085,6.4,493,"1748 of 3141"
"Marshall County",47117,6.5,976,"1823 of 3141"
"Houston County",47083,6.6,214,"1849 of 3141"
"Loudon County",47105,6.6,1430,"1853 of 3141"
"Cannon County",47015,6.6,427,"1860 of 3141"
"Henry County",47079,6.7,905,"1900 of 3141"
"Sullivan County",47163,6.8,4869,"1967 of 3141"
"Haywood County",47075,6.8,562,"1969 of 3141"
"Warren County",47177,6.8,1247,"1974 of 3141"
"Putnam County",47141,6.8,2380,"1979 of 3141"
"Franklin County",47051,6.9,1297,"1984 of 3141"
"Carroll County",47017,6.9,813,"1985 of 3141"
"Anderson County",47001,6.9,2388,"2006 of 3141"
"Robertson County",47147,6.9,2441,"2024 of 3141"
"Bradley County",47011,7.2,3614,"2115 of 3141"
"Union County",47173,7.2,564,"2118 of 3141"
"Greene County",47059,7.2,2188,"2127 of 3141"
"Fentress County",47049,7.3,515,"2131 of 3141"
"Dyer County",47045,7.3,1278,"2159 of 3141"
"Hawkins County",47073,7.4,1743,"2177 of 3141"
"Montgomery County",47125,7.5,6257,"2219 of 3141"
"Morgan County",47129,7.6,584,"2265 of 3141"
"Cumberland County",47035,7.6,1715,"2292 of 3141"
"Hamblen County",47063,7.6,2158,"2296 of 3141"
"Sequatchie County",47153,7.8,500,"2342 of 3141"
"Fayette County",47047,7.9,1498,"2388 of 3141"
"Rhea County",47143,7.9,1151,"2403 of 3141"
"Campbell County",47013,8.0,1306,"2418 of 3141"
"Tipton County",47167,8.1,2432,"2446 of 3141"
