------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '47', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=47&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Tennessee by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Tennessee",47000,1.7,114389,"37 of 52"
"United States",00000,5.5,17756436,"N/A"
"Pickett County",47137,0.0,0,"2927 of 3141"
"Scott County",47151,0.0,0,"2927 of 3141"
"Sequatchie County",47153,0.0,0,"2927 of 3141"
"Van Buren County",47175,0.0,0,"2927 of 3141"
"White County",47185,0.0,6,"2911 of 3141"
"Morgan County",47129,0.0,5,"2910 of 3141"
"Cocke County",47029,0.0,9,"2906 of 3141"
"Jackson County",47087,0.0,5,"2877 of 3141"
"Smith County",47159,0.1,13,"2840 of 3141"
"Cannon County",47015,0.1,12,"2811 of 3141"
"Henry County",47079,0.1,33,"2770 of 3141"
"Benton County",47005,0.1,21,"2721 of 3141"
"McNairy County",47109,0.1,35,"2707 of 3141"
"Crockett County",47033,0.2,22,"2680 of 3141"
"Henderson County",47077,0.2,47,"2649 of 3141"
"Haywood County",47075,0.2,31,"2641 of 3141"
"Weakley County",47183,0.2,60,"2631 of 3141"
"Hickman County",47081,0.2,45,"2615 of 3141"
"Meigs County",47121,0.2,26,"2541 of 3141"
"Lake County",47095,0.2,18,"2516 of 3141"
"Grundy County",47061,0.2,32,"2511 of 3141"
"Polk County",47139,0.2,41,"2499 of 3141"
"Union County",47173,0.3,55,"2417 of 3141"
"Hancock County",47067,0.3,19,"2412 of 3141"
"Humphreys County",47085,0.3,53,"2407 of 3141"
"Trousdale County",47169,0.3,26,"2400 of 3141"
"Bledsoe County",47007,0.3,43,"2397 of 3141"
"Decatur County",47039,0.3,35,"2391 of 3141"
"Grainger County",47057,0.3,69,"2388 of 3141"
"Perry County",47135,0.3,24,"2385 of 3141"
"Houston County",47083,0.3,25,"2384 of 3141"
"Greene County",47059,0.4,252,"2236 of 3141"
"Obion County",47131,0.4,113,"2233 of 3141"
"Carter County",47019,0.4,212,"2219 of 3141"
"Campbell County",47013,0.4,154,"2186 of 3141"
"Johnson County",47091,0.4,71,"2159 of 3141"
"Rhea County",47143,0.4,130,"2149 of 3141"
"Dickson County",47043,0.4,211,"2121 of 3141"
"Marion County",47115,0.4,117,"2114 of 3141"
"Lauderdale County",47097,0.4,110,"2108 of 3141"
"Fentress County",47049,0.4,76,"2089 of 3141"
"Macon County",47111,0.4,99,"2080 of 3141"
"Marshall County",47117,0.4,139,"2049 of 3141"
"Bedford County",47003,0.4,208,"2031 of 3141"
"Overton County",47133,0.5,99,"2011 of 3141"
"Clay County",47027,0.5,35,"1995 of 3141"
"Lawrence County",47099,0.5,196,"1987 of 3141"
"Carroll County",47017,0.5,130,"1984 of 3141"
"Monroe County",47123,0.5,216,"1959 of 3141"
"Chester County",47023,0.5,81,"1954 of 3141"
"Lincoln County",47103,0.5,161,"1934 of 3141"
"Gibson County",47053,0.5,244,"1892 of 3141"
"Unicoi County",47171,0.5,90,"1866 of 3141"
"Hawkins County",47073,0.5,294,"1829 of 3141"
"Cumberland County",47035,0.6,336,"1708 of 3141"
"Giles County",47055,0.6,169,"1698 of 3141"
"Robertson County",47147,0.6,420,"1640 of 3141"
"Sullivan County",47163,0.6,966,"1622 of 3141"
"McMinn County",47107,0.6,330,"1606 of 3141"
"Loudon County",47105,0.6,331,"1563 of 3141"
"Jefferson County",47089,0.7,355,"1521 of 3141"
"Franklin County",47051,0.7,288,"1475 of 3141"
"Fayette County",47047,0.7,275,"1469 of 3141"
"DeKalb County",47041,0.7,140,"1423 of 3141"
"Hardeman County",47069,0.7,187,"1414 of 3141"
"Roane County",47145,0.7,387,"1400 of 3141"
"Claiborne County",47025,0.8,238,"1359 of 3141"
"Blount County",47009,0.8,978,"1342 of 3141"
"Sevier County",47155,0.8,746,"1327 of 3141"
"Dyer County",47045,0.8,310,"1270 of 3141"
"Cheatham County",47021,0.9,338,"1241 of 3141"
"Warren County",47177,0.9,373,"1147 of 3141"
"Coffee County",47031,0.9,502,"1146 of 3141"
"Maury County",47119,0.9,830,"1130 of 3141"
