------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=07&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"All Cancer Sites, 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,Yes,158.4 ,152.7, 164.2,700,falling,-1.4 ,-1.6, -1.1
"United States (6)",00000,No,165.4 ,165.2, 165.7,465052,falling,-1.4 ,-1.4, -1.3
"Yukon-Koyukuk Census Area",02290,No,316.3 ,190.3, 496.7,4,*,*,*,*
"Southeast Fairbanks Census Area",02240,No,198.3 ,141, 269.9,9,stable,-0.9 ,-3.1, 1.3
"Valdez-Cordova Census Area",02261,No,182.9 ,132.5, 245.1,12,falling,-2.2 ,-4.0, -0.3
"Haines Borough",02100,No,175.7 ,106.6, 277.4,5,*,*,*,*
"Juneau City and Borough",02110,No,174.8 ,148.4, 204.3,38,falling,-1.1 ,-2.1, -0.1
"Wrangell-Petersburg Census Area",02280,No,173.1 ,129.4, 229.3,11,stable,-0.7 ,-2.0, 0.7
"Matanuska-Susitna Borough",02170,No,169.8 ,155.5, 184.9,125,falling,-1.1 ,-1.9, -0.3
"Kodiak Island Borough",02150,No,165.6 ,116.6, 226.7,10,falling,-2.8 ,-4.9, -0.8
"Fairbanks North Borough",02090,No,162.2 ,146.3, 179.3,92,falling,-1.1 ,-1.8, -0.4
"Skagway-Hoonah-Angoon Census Area (3)",02232,Yes,157.4 ,90.9, 259.1,4,*,*,*,*
"Kenai Peninsula Borough",02122,Yes,157.4 ,142.4, 173.5,93,falling,-1.7 ,-2.4, -1.0
"Sitka City and Borough",02220,Yes,154.8 ,113.3, 206.9,10,stable,-1.6 ,-3.2, 0.1
