------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '006', 'type': 'death', 'file_name': 'deathrates_034.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=0&age=006&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,Yes,47.5 ,45.4, 49.8,385,falling,-1.6 ,-1.9, -1.2
"United States",00000,Yes,51.3 ,51.2, 51.4,177172,falling,-1.4 ,-1.6, -1.3
"Yukon-Koyukuk Census Area",02290,Yes,83.9 ,54.3, 125.3,5,*,*,*,*
"Nome Census Area",02180,Yes,80.4 ,55.9, 111.9,7,stable,-0.4 ,-2.6, 1.8
"Prince of Wales-Outer Ketchikan Census Area",02201,Yes,64.7 ,40.6, 99.4,5,*,*,*,*
"Wade Hampton Census Area",02270,Yes,64.6 ,37.5, 102.5,4,*,*,*,*
"Northwest Arctic Borough",02188,Yes,60.9 ,36.4, 95.3,4,*,*,*,*
"North Slope Borough",02185,Yes,54.9 ,37.1, 78.8,6,*,*,*,*
"Matanuska-Susitna Borough",02170,Yes,52.3 ,46.3, 58.9,58,falling,-1.5 ,-2.4, -0.6
"Kenai Peninsula Borough",02122,Yes,50.9 ,43.8, 58.9,41,stable,-0.8 ,-1.9, 0.2
"Bethel Census Area",02050,Yes,50.3 ,35.3, 69.4,8,stable,-0.4 ,-2.0, 1.2
"Wrangell-Petersburg Census Area",02280,Yes,48.7 ,29, 79.7,4,stable,-2.0 ,-4.2, 0.3
"Kodiak Island Borough",02150,Yes,47 ,32.3, 66.2,7,stable,-1.3 ,-3.5, 0.9
"Anchorage Municipality",02020,Yes,46.7 ,43.3, 50.3,145,falling,-1.8 ,-2.3, -1.4
"Juneau City and Borough",02110,Yes,44.1 ,35.2, 54.8,18,falling,-1.4 ,-2.7, -0.1
"Fairbanks North Borough",02090,Yes,43 ,37.3, 49.4,43,falling,-2.4 ,-3.2, -1.5
"Valdez-Cordova Census Area",02261,Yes,40.5 ,26.3, 61.1,5,falling,-2.3 ,-4.0, -0.6
"Ketchikan Gateway Borough",02130,Yes,34.4 ,22.5, 50.8,6,stable,-33.7 ,-56.5, 1.0
"Sitka City and Borough",02220,Yes,34.1 ,20.8, 54.2,4,stable,-1.2 ,-3.2, 0.8
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
"Denali Borough",02068,***,* ,*, *,3 or fewer,*,*,*,*
"Dillingham Census Area (3)",02070,***,* ,*, *,3 or fewer,*,*,*,*
"Haines Borough",02100,***,* ,*, *,3 or fewer,*,*,*,*
"Lake and Peninsula Borough (3)",02164,***,* ,*, *,3 or fewer,*,*,*,*
"Skagway-Hoonah-Angoon Census Area (3)",02232,***,* ,*, *,3 or fewer,*,*,*,*
"Southeast Fairbanks Census Area",02240,***,* ,*, *,3 or fewer,*,*,*,*
"Yakutat City and Borough (3)",02282,***,* ,*, *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.

"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death data provided by the National Vital Statistics System public use data file.  Death rates calculated by the National Cancer Institute using SEER*Stat.  Death rates are age-adjusted  to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+).  The Healthy People 2020 goals are based on rates adjusted using different methods but the differences should be minimal.  Population counts for denominators are based on Census populations as modified by NCI. "
 The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used with mortality data. 
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

