------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Pennsylvania",42000,30.1,2673219,"24 of 52"
"United States",00000,30.9,66887603,"N/A"
"Forest County",42053,7.0,427,"3133 of 3141"
"Mifflin County",42087,12.2,3966,"2802 of 3141"
"Fulton County",42057,13.5,1408,"2587 of 3141"
"Bedford County",42009,13.8,4896,"2528 of 3141"
"Juniata County",42067,14.0,2395,"2488 of 3141"
"Clearfield County",42033,14.1,8351,"2472 of 3141"
"Potter County",42105,15.0,1837,"2300 of 3141"
"Armstrong County",42005,15.2,7445,"2268 of 3141"
"Huntingdon County",42061,15.3,4968,"2260 of 3141"
"Northumberland County",42097,15.4,10378,"2241 of 3141"
"Fayette County",42051,15.4,14962,"2226 of 3141"
"Somerset County",42111,15.7,8840,"2180 of 3141"
"Jefferson County",42065,15.8,4969,"2143 of 3141"
"Cameron County",42023,15.9,572,"2117 of 3141"
"Schuylkill County",42107,16.0,16849,"2110 of 3141"
"Carbon County",42025,16.0,7529,"2100 of 3141"
"Sullivan County",42113,16.5,811,"2015 of 3141"
"Perry County",42099,16.6,5370,"2005 of 3141"
"Venango County",42121,17.2,6588,"1901 of 3141"
"McKean County",42083,17.4,5175,"1855 of 3141"
"Snyder County",42109,17.5,4706,"1839 of 3141"
"Susquehanna County",42115,17.5,5374,"1838 of 3141"
"Clinton County",42035,18.0,4535,"1768 of 3141"
"Greene County",42059,18.0,4772,"1763 of 3141"
"Bradford County",42015,18.0,7820,"1759 of 3141"
"Elk County",42047,18.5,4177,"1662 of 3141"
"Wyoming County",42131,18.8,3704,"1604 of 3141"
"Warren County",42123,18.9,5556,"1601 of 3141"
"Tioga County",42117,20.2,5909,"1372 of 3141"
"Blair County",42013,20.3,17955,"1340 of 3141"
"Lebanon County",42075,20.4,19182,"1329 of 3141"
"Wayne County",42127,20.4,7961,"1327 of 3141"
"Crawford County",42039,20.4,12287,"1324 of 3141"
"Franklin County",42055,20.6,21889,"1299 of 3141"
"Lawrence County",42073,20.8,13070,"1264 of 3141"
"Cambria County",42021,20.9,20301,"1236 of 3141"
"Columbia County",42037,21.6,9518,"1155 of 3141"
"Clarion County",42031,21.8,5736,"1132 of 3141"
"Lycoming County",42081,22.1,17740,"1107 of 3141"
"Adams County",42001,22.1,15677,"1097 of 3141"
"Mercer County",42085,22.3,17698,"1073 of 3141"
"Indiana County",42063,22.7,12724,"1008 of 3141"
"Luzerne County",42079,22.8,51695,"1001 of 3141"
"York County",42133,23.7,72548,"910 of 3141"
"Union County",42119,23.8,7283,"902 of 3141"
"Berks County",42011,23.9,66951,"885 of 3141"
"Monroe County",42089,24.0,27411,"875 of 3141"
"Beaver County",42007,24.0,29306,"872 of 3141"
"Lancaster County",42071,26.5,94702,"695 of 3141"
"Pike County",42103,26.5,10711,"691 of 3141"
"Lackawanna County",42069,27.0,40276,"648 of 3141"
"Philadelphia County",42101,27.1,284836,"643 of 3141"
"Erie County",42049,27.4,51632,"617 of 3141"
"Westmoreland County",42129,28.0,73195,"588 of 3141"
"Northampton County",42095,28.8,60261,"545 of 3141"
"Washington County",42125,29.0,43106,"537 of 3141"
"Lehigh County",42077,29.1,71372,"531 of 3141"
"Dauphin County",42043,29.8,56328,"495 of 3141"
"Montour County",42093,30.5,4099,"451 of 3141"
"Butler County",42019,34.6,45326,"278 of 3141"
"Cumberland County",42041,34.7,59448,"272 of 3141"
"Delaware County",42045,37.7,143261,"202 of 3141"
"Bucks County",42017,39.4,174750,"171 of 3141"
"Allegheny County",42003,40.0,352942,"161 of 3141"
"Centre County",42027,43.7,41976,"104 of 3141"
"Montgomery County",42091,48.2,276513,"59 of 3141"
"Chester County",42029,51.0,177264,"39 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
