------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Pennsylvania",42000,6.6,841731,"28 of 51"
"United States",00000,13.4,43028127,"N/A"
"Jefferson County",42065,0.5,239,"2972 of 3140"
"Bedford County",42009,0.6,270,"2961 of 3140"
"Armstrong County",42005,0.6,407,"2934 of 3140"
"Elk County",42047,0.7,227,"2835 of 3140"
"Greene County",42059,0.8,298,"2793 of 3140"
"Venango County",42121,0.8,437,"2769 of 3140"
"Fulton County",42057,0.8,122,"2766 of 3140"
"Potter County",42105,0.9,151,"2732 of 3140"
"Somerset County",42111,1.0,742,"2659 of 3140"
"Fayette County",42051,1.0,1348,"2638 of 3140"
"Mifflin County",42087,1.0,477,"2624 of 3140"
"Tioga County",42117,1.2,481,"2528 of 3140"
"Northumberland County",42097,1.2,1085,"2523 of 3140"
"Blair County",42013,1.2,1469,"2507 of 3140"
"Clarion County",42031,1.2,459,"2496 of 3140"
"Bradford County",42015,1.2,738,"2483 of 3140"
"Crawford County",42039,1.2,1050,"2471 of 3140"
"Warren County",42123,1.2,495,"2460 of 3140"
"Wyoming County",42131,1.2,341,"2458 of 3140"
"Cambria County",42021,1.2,1671,"2456 of 3140"
"Huntingdon County",42061,1.3,583,"2408 of 3140"
"Clinton County",42035,1.4,539,"2341 of 3140"
"Lawrence County",42073,1.4,1217,"2332 of 3140"
"Perry County",42099,1.4,639,"2323 of 3140"
"McKean County",42083,1.4,594,"2312 of 3140"
"Snyder County",42109,1.5,613,"2236 of 3140"
"Westmoreland County",42129,1.5,5510,"2215 of 3140"
"Mercer County",42085,1.6,1809,"2184 of 3140"
"Beaver County",42007,1.6,2743,"2156 of 3140"
"Susquehanna County",42115,1.7,718,"2095 of 3140"
"Lycoming County",42081,1.8,2042,"2055 of 3140"
"Indiana County",42063,1.8,1538,"2047 of 3140"
"Schuylkill County",42107,1.9,2761,"1971 of 3140"
"Washington County",42125,2.0,4073,"1946 of 3140"
"Sullivan County",42113,2.1,128,"1889 of 3140"
"Juniata County",42067,2.1,508,"1880 of 3140"
"Butler County",42019,2.2,4004,"1837 of 3140"
"Cameron County",42023,2.3,107,"1779 of 3140"
"Columbia County",42037,2.3,1539,"1743 of 3140"
"Carbon County",42025,2.5,1582,"1685 of 3140"
"Forest County",42053,2.5,186,"1662 of 3140"
"Wayne County",42127,3.1,1598,"1389 of 3140"
"Montour County",42093,3.1,568,"1387 of 3140"
"Clearfield County",42033,3.2,2545,"1366 of 3140"
"Franklin County",42055,3.3,5104,"1309 of 3140"
"Union County",42119,3.4,1515,"1303 of 3140"
"York County",42133,3.8,16836,"1179 of 3140"
"Lebanon County",42075,3.8,5255,"1173 of 3140"
"Adams County",42001,4.0,4081,"1110 of 3140"
"Erie County",42049,4.5,12561,"1002 of 3140"
"Lancaster County",42071,4.9,26202,"938 of 3140"
"Lackawanna County",42069,5.4,11356,"857 of 3140"
"Allegheny County",42003,5.7,70208,"786 of 3140"
"Luzerne County",42079,6.0,19174,"742 of 3140"
"Cumberland County",42041,6.1,14879,"737 of 3140"
"Berks County",42011,7.1,29542,"598 of 3140"
"Northampton County",42095,7.3,21944,"573 of 3140"
"Dauphin County",42043,7.5,20440,"556 of 3140"
"Pike County",42103,8.0,4480,"499 of 3140"
"Centre County",42027,8.4,13490,"473 of 3140"
"Bucks County",42017,8.8,54963,"437 of 3140"
"Chester County",42029,9.4,48461,"379 of 3140"
"Delaware County",42045,10.0,56521,"355 of 3140"
"Monroe County",42089,10.6,17697,"316 of 3140"
"Montgomery County",42091,10.7,87284,"308 of 3140"
"Lehigh County",42077,10.8,39011,"297 of 3140"
"Philadelphia County",42101,13.4,210076,"210 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
