------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Pennsylvania",42000,3.3,421190,"21 of 52"
"United States",00000,5.5,17756436,"N/A"
"Armstrong County",42005,0.2,160,"2510 of 3141"
"Bedford County",42009,0.2,118,"2505 of 3141"
"Jefferson County",42065,0.3,128,"2409 of 3141"
"Potter County",42105,0.3,56,"2328 of 3141"
"Juniata County",42067,0.3,82,"2309 of 3141"
"Fulton County",42057,0.3,50,"2293 of 3141"
"Greene County",42059,0.4,131,"2277 of 3141"
"Perry County",42099,0.4,166,"2255 of 3141"
"Wyoming County",42131,0.4,101,"2247 of 3141"
"Venango County",42121,0.4,196,"2225 of 3141"
"Fayette County",42051,0.4,562,"2094 of 3141"
"Somerset County",42111,0.4,322,"2081 of 3141"
"Susquehanna County",42115,0.4,182,"2052 of 3141"
"Cameron County",42023,0.4,21,"2040 of 3141"
"Crawford County",42039,0.4,386,"2029 of 3141"
"Elk County",42047,0.4,137,"2027 of 3141"
"Northumberland County",42097,0.4,418,"2015 of 3141"
"Sullivan County",42113,0.5,28,"2006 of 3141"
"Lawrence County",42073,0.5,400,"2002 of 3141"
"Carbon County",42025,0.5,295,"1985 of 3141"
"McKean County",42083,0.5,200,"1948 of 3141"
"Cambria County",42021,0.5,697,"1853 of 3141"
"Beaver County",42007,0.5,864,"1851 of 3141"
"Warren County",42123,0.5,209,"1839 of 3141"
"Schuylkill County",42107,0.5,748,"1837 of 3141"
"Huntingdon County",42061,0.5,244,"1798 of 3141"
"Tioga County",42117,0.6,239,"1714 of 3141"
"Clearfield County",42033,0.6,464,"1712 of 3141"
"Wayne County",42127,0.6,301,"1697 of 3141"
"Clarion County",42031,0.6,227,"1693 of 3141"
"Bradford County",42015,0.6,379,"1631 of 3141"
"Lycoming County",42081,0.6,716,"1618 of 3141"
"Mifflin County",42087,0.7,305,"1551 of 3141"
"Mercer County",42085,0.7,753,"1539 of 3141"
"Clinton County",42035,0.7,281,"1436 of 3141"
"Adams County",42001,0.7,727,"1431 of 3141"
"Forest County",42053,0.7,53,"1428 of 3141"
"Snyder County",42109,0.7,297,"1398 of 3141"
"Blair County",42013,0.7,917,"1387 of 3141"
"Westmoreland County",42129,0.9,3147,"1200 of 3141"
"Washington County",42125,1.0,2032,"1099 of 3141"
"Franklin County",42055,1.0,1586,"1036 of 3141"
"Indiana County",42063,1.1,952,"975 of 3141"
"Butler County",42019,1.2,2208,"907 of 3141"
"Columbia County",42037,1.2,797,"897 of 3141"
"Luzerne County",42079,1.2,3858,"886 of 3141"
"Lebanon County",42075,1.4,1887,"786 of 3141"
"Berks County",42011,1.4,5966,"751 of 3141"
"York County",42133,1.5,6592,"718 of 3141"
"Pike County",42103,1.5,836,"711 of 3141"
"Erie County",42049,1.6,4546,"653 of 3141"
"Union County",42119,1.8,797,"605 of 3141"
"Lancaster County",42071,2.2,11546,"494 of 3141"
"Monroe County",42089,2.3,3819,"468 of 3141"
"Lackawanna County",42069,2.6,5421,"411 of 3141"
"Northampton County",42095,2.8,8381,"366 of 3141"
"Montour County",42093,3.1,566,"317 of 3141"
"Lehigh County",42077,3.3,12083,"286 of 3141"
"Allegheny County",42003,3.6,43855,"267 of 3141"
"Dauphin County",42043,3.9,10764,"231 of 3141"
"Cumberland County",42041,4.0,9734,"230 of 3141"
"Bucks County",42017,4.6,28780,"185 of 3141"
"Chester County",42029,4.9,25221,"166 of 3141"
"Delaware County",42045,5.5,30898,"140 of 3141"
"Centre County",42027,6.1,9731,"117 of 3141"
"Philadelphia County",42101,7.2,112318,"85 of 3141"
"Montgomery County",42091,7.4,60309,"78 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
