------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Pennsylvania",42000,6.8,874833,"31 of 52"
"United States",00000,17.6,56510571,"N/A"
"Armstrong County",42005,0.7,472,"3020 of 3141"
"Elk County",42047,0.8,233,"3005 of 3141"
"Clarion County",42031,0.8,311,"2994 of 3141"
"Cameron County",42023,0.8,39,"2990 of 3141"
"Jefferson County",42065,0.8,368,"2987 of 3141"
"Warren County",42123,1.0,408,"2927 of 3141"
"Fayette County",42051,1.1,1442,"2908 of 3141"
"Venango County",42121,1.1,574,"2906 of 3141"
"Westmoreland County",42129,1.1,3903,"2903 of 3141"
"Bedford County",42009,1.1,557,"2884 of 3141"
"Blair County",42013,1.2,1467,"2871 of 3141"
"Fulton County",42057,1.2,174,"2865 of 3141"
"Crawford County",42039,1.2,1046,"2859 of 3141"
"Potter County",42105,1.2,211,"2848 of 3141"
"Tioga County",42117,1.2,517,"2842 of 3141"
"Indiana County",42063,1.3,1098,"2826 of 3141"
"Lawrence County",42073,1.3,1151,"2801 of 3141"
"Mercer County",42085,1.4,1583,"2759 of 3141"
"Butler County",42019,1.4,2593,"2756 of 3141"
"Clinton County",42035,1.4,560,"2739 of 3141"
"Somerset County",42111,1.4,1077,"2739 of 3141"
"Bradford County",42015,1.4,881,"2730 of 3141"
"Mifflin County",42087,1.4,670,"2722 of 3141"
"Greene County",42059,1.5,551,"2701 of 3141"
"Beaver County",42007,1.5,2486,"2699 of 3141"
"Cambria County",42021,1.5,2096,"2654 of 3141"
"Washington County",42125,1.6,3258,"2625 of 3141"
"Susquehanna County",42115,1.7,696,"2572 of 3141"
"Perry County",42099,1.8,809,"2519 of 3141"
"Sullivan County",42113,1.8,110,"2511 of 3141"
"Wyoming County",42131,1.8,497,"2501 of 3141"
"Huntingdon County",42061,1.9,849,"2458 of 3141"
"Lycoming County",42081,1.9,2204,"2431 of 3141"
"Allegheny County",42003,2.0,24076,"2407 of 3141"
"McKean County",42083,2.1,883,"2329 of 3141"
"Snyder County",42109,2.2,884,"2282 of 3141"
"Montour County",42093,2.5,465,"2094 of 3141"
"Columbia County",42037,2.6,1722,"2072 of 3141"
"Centre County",42027,2.8,4559,"1948 of 3141"
"Clearfield County",42033,2.9,2330,"1920 of 3141"
"Northumberland County",42097,3.2,2940,"1815 of 3141"
"Juniata County",42067,3.2,794,"1776 of 3141"
"Cumberland County",42041,3.5,8698,"1688 of 3141"
"Delaware County",42045,3.6,20099,"1680 of 3141"
"Schuylkill County",42107,3.8,5536,"1603 of 3141"
"Erie County",42049,4.0,11152,"1559 of 3141"
"Wayne County",42127,4.2,2144,"1520 of 3141"
"Carbon County",42025,4.3,2727,"1482 of 3141"
"Montgomery County",42091,4.9,39971,"1343 of 3141"
"Bucks County",42017,5.0,31398,"1313 of 3141"
"Franklin County",42055,5.3,8063,"1262 of 3141"
"Union County",42119,5.7,2561,"1183 of 3141"
"Lackawanna County",42069,6.7,14176,"1031 of 3141"
"Adams County",42001,6.8,6891,"1018 of 3141"
"York County",42133,6.9,30643,"1002 of 3141"
"Forest County",42053,7.0,516,"995 of 3141"
"Chester County",42029,7.2,37264,"973 of 3141"
"Dauphin County",42043,8.5,23315,"848 of 3141"
"Lancaster County",42071,10.0,53792,"730 of 3141"
"Luzerne County",42079,10.1,32188,"719 of 3141"
"Pike County",42103,10.3,5757,"709 of 3141"
"Lebanon County",42075,12.2,16795,"613 of 3141"
"Northampton County",42095,12.4,37343,"603 of 3141"
"Philadelphia County",42101,14.1,221777,"547 of 3141"
"Monroe County",42089,14.9,24980,"515 of 3141"
"Berks County",42011,19.6,81398,"390 of 3141"
"Lehigh County",42077,22.8,82105,"325 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
