------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Pennsylvania",42000,11.0,206591,"12 of 51"
"Cambria County",42021,7.6,1639,"51 of 3139"
"Fayette County",42051,8.0,2119,"79 of 3139"
"Beaver County",42007,8.1,1761,"99 of 3139"
"Armstrong County",42005,8.2,856,"112 of 3139"
"Blair County",42013,8.3,1755,"126 of 3139"
"Cameron County",42023,8.8,71,"186 of 3139"
"McKean County",42083,8.8,679,"186 of 3139"
"Columbia County",42037,8.9,939,"215 of 3139"
"Greene County",42059,8.9,493,"215 of 3139"
"Huntingdon County",42061,8.9,597,"215 of 3139"
"Westmoreland County",42129,8.9,3554,"215 of 3139"
"Lawrence County",42073,9.0,1287,"236 of 3139"
"Mercer County",42085,9.0,1619,"236 of 3139"
"Schuylkill County",42107,9.0,1915,"236 of 3139"
"Venango County",42121,9.0,807,"236 of 3139"
"Washington County",42125,9.0,2103,"236 of 3139"
"Allegheny County",42003,9.1,14676,"265 of 3139"
"Lackawanna County",42069,9.2,3215,"289 of 3139"
"Erie County",42049,9.3,4723,"309 of 3139"
"Northumberland County",42097,9.3,1433,"309 of 3139"
"Carbon County",42025,9.4,901,"327 of 3139"
"Lycoming County",42081,9.4,1677,"327 of 3139"
"Warren County",42123,9.4,597,"327 of 3139"
"Elk County",42047,9.5,353,"350 of 3139"
"Somerset County",42111,9.8,1041,"418 of 3139"
"Bedford County",42009,9.9,788,"446 of 3139"
"Butler County",42019,9.9,1727,"446 of 3139"
"Clearfield County",42033,9.9,1313,"446 of 3139"
"Potter County",42105,9.9,307,"446 of 3139"
"Philadelphia County",42101,10.0,43533,"475 of 3139"
"Luzerne County",42079,10.1,5430,"497 of 3139"
"Indiana County",42063,10.6,1740,"596 of 3139"
"Wyoming County",42131,10.6,406,"596 of 3139"
"Dauphin County",42043,10.7,4611,"614 of 3139"
"Jefferson County",42065,10.7,831,"614 of 3139"
"Clarion County",42031,10.9,773,"657 of 3139"
"Clinton County",42035,10.9,769,"657 of 3139"
"Crawford County",42039,10.9,1676,"657 of 3139"
"Bradford County",42015,11.0,1106,"684 of 3139"
"Forest County",42053,11.1,73,"697 of 3139"
"York County",42133,11.1,6133,"697 of 3139"
"Delaware County",42045,11.3,7462,"736 of 3139"
"Susquehanna County",42115,11.5,725,"770 of 3139"
"Mifflin County",42087,11.6,1043,"789 of 3139"
"Tioga County",42117,11.6,771,"789 of 3139"
"Wayne County",42127,11.7,813,"806 of 3139"
"Union County",42119,11.9,583,"840 of 3139"
"Berks County",42011,12.0,7839,"859 of 3139"
"Fulton County",42057,12.0,268,"859 of 3139"
"Northampton County",42095,12.0,3945,"859 of 3139"
"Snyder County",42109,12.1,730,"878 of 3139"
"Franklin County",42055,12.2,2598,"898 of 3139"
"Juniata County",42067,12.2,475,"898 of 3139"
"Perry County",42099,12.3,695,"907 of 3139"
"Centre County",42027,12.5,3260,"933 of 3139"
"Lehigh County",42077,12.7,7280,"966 of 3139"
"Montour County",42093,13.1,261,"1014 of 3139"
"Monroe County",42089,13.4,3210,"1067 of 3139"
"Lebanon County",42075,13.5,2561,"1080 of 3139"
"Bucks County",42017,13.7,5997,"1101 of 3139"
"Sullivan County",42113,13.9,117,"1126 of 3139"
"Montgomery County",42091,14.0,8204,"1139 of 3139"
"Cumberland County",42041,14.2,3399,"1155 of 3139"
"Adams County",42001,14.3,1629,"1171 of 3139"
"Pike County",42103,14.5,919,"1195 of 3139"
"Lancaster County",42071,17.8,12668,"1623 of 3139"
"Chester County",42029,18.4,7113,"1714 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
