------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Pennsylvania",42000,8.9,285837,"22 of 52"
"United States",00000,10.5,8253388,"N/A"
"Chester County",42029,4.0,5309,"123 of 3141"
"Bucks County",42017,4.0,6735,"124 of 3141"
"Montgomery County",42091,4.3,9299,"166 of 3141"
"Perry County",42099,4.6,585,"200 of 3141"
"Cumberland County",42041,4.7,2971,"207 of 3141"
"Butler County",42019,5.4,2781,"311 of 3141"
"Adams County",42001,5.9,1640,"393 of 3141"
"Centre County",42027,6.0,1970,"415 of 3141"
"Sullivan County",42113,6.5,100,"513 of 3141"
"Northampton County",42095,6.6,5166,"533 of 3141"
"Washington County",42125,6.7,3726,"554 of 3141"
"Lancaster County",42071,6.8,9446,"576 of 3141"
"Wayne County",42127,6.8,875,"577 of 3141"
"Westmoreland County",42129,6.9,6933,"592 of 3141"
"Forest County",42053,6.9,60,"615 of 3141"
"Montour County",42093,7.1,324,"669 of 3141"
"Elk County",42047,7.2,622,"692 of 3141"
"York County",42133,7.3,8626,"709 of 3141"
"Delaware County",42045,7.4,10106,"719 of 3141"
"Franklin County",42055,7.4,3038,"734 of 3141"
"Pike County",42103,7.4,1138,"744 of 3141"
"Wyoming County",42131,7.5,547,"765 of 3141"
"Beaver County",42007,7.8,3564,"844 of 3141"
"Monroe County",42089,8.1,3325,"901 of 3141"
"Juniata County",42067,8.1,530,"903 of 3141"
"Bradford County",42015,8.1,1360,"904 of 3141"
"Indiana County",42063,8.2,1749,"938 of 3141"
"Lebanon County",42075,8.2,3023,"946 of 3141"
"Union County",42119,8.2,818,"951 of 3141"
"Allegheny County",42003,8.3,25342,"976 of 3141"
"Cameron County",42023,8.3,103,"980 of 3141"
"Fulton County",42057,8.3,340,"982 of 3141"
"Snyder County",42109,8.6,903,"1046 of 3141"
"Tioga County",42117,8.6,938,"1049 of 3141"
"Carbon County",42025,8.8,1502,"1105 of 3141"
"Columbia County",42037,8.9,1498,"1119 of 3141"
"Dauphin County",42043,8.9,6217,"1128 of 3141"
"Schuylkill County",42107,9.1,3483,"1168 of 3141"
"Somerset County",42111,9.3,1896,"1203 of 3141"
"Mifflin County",42087,9.3,1194,"1215 of 3141"
"Susquehanna County",42115,9.4,1112,"1249 of 3141"
"Warren County",42123,9.5,1042,"1283 of 3141"
"Lycoming County",42081,9.5,2841,"1296 of 3141"
"Huntingdon County",42061,9.5,1108,"1297 of 3141"
"Venango County",42121,9.6,1431,"1322 of 3141"
"Armstrong County",42005,9.7,1859,"1331 of 3141"
"Berks County",42011,9.7,10314,"1336 of 3141"
"Bedford County",42009,9.7,1306,"1339 of 3141"
"Northumberland County",42097,9.9,2465,"1368 of 3141"
"Mercer County",42085,9.9,2951,"1374 of 3141"
"Jefferson County",42065,9.9,1212,"1389 of 3141"
"Lehigh County",42077,10.0,9208,"1412 of 3141"
"Clarion County",42031,10.0,999,"1421 of 3141"
"Potter County",42105,10.3,441,"1495 of 3141"
"Crawford County",42039,10.4,2432,"1502 of 3141"
"Clinton County",42035,10.4,1009,"1511 of 3141"
"Cambria County",42021,10.4,3782,"1517 of 3141"
"Clearfield County",42033,10.4,2162,"1518 of 3141"
"Lawrence County",42073,10.6,2593,"1553 of 3141"
"Lackawanna County",42069,10.8,5649,"1618 of 3141"
"Blair County",42013,11.0,3611,"1669 of 3141"
"Luzerne County",42079,11.3,9259,"1740 of 3141"
"Greene County",42059,11.5,1103,"1783 of 3141"
"Erie County",42049,11.6,8029,"1806 of 3141"
"McKean County",42083,12.2,1338,"1937 of 3141"
"Fayette County",42051,13.6,4643,"2222 of 3141"
"Philadelphia County",42101,19.9,62156,"2895 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
