------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Pennsylvania",42000,17.1,2181022,"7 of 52"
"Centre County",42027,12.9,20703,"2773 of 3141"
"Philadelphia County",42101,12.9,203007,"2765 of 3141"
"Chester County",42029,15.0,77047,"2380 of 3141"
"Delaware County",42045,15.4,86922,"2274 of 3141"
"Monroe County",42089,15.7,26292,"2187 of 3141"
"Dauphin County",42043,15.7,43002,"2182 of 3141"
"Lehigh County",42077,15.9,57431,"2126 of 3141"
"Erie County",42049,16.3,45175,"2014 of 3141"
"Berks County",42011,16.3,67608,"2009 of 3141"
"York County",42133,16.3,72001,"2004 of 3141"
"Montgomery County",42091,16.7,136321,"1882 of 3141"
"Lancaster County",42071,16.7,89833,"1859 of 3141"
"Union County",42119,16.8,7571,"1837 of 3141"
"Perry County",42099,16.9,7739,"1818 of 3141"
"Bucks County",42017,17.1,107340,"1736 of 3141"
"Butler County",42019,17.3,32091,"1693 of 3141"
"Snyder County",42109,17.3,7020,"1674 of 3141"
"Cumberland County",42041,17.4,42707,"1649 of 3141"
"Greene County",42059,17.4,6511,"1624 of 3141"
"Clinton County",42035,17.6,6934,"1566 of 3141"
"Indiana County",42063,17.6,15273,"1559 of 3141"
"Allegheny County",42003,17.7,218085,"1526 of 3141"
"Northampton County",42095,17.8,53491,"1512 of 3141"
"Columbia County",42037,17.9,11932,"1469 of 3141"
"Lycoming County",42081,17.9,20711,"1462 of 3141"
"McKean County",42083,18.2,7644,"1394 of 3141"
"Clarion County",42031,18.3,7109,"1341 of 3141"
"Franklin County",42055,18.5,28244,"1303 of 3141"
"Lebanon County",42075,18.5,25475,"1287 of 3141"
"Adams County",42001,18.6,18883,"1265 of 3141"
"Lackawanna County",42069,18.9,40155,"1146 of 3141"
"Crawford County",42039,18.9,16455,"1144 of 3141"
"Wyoming County",42131,19.1,5300,"1102 of 3141"
"Juniata County",42067,19.1,4669,"1101 of 3141"
"Huntingdon County",42061,19.1,8728,"1099 of 3141"
"Luzerne County",42079,19.1,60908,"1090 of 3141"
"Clearfield County",42033,19.2,15445,"1078 of 3141"
"Washington County",42125,19.2,39937,"1064 of 3141"
"Schuylkill County",42107,19.4,27956,"1019 of 3141"
"Blair County",42013,19.4,24172,"1015 of 3141"
"Fayette County",42051,19.6,26085,"967 of 3141"
"Jefferson County",42065,19.7,8716,"941 of 3141"
"Carbon County",42025,19.7,12626,"932 of 3141"
"Bradford County",42015,19.9,12232,"900 of 3141"
"Beaver County",42007,20.0,33634,"868 of 3141"
"Northumberland County",42097,20.0,18640,"856 of 3141"
"Fulton County",42057,20.1,2945,"828 of 3141"
"Montour County",42093,20.1,3684,"827 of 3141"
"Mercer County",42085,20.2,22962,"809 of 3141"
"Tioga County",42117,20.2,8404,"800 of 3141"
"Venango County",42121,20.4,10791,"763 of 3141"
"Armstrong County",42005,20.4,13631,"758 of 3141"
"Mifflin County",42087,20.5,9501,"752 of 3141"
"Pike County",42103,20.5,11423,"742 of 3141"
"Lawrence County",42073,20.7,18234,"701 of 3141"
"Elk County",42047,20.7,6385,"686 of 3141"
"Cambria County",42021,20.9,28395,"663 of 3141"
"Somerset County",42111,20.9,15816,"658 of 3141"
"Westmoreland County",42129,21.1,75289,"622 of 3141"
"Warren County",42123,21.3,8600,"593 of 3141"
"Forest County",42053,21.3,1575,"592 of 3141"
"Susquehanna County",42115,21.4,8911,"583 of 3141"
"Bedford County",42009,21.5,10503,"557 of 3141"
"Potter County",42105,22.2,3791,"464 of 3141"
"Wayne County",42127,22.4,11571,"441 of 3141"
"Cameron County",42023,24.9,1184,"223 of 3141"
"Sullivan County",42113,26.9,1667,"112 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
