------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Pennsylvania",42000,48.9,6260160,"18 of 52"
"United States",00000,49.2,158018753,"N/A"
"Philadelphia County",42101,47.3,742412,"110 of 3141"
"Delaware County",42045,48.1,270775,"269 of 3141"
"Columbia County",42037,48.2,32085,"305 of 3141"
"Allegheny County",42003,48.2,593177,"340 of 3141"
"Lawrence County",42073,48.4,42663,"399 of 3141"
"Montour County",42093,48.4,8858,"428 of 3141"
"Dauphin County",42043,48.4,132330,"431 of 3141"
"Lackawanna County",42069,48.4,102652,"443 of 3141"
"Beaver County",42007,48.5,81606,"506 of 3141"
"Montgomery County",42091,48.6,397990,"560 of 3141"
"Lehigh County",42077,48.8,176067,"697 of 3141"
"Westmoreland County",42129,48.8,174211,"714 of 3141"
"Clarion County",42031,48.9,18932,"752 of 3141"
"Crawford County",42039,48.9,42498,"826 of 3141"
"Lancaster County",42071,49.0,262686,"860 of 3141"
"Lebanon County",42075,49.0,67390,"868 of 3141"
"Mifflin County",42087,49.0,22748,"871 of 3141"
"Blair County",42013,49.0,61106,"890 of 3141"
"Washington County",42125,49.0,101746,"895 of 3141"
"Bucks County",42017,49.1,307319,"941 of 3141"
"Clinton County",42035,49.1,19293,"955 of 3141"
"Lycoming County",42081,49.1,56644,"972 of 3141"
"Northampton County",42095,49.1,147829,"1008 of 3141"
"Cambria County",42021,49.1,66777,"1031 of 3141"
"Berks County",42011,49.2,204283,"1052 of 3141"
"Chester County",42029,49.3,253509,"1152 of 3141"
"Adams County",42001,49.3,50055,"1165 of 3141"
"Mercer County",42085,49.3,55992,"1176 of 3141"
"Fayette County",42051,49.3,65640,"1195 of 3141"
"Bradford County",42015,49.3,30348,"1205 of 3141"
"Luzerne County",42079,49.3,156922,"1208 of 3141"
"Venango County",42121,49.3,26094,"1253 of 3141"
"Erie County",42049,49.4,137134,"1280 of 3141"
"Franklin County",42055,49.4,75535,"1288 of 3141"
"Monroe County",42089,49.4,82610,"1304 of 3141"
"Butler County",42019,49.4,91847,"1319 of 3141"
"Cumberland County",42041,49.4,121449,"1352 of 3141"
"York County",42133,49.4,218524,"1361 of 3141"
"Snyder County",42109,49.5,20076,"1444 of 3141"
"Carbon County",42025,49.6,31716,"1534 of 3141"
"Tioga County",42117,49.6,20599,"1548 of 3141"
"Jefferson County",42065,49.6,21963,"1598 of 3141"
"Armstrong County",42005,49.7,33176,"1686 of 3141"
"Bedford County",42009,49.9,24404,"1870 of 3141"
"Juniata County",42067,49.9,12210,"1896 of 3141"
"Warren County",42123,49.9,20152,"1901 of 3141"
"Elk County",42047,50.1,15435,"2059 of 3141"
"Indiana County",42063,50.2,43449,"2115 of 3141"
"Pike County",42103,50.2,27956,"2118 of 3141"
"Wyoming County",42131,50.3,13958,"2178 of 3141"
"Susquehanna County",42115,50.3,20988,"2206 of 3141"
"Northumberland County",42097,50.4,46851,"2238 of 3141"
"Potter County",42105,50.4,8604,"2278 of 3141"
"Fulton County",42057,50.4,7376,"2284 of 3141"
"Perry County",42099,50.4,23135,"2290 of 3141"
"Cameron County",42023,50.9,2419,"2502 of 3141"
"Schuylkill County",42107,51.1,73691,"2560 of 3141"
"McKean County",42083,51.8,21802,"2740 of 3141"
"Greene County",42059,51.9,19397,"2768 of 3141"
"Somerset County",42111,52.0,39289,"2769 of 3141"
"Clearfield County",42033,52.1,41950,"2796 of 3141"
"Sullivan County",42113,52.2,3234,"2819 of 3141"
"Centre County",42027,52.5,84313,"2856 of 3141"
"Huntingdon County",42061,52.8,24129,"2881 of 3141"
"Wayne County",42127,53.1,27404,"2906 of 3141"
"Union County",42119,55.0,24776,"3024 of 3141"
"Forest County",42053,80.8,5972,"3141 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
