------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Pennsylvania",42000,2.7,336067,"16 of 51"
"United States",00000,3.2,10247779,"N/A"
"Bradford County",42015,0.9,539,"36 of 3140"
"Elk County",42047,0.9,288,"42 of 3140"
"Bedford County",42009,1.4,669,"119 of 3140"
"Philadelphia County",42101,1.7,26386,"215 of 3140"
"Franklin County",42055,1.8,2673,"240 of 3140"
"Warren County",42123,1.8,721,"248 of 3140"
"Allegheny County",42003,1.8,22375,"264 of 3140"
"York County",42133,2.0,8531,"316 of 3140"
"Lawrence County",42073,2.0,1711,"319 of 3140"
"McKean County",42083,2.0,826,"328 of 3140"
"Luzerne County",42079,2.0,6388,"345 of 3140"
"Erie County",42049,2.1,5677,"365 of 3140"
"Schuylkill County",42107,2.1,2998,"387 of 3140"
"Pike County",42103,2.1,1171,"395 of 3140"
"Bucks County",42017,2.2,13609,"442 of 3140"
"Lancaster County",42071,2.2,11624,"443 of 3140"
"Susquehanna County",42115,2.2,923,"462 of 3140"
"Tioga County",42117,2.3,930,"481 of 3140"
"Fayette County",42051,2.3,3060,"514 of 3140"
"Somerset County",42111,2.4,1768,"532 of 3140"
"Monroe County",42089,2.4,3935,"536 of 3140"
"Adams County",42001,2.4,2442,"570 of 3140"
"Potter County",42105,2.5,418,"602 of 3140"
"Berks County",42011,2.5,10333,"629 of 3140"
"Westmoreland County",42129,2.5,8940,"644 of 3140"
"Snyder County",42109,2.5,1021,"660 of 3140"
"Beaver County",42007,2.6,4262,"667 of 3140"
"Mercer County",42085,2.6,2932,"703 of 3140"
"Lackawanna County",42069,2.6,5526,"722 of 3140"
"Blair County",42013,2.6,3266,"730 of 3140"
"Delaware County",42045,2.7,14857,"749 of 3140"
"Northampton County",42095,2.7,8056,"770 of 3140"
"Mifflin County",42087,2.7,1250,"783 of 3140"
"Armstrong County",42005,2.8,1822,"807 of 3140"
"Carbon County",42025,2.8,1773,"841 of 3140"
"Lehigh County",42077,2.9,10253,"897 of 3140"
"Chester County",42029,2.9,14775,"915 of 3140"
"Lycoming County",42081,3.0,3380,"951 of 3140"
"Cambria County",42021,3.0,3987,"953 of 3140"
"Crawford County",42039,3.0,2609,"1001 of 3140"
"Greene County",42059,3.1,1149,"1050 of 3140"
"Washington County",42125,3.1,6424,"1063 of 3140"
"Jefferson County",42065,3.1,1378,"1082 of 3140"
"Venango County",42121,3.3,1708,"1174 of 3140"
"Juniata County",42067,3.3,795,"1191 of 3140"
"Lebanon County",42075,3.3,4483,"1196 of 3140"
"Montgomery County",42091,3.3,26753,"1198 of 3140"
"Perry County",42099,3.4,1528,"1233 of 3140"
"Northumberland County",42097,3.6,3269,"1396 of 3140"
"Dauphin County",42043,3.6,9804,"1450 of 3140"
"Wayne County",42127,3.6,1868,"1454 of 3140"
"Huntingdon County",42061,3.8,1718,"1575 of 3140"
"Wyoming County",42131,3.8,1054,"1595 of 3140"
"Clearfield County",42033,3.9,3095,"1622 of 3140"
"Butler County",42019,3.9,7159,"1632 of 3140"
"Fulton County",42057,4.0,587,"1732 of 3140"
"Columbia County",42037,4.7,3099,"2083 of 3140"
"Union County",42119,4.7,2114,"2120 of 3140"
"Clarion County",42031,5.0,1933,"2274 of 3140"
"Clinton County",42035,5.2,2031,"2359 of 3140"
"Cameron County",42023,5.2,246,"2370 of 3140"
"Cumberland County",42041,5.5,13297,"2470 of 3140"
"Montour County",42093,6.1,1115,"2662 of 3140"
"Sullivan County",42113,6.2,382,"2685 of 3140"
"Indiana County",42063,7.7,6621,"2925 of 3140"
"Centre County",42027,8.0,12796,"2958 of 3140"
"Forest County",42053,13.1,957,"3117 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
