------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Pennsylvania",42000,11.1,1417611,"21 of 52"
"United States",00000,12.7,40610815,"N/A"
"Potter County",42105,0.4,63,"2684 of 3141"
"Bedford County",42009,0.4,217,"2601 of 3141"
"Warren County",42123,0.5,185,"2584 of 3141"
"Elk County",42047,0.5,157,"2512 of 3141"
"Tioga County",42117,0.6,238,"2443 of 3141"
"Bradford County",42015,0.6,362,"2424 of 3141"
"Jefferson County",42065,0.6,265,"2405 of 3141"
"Susquehanna County",42115,0.6,262,"2373 of 3141"
"Mifflin County",42087,0.7,306,"2340 of 3141"
"Wyoming County",42131,0.7,188,"2310 of 3141"
"Snyder County",42109,0.9,361,"2117 of 3141"
"Perry County",42099,0.9,416,"2110 of 3141"
"Venango County",42121,0.9,484,"2104 of 3141"
"Butler County",42019,0.9,1739,"2092 of 3141"
"Armstrong County",42005,1.0,637,"2068 of 3141"
"Juniata County",42067,1.1,266,"1993 of 3141"
"Clarion County",42031,1.2,446,"1966 of 3141"
"Cameron County",42023,1.2,55,"1959 of 3141"
"Adams County",42001,1.4,1469,"1827 of 3141"
"Blair County",42013,1.5,1862,"1801 of 3141"
"Clinton County",42035,1.5,594,"1796 of 3141"
"Fulton County",42057,1.6,234,"1753 of 3141"
"Montour County",42093,1.8,329,"1686 of 3141"
"Carbon County",42025,1.8,1165,"1676 of 3141"
"Columbia County",42037,1.8,1220,"1674 of 3141"
"Crawford County",42039,1.9,1682,"1643 of 3141"
"Lebanon County",42075,2.2,3021,"1580 of 3141"
"Indiana County",42063,2.3,2001,"1554 of 3141"
"Westmoreland County",42129,2.4,8432,"1546 of 3141"
"Sullivan County",42113,2.6,158,"1491 of 3141"
"McKean County",42083,2.6,1111,"1478 of 3141"
"Northumberland County",42097,2.7,2529,"1465 of 3141"
"Clearfield County",42033,2.7,2211,"1458 of 3141"
"Somerset County",42111,2.8,2080,"1456 of 3141"
"Schuylkill County",42107,2.8,4052,"1446 of 3141"
"Lackawanna County",42069,2.9,6100,"1429 of 3141"
"Washington County",42125,3.0,6286,"1407 of 3141"
"Cambria County",42021,3.3,4521,"1356 of 3141"
"Greene County",42059,3.4,1270,"1344 of 3141"
"Wayne County",42127,3.4,1764,"1343 of 3141"
"Lawrence County",42073,3.6,3151,"1318 of 3141"
"Cumberland County",42041,3.7,9105,"1305 of 3141"
"Franklin County",42055,3.9,6033,"1267 of 3141"
"Bucks County",42017,4.0,24757,"1265 of 3141"
"Fayette County",42051,4.0,5299,"1260 of 3141"
"Centre County",42027,4.0,6397,"1259 of 3141"
"Lancaster County",42071,4.3,22900,"1220 of 3141"
"Luzerne County",42079,4.3,13687,"1217 of 3141"
"Lycoming County",42081,4.9,5711,"1145 of 3141"
"Berks County",42011,5.1,21089,"1130 of 3141"
"Huntingdon County",42061,5.4,2446,"1102 of 3141"
"Northampton County",42095,5.4,16204,"1099 of 3141"
"York County",42133,5.7,25093,"1073 of 3141"
"Mercer County",42085,5.8,6567,"1061 of 3141"
"Chester County",42029,5.9,30201,"1052 of 3141"
"Beaver County",42007,6.0,10016,"1046 of 3141"
"Pike County",42103,6.1,3382,"1029 of 3141"
"Union County",42119,6.6,2990,"988 of 3141"
"Lehigh County",42077,6.9,24878,"966 of 3141"
"Erie County",42049,7.1,19850,"953 of 3141"
"Montgomery County",42091,9.0,73771,"839 of 3141"
"Allegheny County",42003,12.9,158779,"682 of 3141"
"Monroe County",42089,14.1,23629,"639 of 3141"
"Dauphin County",42043,18.7,51184,"527 of 3141"
"Delaware County",42045,21.2,119269,"470 of 3141"
"Forest County",42053,32.0,2362,"285 of 3141"
"Philadelphia County",42101,42.6,668123,"154 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
