------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Pennsylvania",42000,0.2,24995,"48 of 52"
"United States",00000,0.8,2632102,"N/A"
"Montour County",42093,0.0,2,"2946 of 3141"
"Armstrong County",42005,0.0,8,"2941 of 3141"
"Juniata County",42067,0.0,4,"2930 of 3141"
"Blair County",42013,0.0,26,"2921 of 3141"
"Carbon County",42025,0.0,20,"2887 of 3141"
"Venango County",42121,0.0,22,"2848 of 3141"
"Cambria County",42021,0.0,61,"2837 of 3141"
"Fayette County",42051,0.0,66,"2821 of 3141"
"Crawford County",42039,0.1,44,"2818 of 3141"
"Adams County",42001,0.1,52,"2816 of 3141"
"Snyder County",42109,0.1,24,"2788 of 3141"
"Lawrence County",42073,0.1,55,"2780 of 3141"
"Butler County",42019,0.1,116,"2778 of 3141"
"Bradford County",42015,0.1,39,"2770 of 3141"
"Huntingdon County",42061,0.1,30,"2761 of 3141"
"Somerset County",42111,0.1,50,"2760 of 3141"
"Beaver County",42007,0.1,120,"2740 of 3141"
"Wyoming County",42131,0.1,22,"2705 of 3141"
"Mifflin County",42087,0.1,39,"2692 of 3141"
"Lackawanna County",42069,0.1,180,"2687 of 3141"
"Westmoreland County",42129,0.1,317,"2666 of 3141"
"Lebanon County",42075,0.1,123,"2665 of 3141"
"Mercer County",42085,0.1,103,"2662 of 3141"
"Greene County",42059,0.1,36,"2644 of 3141"
"Cumberland County",42041,0.1,239,"2640 of 3141"
"Montgomery County",42091,0.1,838,"2623 of 3141"
"Washington County",42125,0.1,236,"2574 of 3141"
"Allegheny County",42003,0.1,1417,"2568 of 3141"
"Warren County",42123,0.1,47,"2560 of 3141"
"York County",42133,0.1,521,"2554 of 3141"
"Tioga County",42117,0.1,50,"2543 of 3141"
"Pike County",42103,0.1,69,"2527 of 3141"
"Chester County",42029,0.1,638,"2526 of 3141"
"Bedford County",42009,0.1,61,"2522 of 3141"
"Columbia County",42037,0.1,84,"2517 of 3141"
"Centre County",42027,0.1,206,"2504 of 3141"
"Delaware County",42045,0.1,749,"2485 of 3141"
"Clinton County",42035,0.1,55,"2447 of 3141"
"McKean County",42083,0.1,62,"2422 of 3141"
"Lycoming County",42081,0.1,173,"2411 of 3141"
"Lancaster County",42071,0.2,826,"2394 of 3141"
"Schuylkill County",42107,0.2,244,"2331 of 3141"
"Bucks County",42017,0.2,1081,"2311 of 3141"
"Clarion County",42031,0.2,72,"2237 of 3141"
"Perry County",42099,0.2,86,"2227 of 3141"
"Clearfield County",42033,0.2,157,"2190 of 3141"
"Franklin County",42055,0.2,300,"2185 of 3141"
"Dauphin County",42043,0.2,540,"2175 of 3141"
"Susquehanna County",42115,0.2,84,"2155 of 3141"
"Indiana County",42063,0.2,181,"2116 of 3141"
"Cameron County",42023,0.2,10,"2111 of 3141"
"Potter County",42105,0.2,38,"2055 of 3141"
"Lehigh County",42077,0.2,822,"2034 of 3141"
"Elk County",42047,0.2,72,"2012 of 3141"
"Luzerne County",42079,0.2,750,"2001 of 3141"
"Jefferson County",42065,0.2,109,"1966 of 3141"
"Fulton County",42057,0.3,37,"1934 of 3141"
"Erie County",42049,0.3,734,"1876 of 3141"
"Wayne County",42127,0.3,143,"1820 of 3141"
"Northumberland County",42097,0.3,268,"1778 of 3141"
"Forest County",42053,0.3,23,"1671 of 3141"
"Philadelphia County",42101,0.4,5641,"1495 of 3141"
"Northampton County",42095,0.4,1100,"1474 of 3141"
"Monroe County",42089,0.4,720,"1303 of 3141"
"Sullivan County",42113,0.5,32,"1130 of 3141"
"Union County",42119,0.5,245,"1093 of 3141"
"Berks County",42011,0.9,3676,"737 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
