------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Pennsylvania",42000,7.3,920789,"8 of 51"
"United States",00000,8.4,26717038,"N/A"
"Forest County",42053,2.1,151,"104 of 3140"
"Sullivan County",42113,3.6,224,"408 of 3140"
"Montour County",42093,3.8,689,"461 of 3140"
"Fulton County",42057,3.9,562,"491 of 3140"
"Pike County",42103,4.0,2194,"517 of 3140"
"Juniata County",42067,4.1,981,"550 of 3140"
"Armstrong County",42005,4.5,2985,"709 of 3140"
"Perry County",42099,4.5,2056,"712 of 3140"
"Wayne County",42127,4.5,2334,"723 of 3140"
"Monroe County",42089,4.7,7786,"774 of 3140"
"Bedford County",42009,4.7,2281,"783 of 3140"
"Bucks County",42017,4.7,29325,"791 of 3140"
"Delaware County",42045,5.0,28079,"935 of 3140"
"Warren County",42123,5.1,2031,"959 of 3140"
"Carbon County",42025,5.2,3330,"1042 of 3140"
"Potter County",42105,5.4,908,"1099 of 3140"
"Fayette County",42051,5.4,7095,"1110 of 3140"
"Somerset County",42111,5.4,4036,"1111 of 3140"
"Clearfield County",42033,5.5,4429,"1179 of 3140"
"Montgomery County",42091,5.5,44928,"1186 of 3140"
"Susquehanna County",42115,5.5,2294,"1187 of 3140"
"Westmoreland County",42129,5.7,20281,"1275 of 3140"
"Columbia County",42037,5.8,3805,"1287 of 3140"
"Chester County",42029,5.8,29409,"1299 of 3140"
"Northumberland County",42097,5.8,5339,"1316 of 3140"
"Jefferson County",42065,6.0,2610,"1415 of 3140"
"Butler County",42019,6.0,11116,"1443 of 3140"
"Huntingdon County",42061,6.1,2760,"1484 of 3140"
"Union County",42119,6.1,2737,"1495 of 3140"
"Schuylkill County",42107,6.2,8827,"1522 of 3140"
"Cameron County",42023,6.2,291,"1531 of 3140"
"Elk County",42047,6.3,1915,"1574 of 3140"
"Bradford County",42015,6.3,3831,"1579 of 3140"
"Snyder County",42109,6.3,2527,"1582 of 3140"
"Adams County",42001,6.4,6438,"1631 of 3140"
"Beaver County",42007,6.4,10742,"1651 of 3140"
"Franklin County",42055,6.5,9826,"1675 of 3140"
"Lawrence County",42073,6.5,5692,"1683 of 3140"
"Washington County",42125,6.6,13649,"1739 of 3140"
"Wyoming County",42131,6.7,1839,"1749 of 3140"
"Cumberland County",42041,6.7,16363,"1771 of 3140"
"Northampton County",42095,6.9,20450,"1814 of 3140"
"Mercer County",42085,7.0,7877,"1871 of 3140"
"Blair County",42013,7.1,8811,"1924 of 3140"
"Clinton County",42035,7.1,2779,"1926 of 3140"
"Lebanon County",42075,7.4,10038,"2043 of 3140"
"Greene County",42059,7.4,2731,"2047 of 3140"
"Lackawanna County",42069,7.4,15619,"2067 of 3140"
"Lancaster County",42071,7.5,39847,"2094 of 3140"
"Cambria County",42021,7.5,10136,"2096 of 3140"
"Venango County",42121,7.7,4048,"2173 of 3140"
"Clarion County",42031,7.8,2986,"2193 of 3140"
"Tioga County",42117,7.9,3228,"2216 of 3140"
"Luzerne County",42079,7.9,24798,"2225 of 3140"
"Mifflin County",42087,8.3,3800,"2350 of 3140"
"Lehigh County",42077,8.3,29531,"2356 of 3140"
"Berks County",42011,8.4,34575,"2384 of 3140"
"Crawford County",42039,8.5,7342,"2420 of 3140"
"Dauphin County",42043,8.9,23898,"2517 of 3140"
"York County",42133,8.9,38991,"2534 of 3140"
"Indiana County",42063,8.9,7655,"2537 of 3140"
"McKean County",42083,8.9,3728,"2541 of 3140"
"Allegheny County",42003,9.0,108889,"2547 of 3140"
"Lycoming County",42081,9.1,10338,"2576 of 3140"
"Philadelphia County",42101,9.2,141862,"2598 of 3140"
"Erie County",42049,10.8,29688,"2902 of 3140"
"Centre County",42027,11.6,18449,"3006 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
