------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Pennsylvania",42000,81.1,10378174,"22 of 52"
"Philadelphia County",42101,41.6,652204,"3027 of 3141"
"Forest County",42053,62.5,4617,"2766 of 3141"
"Delaware County",42045,69.7,392912,"2569 of 3141"
"Dauphin County",42043,71.4,195064,"2525 of 3141"
"Monroe County",42089,77.0,128746,"2349 of 3141"
"Lehigh County",42077,78.6,283607,"2276 of 3141"
"Montgomery County",42091,79.9,653904,"2221 of 3141"
"Allegheny County",42003,80.3,987932,"2199 of 3141"
"Berks County",42011,82.8,344016,"2087 of 3141"
"Chester County",42029,85.8,441502,"1932 of 3141"
"Northampton County",42095,86.2,259314,"1901 of 3141"
"Erie County",42049,87.1,242063,"1832 of 3141"
"Lebanon County",42075,87.3,120081,"1826 of 3141"
"Union County",42119,87.4,39384,"1813 of 3141"
"Centre County",42027,87.8,140986,"1783 of 3141"
"Bucks County",42017,88.5,554141,"1696 of 3141"
"Lancaster County",42071,88.6,475145,"1687 of 3141"
"Cumberland County",42041,88.8,218227,"1666 of 3141"
"York County",42133,88.9,393265,"1652 of 3141"
"Pike County",42103,89.0,49540,"1649 of 3141"
"Luzerne County",42079,89.1,283692,"1632 of 3141"
"Beaver County",42007,90.6,152373,"1502 of 3141"
"Mercer County",42085,91.2,103680,"1424 of 3141"
"Huntingdon County",42061,91.9,41966,"1342 of 3141"
"Lycoming County",42081,92.0,106211,"1316 of 3141"
"Lackawanna County",42069,92.2,195401,"1292 of 3141"
"Adams County",42001,92.4,93849,"1275 of 3141"
"Fayette County",42051,92.7,123482,"1222 of 3141"
"Lawrence County",42073,93.0,82074,"1190 of 3141"
"Franklin County",42055,93.0,142343,"1188 of 3141"
"Washington County",42125,93.7,194604,"1059 of 3141"
"Cambria County",42021,93.8,127405,"1050 of 3141"
"Schuylkill County",42107,93.8,135378,"1041 of 3141"
"Sullivan County",42113,94.0,5818,"1021 of 3141"
"Wayne County",42127,94.0,48572,"1008 of 3141"
"Greene County",42059,94.2,35186,"980 of 3141"
"Montour County",42093,94.4,17274,"953 of 3141"
"McKean County",42083,94.6,39798,"904 of 3141"
"Indiana County",42063,94.6,81886,"899 of 3141"
"Westmoreland County",42129,94.9,338659,"844 of 3141"
"Columbia County",42037,95.1,63341,"811 of 3141"
"Northumberland County",42097,95.2,88534,"798 of 3141"
"Clearfield County",42033,95.2,76678,"784 of 3141"
"Somerset County",42111,95.3,72098,"767 of 3141"
"Blair County",42013,95.7,119348,"691 of 3141"
"Crawford County",42039,95.7,83110,"685 of 3141"
"Butler County",42019,96.1,178768,"581 of 3141"
"Carbon County",42025,96.2,61552,"555 of 3141"
"Clinton County",42035,96.3,37849,"536 of 3141"
"Snyder County",42109,96.6,39197,"438 of 3141"
"Juniata County",42067,96.8,23656,"392 of 3141"
"Clarion County",42031,96.8,37509,"380 of 3141"
"Venango County",42121,96.9,51252,"348 of 3141"
"Bradford County",42015,97.0,59678,"335 of 3141"
"Fulton County",42057,97.0,14191,"326 of 3141"
"Mifflin County",42087,97.1,45107,"296 of 3141"
"Tioga County",42117,97.1,40349,"293 of 3141"
"Perry County",42099,97.2,44591,"271 of 3141"
"Wyoming County",42131,97.2,26991,"263 of 3141"
"Cameron County",42023,97.3,4625,"247 of 3141"
"Potter County",42105,97.3,16607,"246 of 3141"
"Susquehanna County",42115,97.6,40699,"177 of 3141"
"Bedford County",42009,97.6,47728,"166 of 3141"
"Armstrong County",42005,97.9,65307,"120 of 3141"
"Warren County",42123,97.9,39488,"117 of 3141"
"Jefferson County",42065,98.0,43390,"87 of 3141"
"Elk County",42047,98.2,30230,"63 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
