------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Pennsylvania",42000,21.0,2688917,"44 of 52"
"United States",00000,22.9,73601279,"N/A"
"Forest County",42053,9.0,667,"3138 of 3141"
"Sullivan County",42113,12.0,740,"3132 of 3141"
"Centre County",42027,15.3,24547,"3087 of 3141"
"Wayne County",42127,17.2,8888,"2974 of 3141"
"Union County",42119,17.7,7955,"2933 of 3141"
"Columbia County",42037,17.8,11868,"2918 of 3141"
"Cameron County",42023,17.9,849,"2914 of 3141"
"Indiana County",42063,18.2,15795,"2854 of 3141"
"Somerset County",42111,18.3,13854,"2842 of 3141"
"Clearfield County",42033,18.6,14990,"2804 of 3141"
"Westmoreland County",42129,18.8,66980,"2778 of 3141"
"Clarion County",42031,18.8,7296,"2766 of 3141"
"Huntingdon County",42061,18.9,8635,"2754 of 3141"
"Allegheny County",42003,19.0,233319,"2742 of 3141"
"Susquehanna County",42115,19.2,8008,"2698 of 3141"
"Greene County",42059,19.2,7183,"2693 of 3141"
"Cambria County",42021,19.3,26277,"2667 of 3141"
"Pike County",42103,19.4,10797,"2648 of 3141"
"Fayette County",42051,19.5,25938,"2627 of 3141"
"Armstrong County",42005,19.5,13018,"2614 of 3141"
"Luzerne County",42079,19.6,62416,"2589 of 3141"
"Schuylkill County",42107,19.6,28336,"2582 of 3141"
"Beaver County",42007,19.7,33064,"2576 of 3141"
"Warren County",42123,19.7,7937,"2573 of 3141"
"Carbon County",42025,19.7,12626,"2558 of 3141"
"Elk County",42047,19.7,6074,"2557 of 3141"
"Washington County",42125,19.8,41027,"2549 of 3141"
"Northumberland County",42097,19.9,18476,"2532 of 3141"
"McKean County",42083,20.0,8401,"2499 of 3141"
"Montour County",42093,20.0,3659,"2491 of 3141"
"Tioga County",42117,20.1,8337,"2472 of 3141"
"Mercer County",42085,20.1,22842,"2457 of 3141"
"Venango County",42121,20.2,10669,"2440 of 3141"
"Wyoming County",42131,20.2,5605,"2435 of 3141"
"Lawrence County",42073,20.2,17835,"2431 of 3141"
"Lackawanna County",42069,20.2,42867,"2424 of 3141"
"Bedford County",42009,20.3,9906,"2406 of 3141"
"Clinton County",42035,20.4,8004,"2381 of 3141"
"Cumberland County",42041,20.4,50118,"2370 of 3141"
"Northampton County",42095,20.4,61453,"2356 of 3141"
"Adams County",42001,20.6,20918,"2307 of 3141"
"Monroe County",42089,20.6,34514,"2293 of 3141"
"Lycoming County",42081,20.6,23817,"2290 of 3141"
"Blair County",42013,20.7,25823,"2275 of 3141"
"Butler County",42019,20.7,38553,"2262 of 3141"
"Fulton County",42057,21.0,3075,"2154 of 3141"
"Potter County",42105,21.1,3601,"2124 of 3141"
"Bucks County",42017,21.1,132392,"2105 of 3141"
"Jefferson County",42065,21.2,9382,"2087 of 3141"
"Crawford County",42039,21.3,18464,"2065 of 3141"
"Snyder County",42109,21.6,8748,"1957 of 3141"
"Perry County",42099,21.8,9990,"1872 of 3141"
"Erie County",42049,21.8,60540,"1864 of 3141"
"Montgomery County",42091,21.9,179099,"1834 of 3141"
"Philadelphia County",42101,22.0,345589,"1763 of 3141"
"Bradford County",42015,22.1,13577,"1748 of 3141"
"Delaware County",42045,22.2,125253,"1660 of 3141"
"York County",42133,22.4,98841,"1604 of 3141"
"Dauphin County",42043,22.5,61451,"1546 of 3141"
"Mifflin County",42087,22.6,10520,"1479 of 3141"
"Juniata County",42067,22.7,5538,"1476 of 3141"
"Franklin County",42055,22.7,34785,"1445 of 3141"
"Berks County",42011,22.7,94476,"1440 of 3141"
"Lehigh County",42077,22.8,82388,"1393 of 3141"
"Lebanon County",42075,23.0,31635,"1324 of 3141"
"Chester County",42029,23.3,119968,"1175 of 3141"
"Lancaster County",42071,24.0,128724,"881 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
