------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Pennsylvania",42000,1.4,69359,"50 of 52"
"United States",00000,3.3,3975282,"N/A"
"Forest County",42053,0.2,3,"3079 of 3141"
"Sullivan County",42113,0.3,8,"3056 of 3141"
"Elk County",42047,0.5,70,"2984 of 3141"
"Westmoreland County",42129,0.5,793,"2983 of 3141"
"Cameron County",42023,0.5,12,"2972 of 3141"
"Butler County",42019,0.7,508,"2906 of 3141"
"Columbia County",42037,0.7,179,"2905 of 3141"
"Potter County",42105,0.7,49,"2853 of 3141"
"Wayne County",42127,0.8,146,"2847 of 3141"
"Lycoming County",42081,0.8,358,"2830 of 3141"
"McKean County",42083,0.8,137,"2815 of 3141"
"Tioga County",42117,0.8,129,"2813 of 3141"
"Allegheny County",42003,0.8,4491,"2785 of 3141"
"Washington County",42125,0.9,717,"2767 of 3141"
"Venango County",42121,0.9,193,"2733 of 3141"
"Warren County",42123,0.9,151,"2729 of 3141"
"Cumberland County",42041,0.9,883,"2706 of 3141"
"Schuylkill County",42107,0.9,538,"2691 of 3141"
"Greene County",42059,0.9,135,"2681 of 3141"
"Fulton County",42057,1.0,58,"2642 of 3141"
"Beaver County",42007,1.0,690,"2633 of 3141"
"Montour County",42093,1.0,73,"2630 of 3141"
"Pike County",42103,1.0,213,"2617 of 3141"
"Armstrong County",42005,1.0,282,"2615 of 3141"
"Clearfield County",42033,1.0,318,"2591 of 3141"
"Northampton County",42095,1.0,1164,"2589 of 3141"
"Cambria County",42021,1.0,585,"2587 of 3141"
"Jefferson County",42065,1.0,189,"2583 of 3141"
"Bucks County",42017,1.0,2426,"2580 of 3141"
"Lawrence County",42073,1.0,381,"2572 of 3141"
"Huntingdon County",42061,1.1,189,"2486 of 3141"
"Wyoming County",42131,1.1,121,"2482 of 3141"
"Blair County",42013,1.2,596,"2434 of 3141"
"Luzerne County",42079,1.2,1495,"2419 of 3141"
"Montgomery County",42091,1.2,3697,"2400 of 3141"
"Somerset County",42111,1.2,357,"2383 of 3141"
"Clinton County",42035,1.2,178,"2366 of 3141"
"Chester County",42029,1.2,2324,"2345 of 3141"
"York County",42133,1.3,2260,"2215 of 3141"
"Crawford County",42039,1.4,480,"2177 of 3141"
"Northumberland County",42097,1.4,551,"2144 of 3141"
"Franklin County",42055,1.4,844,"2141 of 3141"
"Perry County",42099,1.4,253,"2128 of 3141"
"Berks County",42011,1.4,2190,"2113 of 3141"
"Delaware County",42045,1.4,2921,"2109 of 3141"
"Clarion County",42031,1.4,228,"2104 of 3141"
"Lackawanna County",42069,1.4,1235,"2098 of 3141"
"Erie County",42049,1.4,1600,"2080 of 3141"
"Mercer County",42085,1.4,664,"2080 of 3141"
"Union County",42119,1.5,215,"2070 of 3141"
"Mifflin County",42087,1.5,282,"2035 of 3141"
"Snyder County",42109,1.5,218,"2030 of 3141"
"Monroe County",42089,1.6,892,"1969 of 3141"
"Susquehanna County",42115,1.6,272,"1956 of 3141"
"Indiana County",42063,1.6,533,"1952 of 3141"
"Dauphin County",42043,1.6,1751,"1941 of 3141"
"Adams County",42001,1.6,611,"1940 of 3141"
"Bradford County",42015,1.6,409,"1864 of 3141"
"Bedford County",42009,1.6,324,"1862 of 3141"
"Carbon County",42025,1.8,462,"1734 of 3141"
"Lehigh County",42077,2.0,2763,"1486 of 3141"
"Lancaster County",42071,2.1,4098,"1436 of 3141"
"Lebanon County",42075,2.1,1115,"1386 of 3141"
"Fayette County",42051,2.2,1177,"1317 of 3141"
"Centre County",42027,2.2,1267,"1306 of 3141"
"Philadelphia County",42101,2.5,14653,"1040 of 3141"
"Juniata County",42067,2.7,255,"864 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
