------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Pennsylvania",42000,1.9,235380,"7 of 51"
"United States",00000,2.3,7354769,"N/A"
"Elk County",42047,0.4,126,"129 of 3140"
"Juniata County",42067,0.5,125,"194 of 3140"
"Mifflin County",42087,0.7,308,"303 of 3140"
"Clinton County",42035,0.8,298,"384 of 3140"
"Perry County",42099,0.8,349,"389 of 3140"
"Schuylkill County",42107,0.8,1126,"414 of 3140"
"Blair County",42013,0.8,1001,"435 of 3140"
"Venango County",42121,0.8,429,"441 of 3140"
"Fayette County",42051,0.9,1130,"477 of 3140"
"Armstrong County",42005,0.9,569,"482 of 3140"
"Somerset County",42111,0.9,695,"563 of 3140"
"Forest County",42053,1.0,71,"609 of 3140"
"Westmoreland County",42129,1.0,3454,"617 of 3140"
"Northumberland County",42097,1.0,923,"654 of 3140"
"Lebanon County",42075,1.0,1397,"675 of 3140"
"Jefferson County",42065,1.1,471,"732 of 3140"
"Bedford County",42009,1.1,555,"822 of 3140"
"Huntingdon County",42061,1.1,520,"825 of 3140"
"Clearfield County",42033,1.2,946,"875 of 3140"
"Carbon County",42025,1.3,809,"980 of 3140"
"Cameron County",42023,1.3,60,"981 of 3140"
"Fulton County",42057,1.3,186,"990 of 3140"
"Berks County",42011,1.3,5368,"1020 of 3140"
"Sullivan County",42113,1.3,82,"1049 of 3140"
"Columbia County",42037,1.3,887,"1057 of 3140"
"Lycoming County",42081,1.3,1532,"1058 of 3140"
"Beaver County",42007,1.3,2243,"1062 of 3140"
"Cambria County",42021,1.4,1860,"1109 of 3140"
"Washington County",42125,1.4,2873,"1132 of 3140"
"Crawford County",42039,1.4,1203,"1133 of 3140"
"Butler County",42019,1.4,2581,"1138 of 3140"
"Lawrence County",42073,1.4,1232,"1149 of 3140"
"Tioga County",42117,1.4,586,"1174 of 3140"
"Clarion County",42031,1.5,564,"1213 of 3140"
"Wyoming County",42131,1.5,409,"1232 of 3140"
"Lancaster County",42071,1.5,7944,"1257 of 3140"
"Luzerne County",42079,1.5,4754,"1267 of 3140"
"Montour County",42093,1.6,292,"1380 of 3140"
"Warren County",42123,1.7,661,"1439 of 3140"
"Greene County",42059,1.7,618,"1462 of 3140"
"Bradford County",42015,1.7,1059,"1542 of 3140"
"Snyder County",42109,1.7,701,"1549 of 3140"
"Indiana County",42063,1.8,1506,"1557 of 3140"
"Montgomery County",42091,1.8,14247,"1560 of 3140"
"Bucks County",42017,1.8,10952,"1569 of 3140"
"Susquehanna County",42115,1.8,752,"1614 of 3140"
"Mercer County",42085,1.8,2048,"1617 of 3140"
"Potter County",42105,1.8,309,"1624 of 3140"
"York County",42133,1.9,8251,"1682 of 3140"
"Wayne County",42127,1.9,987,"1710 of 3140"
"Delaware County",42045,1.9,10832,"1735 of 3140"
"Lackawanna County",42069,2.0,4241,"1801 of 3140"
"Franklin County",42055,2.0,3065,"1809 of 3140"
"McKean County",42083,2.1,858,"1840 of 3140"
"Erie County",42049,2.1,5778,"1877 of 3140"
"Allegheny County",42003,2.1,25836,"1892 of 3140"
"Lehigh County",42077,2.2,7712,"1923 of 3140"
"Chester County",42029,2.2,11218,"1964 of 3140"
"Dauphin County",42043,2.3,6097,"1993 of 3140"
"Philadelphia County",42101,2.3,35238,"2005 of 3140"
"Cumberland County",42041,2.5,6048,"2147 of 3140"
"Northampton County",42095,2.5,7507,"2169 of 3140"
"Monroe County",42089,2.6,4344,"2233 of 3140"
"Adams County",42001,2.6,2639,"2234 of 3140"
"Centre County",42027,4.5,7113,"2900 of 3140"
"Pike County",42103,4.6,2527,"2916 of 3140"
"Union County",42119,5.1,2278,"2975 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
