------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Pennsylvania",42000,6.5,422016,"28 of 52"
"United States",00000,6.6,10560305,"N/A"
"Union County",42119,3.4,650,"426 of 3141"
"Snyder County",42109,3.6,759,"510 of 3141"
"Cameron County",42023,4.1,91,"654 of 3141"
"Cumberland County",42041,4.2,5407,"684 of 3141"
"Mifflin County",42087,4.2,914,"685 of 3141"
"Perry County",42099,4.3,1042,"748 of 3141"
"Juniata County",42067,4.4,510,"757 of 3141"
"Montour County",42093,4.4,399,"779 of 3141"
"Butler County",42019,4.5,4402,"832 of 3141"
"Centre County",42027,4.6,3713,"881 of 3141"
"Lancaster County",42071,4.7,13123,"902 of 3141"
"Jefferson County",42065,4.7,974,"903 of 3141"
"Elk County",42047,4.8,757,"935 of 3141"
"Chester County",42029,4.8,13607,"978 of 3141"
"Westmoreland County",42129,4.9,8927,"1002 of 3141"
"Adams County",42001,4.9,2624,"1016 of 3141"
"Northumberland County",42097,5.1,2224,"1080 of 3141"
"Columbia County",42037,5.1,1613,"1087 of 3141"
"Blair County",42013,5.2,3107,"1141 of 3141"
"Montgomery County",42091,5.2,23595,"1156 of 3141"
"Bucks County",42017,5.4,18507,"1212 of 3141"
"York County",42133,5.4,12632,"1228 of 3141"
"Forest County",42053,5.4,43,"1248 of 3141"
"Lackawanna County",42069,5.4,5596,"1257 of 3141"
"Bradford County",42015,5.6,1581,"1337 of 3141"
"Beaver County",42007,5.6,4885,"1346 of 3141"
"Franklin County",42055,5.7,4373,"1374 of 3141"
"Greene County",42059,5.7,892,"1375 of 3141"
"Warren County",42123,5.7,1101,"1379 of 3141"
"Dauphin County",42043,5.7,8145,"1382 of 3141"
"Northampton County",42095,5.7,9027,"1398 of 3141"
"Lebanon County",42075,5.8,4055,"1432 of 3141"
"Mercer County",42085,5.8,3099,"1450 of 3141"
"Washington County",42125,5.8,6139,"1460 of 3141"
"Bedford County",42009,5.9,1381,"1473 of 3141"
"Clinton County",42035,5.9,1100,"1486 of 3141"
"Allegheny County",42003,5.9,39305,"1511 of 3141"
"Crawford County",42039,6.0,2435,"1539 of 3141"
"Somerset County",42111,6.1,2127,"1583 of 3141"
"Lycoming County",42081,6.2,3552,"1636 of 3141"
"Tioga County",42117,6.4,1238,"1732 of 3141"
"Wyoming County",42131,6.5,900,"1773 of 3141"
"Fulton County",42057,6.5,458,"1799 of 3141"
"Lawrence County",42073,6.5,2730,"1813 of 3141"
"Erie County",42049,6.5,8828,"1815 of 3141"
"Wayne County",42127,6.5,1481,"1828 of 3141"
"Clarion County",42031,6.6,1217,"1866 of 3141"
"Huntingdon County",42061,6.7,1323,"1898 of 3141"
"Susquehanna County",42115,6.7,1337,"1933 of 3141"
"Potter County",42105,6.7,488,"1942 of 3141"
"Delaware County",42045,6.8,19986,"1955 of 3141"
"Armstrong County",42005,6.9,2192,"1997 of 3141"
"Schuylkill County",42107,6.9,4695,"2031 of 3141"
"Luzerne County",42079,7.0,11149,"2050 of 3141"
"Lehigh County",42077,7.0,13250,"2071 of 3141"
"Berks County",42011,7.3,15893,"2154 of 3141"
"Fayette County",42051,7.5,4365,"2218 of 3141"
"McKean County",42083,7.5,1475,"2220 of 3141"
"Cambria County",42021,7.5,4631,"2225 of 3141"
"Venango County",42121,7.6,1878,"2254 of 3141"
"Carbon County",42025,7.6,2420,"2295 of 3141"
"Indiana County",42063,7.8,3276,"2365 of 3141"
"Pike County",42103,7.8,2113,"2368 of 3141"
"Clearfield County",42033,8.2,2990,"2472 of 3141"
"Sullivan County",42113,8.8,252,"2627 of 3141"
"Monroe County",42089,9.2,7979,"2716 of 3141"
"Philadelphia County",42101,11.3,85059,"2970 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
