------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Pennsylvania",42000,51.1,6530345,"35 of 52"
"Forest County",42053,19.2,1416,"1 of 3141"
"Union County",42119,45.0,20280,"118 of 3141"
"Wayne County",42127,46.9,24252,"236 of 3141"
"Huntingdon County",42061,47.2,21557,"261 of 3141"
"Centre County",42027,47.5,76333,"286 of 3141"
"Sullivan County",42113,47.8,2958,"323 of 3141"
"Clearfield County",42033,47.9,38589,"346 of 3141"
"Somerset County",42111,48.0,36330,"373 of 3141"
"Greene County",42059,48.1,17941,"374 of 3141"
"McKean County",42083,48.2,20268,"402 of 3141"
"Schuylkill County",42107,48.9,70596,"581 of 3141"
"Cameron County",42023,49.1,2335,"640 of 3141"
"Perry County",42099,49.6,22743,"852 of 3141"
"Fulton County",42057,49.6,7255,"858 of 3141"
"Potter County",42105,49.6,8466,"864 of 3141"
"Northumberland County",42097,49.6,46187,"904 of 3141"
"Susquehanna County",42115,49.7,20728,"936 of 3141"
"Wyoming County",42131,49.7,13802,"963 of 3141"
"Pike County",42103,49.8,27731,"1024 of 3141"
"Indiana County",42063,49.8,43102,"1027 of 3141"
"Elk County",42047,49.9,15346,"1083 of 3141"
"Warren County",42123,50.1,20193,"1241 of 3141"
"Juniata County",42067,50.1,12238,"1245 of 3141"
"Bedford County",42009,50.1,24487,"1272 of 3141"
"Armstrong County",42005,50.3,33561,"1456 of 3141"
"Jefferson County",42065,50.4,22295,"1544 of 3141"
"Tioga County",42117,50.4,20951,"1594 of 3141"
"Carbon County",42025,50.4,32271,"1607 of 3141"
"Snyder County",42109,50.5,20494,"1698 of 3141"
"York County",42133,50.6,223692,"1781 of 3141"
"Cumberland County",42041,50.6,124352,"1790 of 3141"
"Butler County",42019,50.6,94137,"1822 of 3141"
"Monroe County",42089,50.6,84696,"1838 of 3141"
"Franklin County",42055,50.6,77468,"1854 of 3141"
"Erie County",42049,50.6,140660,"1862 of 3141"
"Venango County",42121,50.7,26786,"1889 of 3141"
"Luzerne County",42079,50.7,161300,"1934 of 3141"
"Bradford County",42015,50.7,31198,"1937 of 3141"
"Fayette County",42051,50.7,67520,"1947 of 3141"
"Mercer County",42085,50.7,57631,"1966 of 3141"
"Adams County",42001,50.7,51534,"1977 of 3141"
"Chester County",42029,50.7,261143,"1990 of 3141"
"Berks County",42011,50.8,211217,"2090 of 3141"
"Cambria County",42021,50.9,69094,"2111 of 3141"
"Northampton County",42095,50.9,153112,"2134 of 3141"
"Lycoming County",42081,50.9,58754,"2170 of 3141"
"Clinton County",42035,50.9,20028,"2187 of 3141"
"Bucks County",42017,50.9,319167,"2201 of 3141"
"Washington County",42125,51.0,105915,"2247 of 3141"
"Blair County",42013,51.0,63630,"2252 of 3141"
"Mifflin County",42087,51.0,23704,"2271 of 3141"
"Lebanon County",42075,51.0,70226,"2274 of 3141"
"Lancaster County",42071,51.0,273808,"2281 of 3141"
"Crawford County",42039,51.1,44349,"2316 of 3141"
"Clarion County",42031,51.1,19815,"2390 of 3141"
"Westmoreland County",42129,51.2,182624,"2428 of 3141"
"Lehigh County",42077,51.2,184707,"2445 of 3141"
"Montgomery County",42091,51.4,420687,"2582 of 3141"
"Beaver County",42007,51.5,86555,"2636 of 3141"
"Lackawanna County",42069,51.6,109308,"2699 of 3141"
"Dauphin County",42043,51.6,140999,"2711 of 3141"
"Montour County",42093,51.6,9444,"2714 of 3141"
"Lawrence County",42073,51.6,45568,"2743 of 3141"
"Allegheny County",42003,51.8,636428,"2802 of 3141"
"Columbia County",42037,51.8,34530,"2837 of 3141"
"Delaware County",42045,51.9,292609,"2873 of 3141"
"Philadelphia County",42101,52.7,827245,"3032 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
