------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Georgia",13000,2.3,84685,"25 of 52"
"United States",00000,3.3,3975282,"N/A"
"Wilkes County",13317,0.3,12,"3055 of 3141"
"Lanier County",13173,0.5,18,"3003 of 3141"
"Twiggs County",13289,0.5,16,"2973 of 3141"
"Webster County",13307,0.6,6,"2969 of 3141"
"Charlton County",13049,0.6,21,"2946 of 3141"
"Hancock County",13141,0.6,19,"2923 of 3141"
"Union County",13291,0.6,57,"2916 of 3141"
"Irwin County",13155,0.7,23,"2894 of 3141"
"Ben Hill County",13017,0.7,45,"2885 of 3141"
"Putnam County",13237,0.9,76,"2737 of 3141"
"Lee County",13177,0.9,92,"2716 of 3141"
"Worth County",13321,0.9,74,"2672 of 3141"
"Jones County",13169,0.9,99,"2667 of 3141"
"Columbia County",13073,1.0,438,"2662 of 3141"
"Forsyth County",13117,1.1,746,"2553 of 3141"
"Fayette County",13113,1.1,428,"2530 of 3141"
"Butts County",13035,1.1,89,"2501 of 3141"
"Stewart County",13259,1.1,20,"2476 of 3141"
"Hart County",13147,1.1,111,"2467 of 3141"
"Fannin County",13111,1.1,115,"2463 of 3141"
"Lamar County",13171,1.2,75,"2379 of 3141"
"Cook County",13075,1.2,75,"2337 of 3141"
"Towns County",13281,1.2,57,"2330 of 3141"
"Catoosa County",13047,1.3,309,"2320 of 3141"
"Henry County",13151,1.3,922,"2309 of 3141"
"Lumpkin County",13187,1.3,147,"2276 of 3141"
"Harris County",13145,1.3,156,"2271 of 3141"
"Baldwin County",13009,1.3,211,"2267 of 3141"
"Greene County",13133,1.3,88,"2265 of 3141"
"Bleckley County",13023,1.3,54,"2259 of 3141"
"Oglethorpe County",13221,1.3,74,"2241 of 3141"
"White County",13311,1.3,148,"2233 of 3141"
"Jackson County",13157,1.4,296,"2188 of 3141"
"Treutlen County",13283,1.4,36,"2178 of 3141"
"Bryan County",13029,1.4,179,"2082 of 3141"
"Walton County",13297,1.5,450,"2054 of 3141"
"Pierce County",13229,1.5,103,"2053 of 3141"
"Warren County",13301,1.5,34,"2031 of 3141"
"McIntosh County",13191,1.5,86,"2024 of 3141"
"Troup County",13285,1.5,376,"1998 of 3141"
"Ware County",13299,1.5,214,"1980 of 3141"
"Telfair County",13271,1.5,80,"1971 of 3141"
"Pickens County",13227,1.6,182,"1923 of 3141"
"Paulding County",13223,1.6,823,"1919 of 3141"
"Elbert County",13105,1.6,125,"1894 of 3141"
"Peach County",13225,1.7,168,"1849 of 3141"
"Berrien County",13019,1.7,122,"1821 of 3141"
"Atkinson County",13003,1.7,48,"1804 of 3141"
"Fulton County",13121,1.7,6722,"1785 of 3141"
"Cherokee County",13057,1.7,1433,"1781 of 3141"
"Clay County",13061,1.7,20,"1774 of 3141"
"Quitman County",13239,1.7,17,"1767 of 3141"
"Randolph County",13243,1.8,52,"1693 of 3141"
"Oconee County",13219,1.8,233,"1669 of 3141"
"Long County",13183,1.9,100,"1647 of 3141"
"Liberty County",13179,1.9,432,"1625 of 3141"
"Cobb County",13067,1.9,5211,"1600 of 3141"
"Newton County",13217,1.9,691,"1568 of 3141"
"Bibb County",13021,1.9,1114,"1552 of 3141"
"Morgan County",13211,2.0,132,"1530 of 3141"
"Douglas County",13097,2.0,956,"1526 of 3141"
"Chattahoochee County",13053,2.0,50,"1504 of 3141"
"Coweta County",13077,2.0,1009,"1503 of 3141"
"Dawson County",13085,2.0,171,"1500 of 3141"
"Chatham County",13051,2.0,2198,"1455 of 3141"
"Richmond County",13245,2.1,1489,"1442 of 3141"
"Calhoun County",13037,2.1,39,"1412 of 3141"
"Monroe County",13207,2.1,201,"1407 of 3141"
"Franklin County",13119,2.1,175,"1396 of 3141"
"Dooly County",13093,2.1,109,"1389 of 3141"
"Haralson County",13143,2.1,233,"1387 of 3141"
"Dodge County",13091,2.1,166,"1385 of 3141"
"Macon County",13193,2.1,98,"1374 of 3141"
"Wilkinson County",13319,2.1,70,"1370 of 3141"
"Camden County",13039,2.2,407,"1346 of 3141"
"Wilcox County",13315,2.2,58,"1331 of 3141"
"Barrow County",13013,2.2,535,"1320 of 3141"
"Carroll County",13045,2.2,899,"1313 of 3141"
"Pike County",13231,2.2,131,"1305 of 3141"
"Muscogee County",13215,2.2,1611,"1300 of 3141"
"Dade County",13083,2.2,135,"1284 of 3141"
"Marion County",13197,2.2,73,"1258 of 3141"
"Montgomery County",13209,2.2,69,"1254 of 3141"
"Effingham County",13103,2.3,441,"1242 of 3141"
"Schley County",13249,2.3,44,"1213 of 3141"
"Tift County",13277,2.3,344,"1207 of 3141"
"Coffee County",13069,2.3,329,"1205 of 3141"
"Spalding County",13255,2.3,541,"1196 of 3141"
"Rabun County",13241,2.3,151,"1180 of 3141"
"Laurens County",13175,2.4,413,"1133 of 3141"
"Bulloch County",13031,2.4,635,"1122 of 3141"
"Glynn County",13127,2.4,792,"1121 of 3141"
"Clarke County",13059,2.4,1121,"1092 of 3141"
"Upson County",13293,2.5,253,"1053 of 3141"
"Gilmer County",13123,2.5,283,"1050 of 3141"
"Rockdale County",13247,2.5,740,"1047 of 3141"
"Meriwether County",13199,2.5,202,"1027 of 3141"
"Terrell County",13273,2.5,82,"1026 of 3141"
"Jefferson County",13163,2.5,146,"1007 of 3141"
"Taliaferro County",13265,2.5,18,"993 of 3141"
"Wayne County",13305,2.5,263,"991 of 3141"
"DeKalb County",13089,2.6,7019,"974 of 3141"
"Burke County",13033,2.6,207,"972 of 3141"
"Thomas County",13275,2.6,444,"965 of 3141"
"Floyd County",13115,2.6,922,"956 of 3141"
"Banks County",13011,2.6,169,"955 of 3141"
"Lincoln County",13181,2.6,90,"947 of 3141"
"McDuffie County",13189,2.6,214,"941 of 3141"
"Bartow County",13015,2.7,984,"926 of 3141"
"Lowndes County",13185,2.7,1070,"922 of 3141"
"Bacon County",13005,2.7,106,"920 of 3141"
"Johnson County",13167,2.7,88,"889 of 3141"
"Madison County",13195,2.7,286,"880 of 3141"
"Evans County",13109,2.8,111,"845 of 3141"
"Brantley County",13025,2.8,185,"835 of 3141"
"Crisp County",13081,2.8,233,"824 of 3141"
"Mitchell County",13205,2.8,226,"812 of 3141"
"Wheeler County",13309,2.8,56,"803 of 3141"
"Sumter County",13261,2.9,345,"780 of 3141"
"Gwinnett County",13135,2.9,8348,"767 of 3141"
