------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Georgia",13000,3.9,394183,"17 of 52"
"United States",00000,5.5,17756436,"N/A"
"Atkinson County",13003,0.0,0,"2927 of 3141"
"Clay County",13061,0.0,0,"2927 of 3141"
"Echols County",13101,0.0,0,"2927 of 3141"
"Glascock County",13125,0.0,0,"2927 of 3141"
"Jeff Davis County",13161,0.0,0,"2927 of 3141"
"Miller County",13201,0.0,0,"2927 of 3141"
"Pulaski County",13235,0.0,0,"2927 of 3141"
"Schley County",13249,0.0,0,"2927 of 3141"
"Telfair County",13271,0.0,0,"2927 of 3141"
"Treutlen County",13283,0.0,0,"2927 of 3141"
"Webster County",13307,0.0,0,"2927 of 3141"
"Wheeler County",13309,0.0,0,"2927 of 3141"
"Wilcox County",13315,0.0,0,"2927 of 3141"
"Morgan County",13211,0.1,11,"2854 of 3141"
"Wilkinson County",13319,0.1,8,"2809 of 3141"
"Dooly County",13093,0.1,13,"2797 of 3141"
"Twiggs County",13289,0.1,8,"2786 of 3141"
"Jefferson County",13163,0.1,16,"2777 of 3141"
"Pierce County",13229,0.1,28,"2686 of 3141"
"McIntosh County",13191,0.1,21,"2683 of 3141"
"Bleckley County",13023,0.2,22,"2644 of 3141"
"Pike County",13231,0.2,31,"2640 of 3141"
"Johnson County",13167,0.2,17,"2638 of 3141"
"Elbert County",13105,0.2,36,"2609 of 3141"
"Terrell County",13273,0.2,18,"2576 of 3141"
"Ben Hill County",13017,0.2,35,"2573 of 3141"
"Tattnall County",13267,0.2,54,"2556 of 3141"
"Towns County",13281,0.2,25,"2536 of 3141"
"Lincoln County",13181,0.3,20,"2478 of 3141"
"Dawson County",13085,0.3,64,"2450 of 3141"
"Burke County",13033,0.3,63,"2436 of 3141"
"Lanier County",13173,0.3,29,"2431 of 3141"
"Montgomery County",13209,0.3,26,"2406 of 3141"
"Oglethorpe County",13221,0.3,43,"2403 of 3141"
"Worth County",13321,0.3,62,"2399 of 3141"
"Jasper County",13159,0.3,41,"2396 of 3141"
"Taliaferro County",13265,0.3,6,"2334 of 3141"
"Emanuel County",13107,0.3,75,"2319 of 3141"
"Murray County",13213,0.4,143,"2249 of 3141"
"Lumpkin County",13187,0.4,120,"2204 of 3141"
"Mitchell County",13205,0.4,86,"2200 of 3141"
"Turner County",13287,0.4,32,"2156 of 3141"
"Stephens County",13257,0.4,109,"2084 of 3141"
"Decatur County",13087,0.4,119,"2042 of 3141"
"Chattooga County",13055,0.4,110,"2037 of 3141"
"Wayne County",13305,0.5,138,"1983 of 3141"
"Irwin County",13155,0.5,45,"1918 of 3141"
"Gilmer County",13123,0.5,148,"1880 of 3141"
"Talbot County",13263,0.5,34,"1814 of 3141"
"White County",13311,0.5,152,"1801 of 3141"
"Calhoun County",13037,0.5,35,"1790 of 3141"
"Screven County",13251,0.5,76,"1777 of 3141"
"Putnam County",13237,0.5,117,"1763 of 3141"
"Cook County",13075,0.6,96,"1745 of 3141"
"Dodge County",13091,0.6,118,"1742 of 3141"
"Pickens County",13227,0.6,174,"1717 of 3141"
"Clinch County",13065,0.6,39,"1716 of 3141"
"Heard County",13149,0.6,71,"1643 of 3141"
"Washington County",13303,0.6,126,"1634 of 3141"
"Meriwether County",13199,0.6,133,"1601 of 3141"
"Upson County",13293,0.6,168,"1574 of 3141"
"Walker County",13295,0.7,453,"1543 of 3141"
"Fannin County",13111,0.7,164,"1524 of 3141"
"Butts County",13035,0.7,158,"1522 of 3141"
"Franklin County",13119,0.7,154,"1490 of 3141"
"Hancock County",13141,0.7,60,"1483 of 3141"
"Jones County",13169,0.7,198,"1479 of 3141"
"Union County",13291,0.7,155,"1474 of 3141"
"Polk County",13233,0.7,297,"1430 of 3141"
"Coffee County",13069,0.7,312,"1419 of 3141"
"Lamar County",13171,0.8,138,"1357 of 3141"
"Early County",13099,0.8,79,"1352 of 3141"
"Evans County",13109,0.8,82,"1349 of 3141"
"Haralson County",13143,0.8,221,"1341 of 3141"
"Monroe County",13207,0.8,208,"1331 of 3141"
"Wilkes County",13317,0.8,79,"1296 of 3141"
"Rabun County",13241,0.8,133,"1280 of 3141"
"Brantley County",13025,0.8,152,"1264 of 3141"
"Appling County",13001,0.8,156,"1249 of 3141"
"Grady County",13131,0.8,212,"1246 of 3141"
"Colquitt County",13071,0.8,390,"1243 of 3141"
"Jenkins County",13165,0.9,76,"1240 of 3141"
"Brooks County",13027,0.9,134,"1227 of 3141"
"Thomas County",13275,0.9,393,"1211 of 3141"
"Carroll County",13045,0.9,1009,"1208 of 3141"
"Dougherty County",13095,0.9,810,"1195 of 3141"
"Charlton County",13049,0.9,117,"1173 of 3141"
"Taylor County",13269,0.9,75,"1170 of 3141"
"Toombs County",13279,0.9,249,"1162 of 3141"
"Hart County",13147,0.9,239,"1139 of 3141"
"Bartow County",13015,0.9,964,"1137 of 3141"
"Seminole County",13253,1.0,82,"1115 of 3141"
"Spalding County",13255,1.0,621,"1107 of 3141"
"Berrien County",13019,1.0,184,"1105 of 3141"
"Greene County",13133,1.0,165,"1091 of 3141"
"Harris County",13145,1.0,340,"1048 of 3141"
"Baker County",13007,1.0,34,"1025 of 3141"
"Effingham County",13103,1.1,606,"1009 of 3141"
"Paulding County",13223,1.1,1657,"984 of 3141"
"Crawford County",13079,1.1,136,"976 of 3141"
"Laurens County",13175,1.1,529,"965 of 3141"
"Sumter County",13261,1.1,344,"961 of 3141"
"Newton County",13217,1.1,1185,"956 of 3141"
"Bacon County",13005,1.1,129,"945 of 3141"
"Gordon County",13129,1.1,646,"943 of 3141"
"Long County",13183,1.1,205,"940 of 3141"
"Marion County",13197,1.2,101,"915 of 3141"
"Ware County",13299,1.2,423,"908 of 3141"
"Peach County",13225,1.2,325,"894 of 3141"
"Tift County",13277,1.2,502,"862 of 3141"
"Banks County",13011,1.2,228,"857 of 3141"
"Warren County",13301,1.3,69,"835 of 3141"
"McDuffie County",13189,1.3,279,"820 of 3141"
"Walton County",13297,1.3,1154,"817 of 3141"
"Glynn County",13127,1.3,1115,"805 of 3141"
"Whitfield County",13313,1.4,1439,"781 of 3141"
"Crisp County",13081,1.4,331,"747 of 3141"
"Catoosa County",13047,1.4,948,"746 of 3141"
"Randolph County",13243,1.4,104,"744 of 3141"
"Madison County",13195,1.4,413,"743 of 3141"
"Bulloch County",13031,1.5,1097,"722 of 3141"
"Camden County",13039,1.5,779,"716 of 3141"
"Floyd County",13115,1.5,1484,"692 of 3141"
"Macon County",13193,1.6,223,"655 of 3141"
"Bryan County",13029,1.6,573,"651 of 3141"
"Baldwin County",13009,1.7,757,"642 of 3141"
"Douglas County",13097,1.7,2335,"641 of 3141"
"Hall County",13139,1.7,3360,"616 of 3141"
"Jackson County",13157,1.8,1119,"612 of 3141"
"Coweta County",13077,1.9,2561,"581 of 3141"
"Cherokee County",13057,1.9,4462,"573 of 3141"
"Lowndes County",13185,1.9,2196,"561 of 3141"
"Bibb County",13021,1.9,2981,"556 of 3141"
"Richmond County",13245,2.0,4047,"535 of 3141"
"Troup County",13285,2.0,1397,"531 of 3141"
"Stewart County",13259,2.2,129,"480 of 3141"
"Rockdale County",13247,2.2,1968,"478 of 3141"
"Dade County",13083,2.4,388,"449 of 3141"
"Candler County",13043,2.5,277,"417 of 3141"
"Muscogee County",13215,2.5,5053,"416 of 3141"
"Habersham County",13137,2.6,1121,"414 of 3141"
"Lee County",13177,2.6,749,"408 of 3141"
"Chatham County",13051,2.7,7577,"390 of 3141"
"Liberty County",13179,2.7,1689,"376 of 3141"
"Houston County",13153,3.0,4553,"325 of 3141"
"Chattahoochee County",13053,3.1,346,"311 of 3141"
"Henry County",13151,3.3,7192,"292 of 3141"
"Barrow County",13013,3.6,2679,"266 of 3141"
"Columbia County",13073,4.0,5743,"225 of 3141"
"Oconee County",13219,4.1,1475,"218 of 3141"
"Clarke County",13059,4.3,5317,"204 of 3141"
"Fayette County",13113,4.5,5014,"186 of 3141"
"Quitman County",13239,5.1,110,"158 of 3141"
"Cobb County",13067,5.2,38324,"156 of 3141"
"Clayton County",13063,5.3,14507,"149 of 3141"
"DeKalb County",13089,6.1,44815,"112 of 3141"
"Fulton County",13121,6.7,67859,"93 of 3141"
"Forsyth County",13117,10.6,22359,"43 of 3141"
"Gwinnett County",13135,11.3,100246,"40 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
