------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Georgia",13000,27.0,2681299,"41 of 52"
"Forsyth County",13117,10.3,21684,"50 of 3141"
"Fayette County",13113,11.8,12928,"87 of 3141"
"Oconee County",13219,12.4,4429,"113 of 3141"
"Columbia County",13073,13.5,19357,"158 of 3141"
"Harris County",13145,13.6,4427,"159 of 3141"
"Cherokee County",13057,15.5,36229,"266 of 3141"
"Dawson County",13085,16.8,3886,"370 of 3141"
"Paulding County",13223,18.1,27378,"499 of 3141"
"Coweta County",13077,18.2,24932,"509 of 3141"
"Pickens County",13227,18.5,5573,"550 of 3141"
"Lee County",13177,18.7,5261,"568 of 3141"
"Pike County",13231,18.7,3275,"574 of 3141"
"Cobb County",13067,18.7,136133,"575 of 3141"
"Effingham County",13103,18.9,10705,"604 of 3141"
"Catoosa County",13047,19.3,12580,"639 of 3141"
"Bryan County",13029,20.4,7099,"802 of 3141"
"Henry County",13151,20.4,44123,"806 of 3141"
"Jackson County",13157,20.7,13120,"841 of 3141"
"Morgan County",13211,21.4,3795,"936 of 3141"
"Gwinnett County",13135,22.0,193988,"1010 of 3141"
"Walton County",13297,22.9,20011,"1134 of 3141"
"Union County",13291,22.9,4984,"1137 of 3141"
"Monroe County",13207,23.3,5984,"1193 of 3141"
"Camden County",13039,23.8,11992,"1249 of 3141"
"Fulton County",13121,24.1,235443,"1294 of 3141"
"Douglas County",13097,24.3,33639,"1324 of 3141"
"Barrow County",13013,24.4,18191,"1341 of 3141"
"Jones County",13169,24.6,6950,"1383 of 3141"
"Towns County",13281,25.7,2660,"1545 of 3141"
"Dade County",13083,25.7,3843,"1546 of 3141"
"White County",13311,25.9,7286,"1576 of 3141"
"Bartow County",13015,26.2,26600,"1607 of 3141"
"Newton County",13217,26.3,27222,"1618 of 3141"
"Hall County",13139,26.4,50403,"1648 of 3141"
"Houston County",13153,26.7,39650,"1704 of 3141"
"Chatham County",13051,26.8,73107,"1716 of 3141"
"DeKalb County",13089,27.7,200282,"1847 of 3141"
"Putnam County",13237,27.8,5888,"1858 of 3141"
"Fannin County",13111,27.9,6718,"1865 of 3141"
"Rockdale County",13247,27.9,24435,"1876 of 3141"
"Habersham County",13137,28.3,11681,"1927 of 3141"
"Oglethorpe County",13221,28.7,4164,"1985 of 3141"
"Montgomery County",13209,28.9,2364,"2004 of 3141"
"Glynn County",13127,29.2,23936,"2033 of 3141"
"Walker County",13295,29.7,19949,"2103 of 3141"
"Floyd County",13115,29.8,27514,"2109 of 3141"
"Haralson County",13143,29.8,8408,"2124 of 3141"
"Chattahoochee County",13053,30.0,2274,"2140 of 3141"
"Gilmer County",13123,30.0,8818,"2144 of 3141"
"Peach County",13225,30.2,7561,"2167 of 3141"
"Banks County",13011,30.5,5598,"2200 of 3141"
"Baker County",13007,30.7,997,"2218 of 3141"
"McIntosh County",13191,30.7,4291,"2223 of 3141"
"Glascock County",13125,30.8,904,"2230 of 3141"
"Troup County",13285,30.8,20827,"2233 of 3141"
"Liberty County",13179,30.8,18465,"2236 of 3141"
"Murray County",13213,30.9,12017,"2242 of 3141"
"Webster County",13307,31.0,811,"2256 of 3141"
"Carroll County",13045,31.1,34588,"2272 of 3141"
"Lamar County",13171,31.2,5292,"2276 of 3141"
"Heard County",13149,31.6,3575,"2317 of 3141"
"Johnson County",13167,31.9,3029,"2351 of 3141"
"Lincoln County",13181,31.9,2459,"2353 of 3141"
"Stephens County",13257,32.1,7986,"2362 of 3141"
"Gordon County",13129,32.1,17850,"2366 of 3141"
"Long County",13183,32.2,5681,"2374 of 3141"
"Muscogee County",13215,32.2,61464,"2381 of 3141"
"Pierce County",13229,32.3,6139,"2390 of 3141"
"Lumpkin County",13187,32.6,9819,"2411 of 3141"
"Polk County",13233,32.6,13381,"2420 of 3141"
"Worth County",13321,32.7,6745,"2422 of 3141"
"Treutlen County",13283,32.8,2101,"2433 of 3141"
"Crawford County",13079,32.9,4025,"2449 of 3141"
"Charlton County",13049,33.0,3885,"2455 of 3141"
"Bleckley County",13023,33.1,3727,"2465 of 3141"
"Talbot County",13263,33.3,2117,"2493 of 3141"
"Rabun County",13241,33.5,5369,"2502 of 3141"
"Wilkinson County",13319,33.6,3035,"2510 of 3141"
"Madison County",13195,33.6,9505,"2512 of 3141"
"Wayne County",13305,33.6,9242,"2521 of 3141"
"Whitfield County",13313,34.2,35109,"2562 of 3141"
"Butts County",13035,34.3,7134,"2574 of 3141"
"Elbert County",13105,34.3,6523,"2575 of 3141"
"Thomas County",13275,34.4,15152,"2585 of 3141"
"Hart County",13147,34.6,8523,"2601 of 3141"
"Wilcox County",13315,34.7,2366,"2608 of 3141"
"Pulaski County",13235,34.7,3408,"2609 of 3141"
"Brooks County",13027,34.8,5378,"2621 of 3141"
"Greene County",13133,34.9,5783,"2627 of 3141"
"Meriwether County",13199,35.0,7311,"2637 of 3141"
"Schley County",13249,35.1,1812,"2639 of 3141"
"Clayton County",13063,35.1,94214,"2641 of 3141"
"Spalding County",13255,35.2,22173,"2648 of 3141"
"Marion County",13197,35.2,2973,"2649 of 3141"
"Miller County",13201,35.5,2027,"2670 of 3141"
"Seminole County",13253,35.7,3018,"2689 of 3141"
"McDuffie County",13189,36.0,7630,"2709 of 3141"
"Upson County",13293,36.1,9223,"2718 of 3141"
"Dodge County",13091,36.3,6898,"2728 of 3141"
"Richmond County",13245,36.4,70175,"2750 of 3141"
"Coffee County",13069,36.5,14300,"2754 of 3141"
"Turner County",13287,36.7,2812,"2765 of 3141"
"Lowndes County",13185,36.7,40356,"2771 of 3141"
"Washington County",13303,36.8,6888,"2773 of 3141"
"Echols County",13101,36.8,1476,"2782 of 3141"
"Franklin County",13119,37.0,8015,"2788 of 3141"
"Ware County",13299,37.1,12309,"2795 of 3141"
"Grady County",13131,37.6,9310,"2818 of 3141"
"Lanier County",13173,37.6,3769,"2822 of 3141"
"Dooly County",13093,37.7,4612,"2824 of 3141"
"Chattooga County",13055,37.7,8651,"2827 of 3141"
"Jeff Davis County",13161,37.8,5636,"2829 of 3141"
"Tift County",13277,37.9,14610,"2835 of 3141"
"Bacon County",13005,37.9,4028,"2836 of 3141"
"Jasper County",13159,37.9,5122,"2838 of 3141"
"Bibb County",13021,37.9,55984,"2841 of 3141"
"Decatur County",13087,38.1,9835,"2850 of 3141"
"Berrien County",13019,38.2,7163,"2852 of 3141"
"Evans County",13109,38.4,3925,"2860 of 3141"
"Quitman County",13239,38.7,829,"2868 of 3141"
"Tattnall County",13267,38.8,7438,"2873 of 3141"
"Screven County",13251,39.4,5379,"2893 of 3141"
"Cook County",13075,39.4,6693,"2897 of 3141"
"Wilkes County",13317,39.5,3863,"2900 of 3141"
"Mitchell County",13205,39.8,7995,"2908 of 3141"
"Warren County",13301,39.9,2127,"2913 of 3141"
"Laurens County",13175,40.0,18539,"2916 of 3141"
"Twiggs County",13289,40.1,3301,"2925 of 3141"
"Brantley County",13025,40.3,7351,"2930 of 3141"
"Bulloch County",13031,40.6,26883,"2945 of 3141"
"Toombs County",13279,40.6,10895,"2947 of 3141"
"Burke County",13033,40.7,9071,"2948 of 3141"
"Baldwin County",13009,40.8,17081,"2952 of 3141"
"Jefferson County",13163,40.9,6328,"2957 of 3141"
"Irwin County",13155,41.1,3698,"2960 of 3141"
"Appling County",13001,41.4,7432,"2968 of 3141"
"Ben Hill County",13017,41.7,7042,"2973 of 3141"
"Colquitt County",13071,42.4,19162,"2993 of 3141"
"Emanuel County",13107,42.8,9276,"3002 of 3141"
"Macon County",13193,42.9,5051,"3011 of 3141"
"Telfair County",13271,43.3,5638,"3016 of 3141"
"Dougherty County",13095,43.4,37999,"3018 of 3141"
"Terrell County",13273,44.2,3824,"3030 of 3141"
"Early County",13099,44.4,4540,"3035 of 3141"
"Clarke County",13059,44.6,50475,"3042 of 3141"
"Taliaferro County",13265,44.6,821,"3044 of 3141"
"Taylor County",13269,44.8,3626,"3046 of 3141"
"Sumter County",13261,45.5,12999,"3055 of 3141"
"Hancock County",13141,45.5,2738,"3056 of 3141"
"Candler County",13043,46.6,4938,"3069 of 3141"
"Jenkins County",13165,46.9,4149,"3072 of 3141"
"Crisp County",13081,47.3,10655,"3077 of 3141"
"Wheeler County",13309,47.7,2901,"3081 of 3141"
"Atkinson County",13003,47.7,3941,"3082 of 3141"
"Calhoun County",13037,48.6,2229,"3089 of 3141"
"Randolph County",13243,50.1,3492,"3095 of 3141"
"Clinch County",13065,52.9,3537,"3114 of 3141"
"Stewart County",13259,55.7,2202,"3122 of 3141"
"Clay County",13061,58.9,1747,"3129 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
