------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"North Dakota",38000,28.9,140270,"29 of 52"
"United States",00000,30.9,66887603,"N/A"
"Logan County",38047,13.7,197,"2557 of 3141"
"Sheridan County",38083,14.1,156,"2475 of 3141"
"Hettinger County",38041,14.5,281,"2395 of 3141"
"Benson County",38005,15.4,604,"2227 of 3141"
"Emmons County",38029,15.5,393,"2206 of 3141"
"Pierce County",38069,15.8,484,"2150 of 3141"
"Renville County",38075,16.2,280,"2079 of 3141"
"Walsh County",38099,16.8,1293,"1960 of 3141"
"McIntosh County",38051,17.2,360,"1904 of 3141"
"Sioux County",38085,17.3,401,"1874 of 3141"
"Towner County",38095,18.1,297,"1751 of 3141"
"Grant County",38037,18.2,329,"1712 of 3141"
"Sargent County",38081,18.6,527,"1638 of 3141"
"McLean County",38055,18.7,1311,"1636 of 3141"
"Cavalier County",38019,18.8,522,"1607 of 3141"
"Ransom County",38073,19.1,724,"1561 of 3141"
"Kidder County",38043,19.2,334,"1544 of 3141"
"Divide County",38023,19.4,354,"1502 of 3141"
"Oliver County",38065,19.6,262,"1474 of 3141"
"McHenry County",38049,19.6,814,"1469 of 3141"
"Burke County",38013,20.1,296,"1385 of 3141"
"Pembina County",38067,20.2,1038,"1375 of 3141"
"Nelson County",38063,20.5,463,"1313 of 3141"
"Rolette County",38079,20.7,1731,"1271 of 3141"
"Mountrail County",38061,21.7,1367,"1144 of 3141"
"Bottineau County",38009,21.9,1019,"1121 of 3141"
"Golden Valley County",38033,22.0,276,"1112 of 3141"
"Richland County",38077,22.2,2342,"1091 of 3141"
"Williams County",38105,22.6,4785,"1046 of 3141"
"Griggs County",38039,22.6,378,"1030 of 3141"
"Mercer County",38057,22.7,1392,"1013 of 3141"
"Wells County",38103,22.9,699,"996 of 3141"
"Dunn County",38025,23.0,697,"984 of 3141"
"Billings County",38007,23.1,165,"968 of 3141"
"LaMoure County",38045,23.2,681,"962 of 3141"
"Eddy County",38027,23.3,380,"953 of 3141"
"Foster County",38031,23.7,567,"912 of 3141"
"Stark County",38089,23.8,4723,"896 of 3141"
"Stutsman County",38093,24.0,3493,"874 of 3141"
"Bowman County",38011,24.5,542,"837 of 3141"
"Ramsey County",38071,24.7,1961,"817 of 3141"
"McKenzie County",38053,25.3,1825,"785 of 3141"
"Steele County",38091,25.6,361,"763 of 3141"
"Barnes County",38003,25.8,1996,"740 of 3141"
"Traill County",38097,26.1,1427,"720 of 3141"
"Morton County",38059,26.1,5486,"718 of 3141"
"Slope County",38087,26.8,135,"659 of 3141"
"Adams County",38001,27.4,462,"624 of 3141"
"Dickey County",38021,27.6,961,"608 of 3141"
"Ward County",38101,27.9,12025,"592 of 3141"
"Grand Forks County",38035,34.0,13865,"300 of 3141"
"Burleigh County",38015,35.1,21937,"259 of 3141"
"Cass County",38017,38.3,40872,"194 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
