------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"North Dakota",38000,8.6,63431,"28 of 51"
"Billings County",38007,0.2,2,"7 of 3140"
"Sheridan County",38083,1.5,21,"56 of 3140"
"Grant County",38037,1.6,38,"65 of 3140"
"Slope County",38087,1.6,11,"67 of 3140"
"Steele County",38091,2.0,37,"97 of 3140"
"Emmons County",38029,2.1,70,"105 of 3140"
"Mercer County",38057,2.3,198,"136 of 3140"
"McHenry County",38049,2.4,140,"147 of 3140"
"LaMoure County",38045,2.5,102,"159 of 3140"
"Logan County",38047,2.5,48,"161 of 3140"
"McLean County",38055,2.5,241,"164 of 3140"
"Burke County",38013,2.6,57,"167 of 3140"
"Towner County",38095,2.6,59,"181 of 3140"
"Kidder County",38043,2.7,65,"183 of 3140"
"McIntosh County",38051,3.1,82,"279 of 3140"
"Benson County",38005,3.3,225,"334 of 3140"
"Dunn County",38025,3.4,144,"341 of 3140"
"Morton County",38059,3.4,997,"341 of 3140"
"Adams County",38001,3.6,84,"394 of 3140"
"Mountrail County",38061,3.9,381,"480 of 3140"
"Oliver County",38065,3.9,70,"488 of 3140"
"Hettinger County",38041,3.9,99,"493 of 3140"
"Wells County",38103,4.2,168,"577 of 3140"
"Nelson County",38063,4.4,130,"677 of 3140"
"Pierce County",38069,4.8,205,"845 of 3140"
"Dickey County",38021,4.9,242,"866 of 3140"
"Walsh County",38099,4.9,534,"895 of 3140"
"Richland County",38077,5.0,805,"902 of 3140"
"Ransom County",38073,5.0,267,"907 of 3140"
"Sioux County",38085,5.2,226,"1001 of 3140"
"Pembina County",38067,5.3,365,"1044 of 3140"
"Bowman County",38011,5.4,169,"1100 of 3140"
"Sargent County",38081,5.4,207,"1105 of 3140"
"Bottineau County",38009,5.4,356,"1119 of 3140"
"Foster County",38031,5.4,178,"1131 of 3140"
"Traill County",38097,5.7,454,"1249 of 3140"
"Rolette County",38079,5.8,841,"1331 of 3140"
"Renville County",38075,5.8,146,"1340 of 3140"
"Divide County",38023,5.9,136,"1386 of 3140"
"Cavalier County",38019,5.9,224,"1395 of 3140"
"Golden Valley County",38033,6.2,115,"1533 of 3140"
"Griggs County",38039,6.6,148,"1721 of 3140"
"Barnes County",38003,7.5,805,"2073 of 3140"
"McKenzie County",38053,7.6,865,"2106 of 3140"
"Stutsman County",38093,7.6,1583,"2131 of 3140"
"Stark County",38089,7.7,2296,"2166 of 3140"
"Ramsey County",38071,7.7,889,"2183 of 3140"
"Burleigh County",38015,8.0,7316,"2280 of 3140"
"Eddy County",38027,8.1,185,"2296 of 3140"
"Williams County",38105,9.3,3009,"2626 of 3140"
"Grand Forks County",38035,10.6,7324,"2879 of 3140"
"Ward County",38101,11.2,7656,"2958 of 3140"
"Cass County",38017,13.3,22416,"3094 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
