------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"North Dakota",38000,5.3,39507,"6 of 52"
"Slope County",38087,0.0,0,"2960 of 3141"
"Steele County",38091,0.0,0,"2960 of 3141"
"Emmons County",38029,0.1,3,"2668 of 3141"
"Kidder County",38043,0.2,4,"2359 of 3141"
"Ransom County",38073,0.2,12,"2060 of 3141"
"Logan County",38047,0.3,5,"1910 of 3141"
"McIntosh County",38051,0.3,8,"1733 of 3141"
"Nelson County",38063,0.3,10,"1573 of 3141"
"Wells County",38103,0.4,15,"1470 of 3141"
"Sheridan County",38083,0.4,6,"1312 of 3141"
"Renville County",38075,0.5,12,"1217 of 3141"
"Billings County",38007,0.6,6,"1003 of 3141"
"LaMoure County",38045,0.7,30,"858 of 3141"
"Golden Valley County",38033,0.8,15,"809 of 3141"
"Sargent County",38081,0.9,35,"725 of 3141"
"Griggs County",38039,0.9,21,"715 of 3141"
"Foster County",38031,0.9,31,"708 of 3141"
"Cass County",38017,1.0,1700,"668 of 3141"
"Traill County",38097,1.0,82,"656 of 3141"
"Dickey County",38021,1.1,54,"615 of 3141"
"Adams County",38001,1.1,26,"604 of 3141"
"Cavalier County",38019,1.1,43,"588 of 3141"
"Divide County",38023,1.1,27,"585 of 3141"
"Stark County",38089,1.2,363,"563 of 3141"
"Bowman County",38011,1.2,40,"542 of 3141"
"Grant County",38037,1.4,34,"488 of 3141"
"Stutsman County",38093,1.5,309,"475 of 3141"
"McHenry County",38049,1.6,95,"446 of 3141"
"Barnes County",38003,2.0,221,"383 of 3141"
"Pembina County",38067,2.3,164,"348 of 3141"
"Ward County",38101,2.4,1639,"344 of 3141"
"Walsh County",38099,2.4,258,"338 of 3141"
"Bottineau County",38009,2.4,159,"333 of 3141"
"Grand Forks County",38035,2.5,1751,"322 of 3141"
"Hettinger County",38041,2.6,68,"313 of 3141"
"Mercer County",38057,2.7,231,"307 of 3141"
"Richland County",38077,2.7,437,"306 of 3141"
"Burke County",38013,2.8,62,"301 of 3141"
"Williams County",38105,2.8,923,"298 of 3141"
"Pierce County",38069,3.6,154,"255 of 3141"
"Burleigh County",38015,3.8,3474,"244 of 3141"
"Towner County",38095,3.8,86,"242 of 3141"
"Oliver County",38065,4.0,72,"237 of 3141"
"Morton County",38059,4.1,1230,"229 of 3141"
"Eddy County",38027,5.6,131,"185 of 3141"
"McLean County",38055,6.6,635,"173 of 3141"
"Ramsey County",38071,9.6,1114,"124 of 3141"
"Dunn County",38025,10.1,439,"121 of 3141"
"McKenzie County",38053,13.3,1555,"92 of 3141"
"Mountrail County",38061,26.9,2688,"47 of 3141"
"Benson County",38005,56.1,3855,"23 of 3141"
"Rolette County",38079,78.2,11465,"8 of 3141"
"Sioux County",38085,83.9,3710,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
