------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"North Dakota",38000,33.4,248862,"44 of 52"
"United States",00000,34.5,110609456,"N/A"
"Sioux County",38085,22.4,990,"3122 of 3141"
"McKenzie County",38053,26.8,3131,"3050 of 3141"
"Williams County",38105,27.0,8901,"3046 of 3141"
"Cass County",38017,27.3,46543,"3033 of 3141"
"Ward County",38101,27.4,19107,"3021 of 3141"
"Grand Forks County",38035,27.9,19590,"2997 of 3141"
"Rolette County",38079,28.4,4162,"2974 of 3141"
"Benson County",38005,30.7,2113,"2828 of 3141"
"Mountrail County",38061,30.7,3070,"2827 of 3141"
"Stark County",38089,31.3,9480,"2789 of 3141"
"Burleigh County",38015,34.6,31968,"2421 of 3141"
"Burke County",38013,36.0,811,"2194 of 3141"
"Morton County",38059,36.1,10852,"2184 of 3141"
"Renville County",38075,37.1,944,"1986 of 3141"
"Richland County",38077,38.4,6278,"1697 of 3141"
"Stutsman County",38093,39.8,8389,"1388 of 3141"
"Traill County",38097,40.3,3246,"1265 of 3141"
"Ramsey County",38071,40.5,4690,"1213 of 3141"
"McHenry County",38049,41.1,2448,"1072 of 3141"
"Golden Valley County",38033,41.3,781,"1040 of 3141"
"Dickey County",38021,41.4,2086,"1023 of 3141"
"Dunn County",38025,41.6,1808,"991 of 3141"
"Bowman County",38011,42.5,1372,"844 of 3141"
"Ransom County",38073,43.0,2326,"761 of 3141"
"Billings County",38007,43.1,424,"742 of 3141"
"Mercer County",38057,43.6,3768,"665 of 3141"
"Walsh County",38099,43.8,4783,"648 of 3141"
"Kidder County",38043,43.8,1077,"642 of 3141"
"Barnes County",38003,43.9,4818,"631 of 3141"
"Bottineau County",38009,44.5,2959,"567 of 3141"
"Eddy County",38027,44.9,1042,"529 of 3141"
"Pierce County",38069,44.9,1918,"528 of 3141"
"Foster County",38031,45.5,1511,"460 of 3141"
"Adams County",38001,45.8,1084,"430 of 3141"
"Sargent County",38081,45.9,1781,"425 of 3141"
"Hettinger County",38041,45.9,1193,"424 of 3141"
"McLean County",38055,46.2,4436,"400 of 3141"
"Pembina County",38067,47.4,3340,"310 of 3141"
"LaMoure County",38045,47.6,1953,"301 of 3141"
"Towner County",38095,49.4,1116,"200 of 3141"
"Steele County",38091,49.8,954,"180 of 3141"
"Cavalier County",38019,50.2,1915,"165 of 3141"
"Oliver County",38065,50.2,915,"164 of 3141"
"Griggs County",38039,51.0,1160,"139 of 3141"
"Wells County",38103,52.2,2134,"111 of 3141"
"Nelson County",38063,52.2,1551,"108 of 3141"
"Divide County",38023,52.4,1245,"102 of 3141"
"Grant County",38037,52.5,1254,"98 of 3141"
"Slope County",38087,52.7,355,"95 of 3141"
"Emmons County",38029,52.8,1789,"90 of 3141"
"Sheridan County",38083,53.9,756,"62 of 3141"
"McIntosh County",38051,55.1,1478,"46 of 3141"
"Logan County",38047,55.2,1067,"44 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
