------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"North Dakota",38000,2.0,6223,"33 of 52"
"United States",00000,3.3,3975282,"N/A"
"Divide County",38023,0.0,0,"3097 of 3141"
"Griggs County",38039,0.0,0,"3097 of 3141"
"Slope County",38087,0.0,0,"3097 of 3141"
"Billings County",38007,0.2,1,"3067 of 3141"
"Wells County",38103,0.3,5,"3066 of 3141"
"Ransom County",38073,0.3,6,"3064 of 3141"
"Barnes County",38003,0.3,15,"3059 of 3141"
"McHenry County",38049,0.3,8,"3057 of 3141"
"Pierce County",38069,0.4,7,"3042 of 3141"
"Eddy County",38027,0.4,4,"3035 of 3141"
"LaMoure County",38045,0.4,8,"3018 of 3141"
"Stutsman County",38093,0.5,43,"3010 of 3141"
"Adams County",38001,0.5,5,"3007 of 3141"
"Traill County",38097,0.5,16,"3005 of 3141"
"Emmons County",38029,0.5,8,"2991 of 3141"
"McIntosh County",38051,0.5,7,"2979 of 3141"
"Sheridan County",38083,0.6,4,"2949 of 3141"
"Hettinger County",38041,0.6,7,"2914 of 3141"
"Bottineau County",38009,0.7,21,"2902 of 3141"
"Pembina County",38067,0.7,24,"2855 of 3141"
"Cavalier County",38019,0.8,14,"2824 of 3141"
"Steele County",38091,0.9,8,"2746 of 3141"
"Oliver County",38065,0.9,7,"2724 of 3141"
"Richland County",38077,0.9,61,"2718 of 3141"
"Morton County",38059,1.2,159,"2375 of 3141"
"Walsh County",38099,1.2,60,"2333 of 3141"
"Logan County",38047,1.3,11,"2319 of 3141"
"Golden Valley County",38033,1.3,11,"2296 of 3141"
"Foster County",38031,1.3,20,"2216 of 3141"
"Renville County",38075,1.4,14,"2159 of 3141"
"Cass County",38017,1.6,1133,"1967 of 3141"
"McLean County",38055,1.7,72,"1843 of 3141"
"Burke County",38013,1.7,16,"1824 of 3141"
"Sargent County",38081,1.7,31,"1796 of 3141"
"Grant County",38037,1.7,19,"1789 of 3141"
"Dickey County",38021,1.9,41,"1624 of 3141"
"Grand Forks County",38035,2.0,596,"1493 of 3141"
"Burleigh County",38015,2.1,809,"1421 of 3141"
"Bowman County",38011,2.2,31,"1333 of 3141"
"Mercer County",38057,2.2,81,"1281 of 3141"
"Ward County",38101,2.3,618,"1243 of 3141"
"Nelson County",38063,2.3,34,"1220 of 3141"
"Ramsey County",38071,2.6,126,"981 of 3141"
"Kidder County",38043,2.7,28,"917 of 3141"
"Dunn County",38025,2.8,45,"821 of 3141"
"Towner County",38095,3.0,31,"739 of 3141"
"Stark County",38089,3.4,402,"565 of 3141"
"Mountrail County",38061,3.9,124,"418 of 3141"
"Williams County",38105,4.3,550,"321 of 3141"
"Rolette County",38079,5.9,280,"158 of 3141"
"McKenzie County",38053,6.6,240,"125 of 3141"
"Benson County",38005,9.1,208,"58 of 3141"
"Sioux County",38085,13.8,154,"17 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
