------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"North Dakota",38000,44.2,329631,"48 of 52"
"United States",00000,47.3,151838062,"N/A"
"Sioux County",38085,32.8,1449,"3120 of 3141"
"Grand Forks County",38035,37.4,26209,"3067 of 3141"
"Williams County",38105,37.8,12427,"3061 of 3141"
"McKenzie County",38053,37.8,4412,"3060 of 3141"
"Ward County",38101,37.9,26359,"3055 of 3141"
"Cass County",38017,38.6,65777,"3034 of 3141"
"Rolette County",38079,39.6,5811,"3002 of 3141"
"Benson County",38005,40.3,2770,"2968 of 3141"
"Mountrail County",38061,41.5,4141,"2916 of 3141"
"Stark County",38089,42.5,12883,"2867 of 3141"
"Burke County",38013,46.0,1037,"2555 of 3141"
"Burleigh County",38015,46.2,42638,"2535 of 3141"
"Morton County",38059,47.1,14149,"2427 of 3141"
"Richland County",38077,48.0,7847,"2261 of 3141"
"Renville County",38075,48.9,1244,"2114 of 3141"
"Stutsman County",38093,49.7,10459,"1976 of 3141"
"Dunn County",38025,50.8,2211,"1705 of 3141"
"Traill County",38097,51.9,4175,"1465 of 3141"
"Bowman County",38011,52.6,1696,"1278 of 3141"
"McHenry County",38049,52.9,3150,"1193 of 3141"
"Ramsey County",38071,53.0,6133,"1180 of 3141"
"Golden Valley County",38033,53.1,1004,"1157 of 3141"
"Billings County",38007,53.4,525,"1088 of 3141"
"Mercer County",38057,54.3,4687,"906 of 3141"
"Dickey County",38021,54.4,2744,"871 of 3141"
"Barnes County",38003,54.5,5974,"866 of 3141"
"Walsh County",38099,54.6,5962,"834 of 3141"
"Pierce County",38069,54.7,2338,"811 of 3141"
"Bottineau County",38009,55.1,3662,"763 of 3141"
"Ransom County",38073,55.4,2999,"692 of 3141"
"Kidder County",38043,55.9,1374,"621 of 3141"
"Adams County",38001,56.2,1330,"586 of 3141"
"Hettinger County",38041,56.3,1465,"566 of 3141"
"McLean County",38055,56.8,5456,"516 of 3141"
"Pembina County",38067,57.2,4031,"461 of 3141"
"Eddy County",38027,57.3,1331,"433 of 3141"
"Foster County",38031,57.4,1903,"430 of 3141"
"Sargent County",38081,58.1,2257,"360 of 3141"
"LaMoure County",38045,58.5,2402,"323 of 3141"
"Cavalier County",38019,60.4,2306,"203 of 3141"
"Oliver County",38065,60.8,1108,"187 of 3141"
"Slope County",38087,61.1,412,"179 of 3141"
"Griggs County",38039,61.4,1398,"163 of 3141"
"Towner County",38095,61.6,1392,"154 of 3141"
"Divide County",38023,61.6,1466,"153 of 3141"
"Nelson County",38063,61.7,1832,"152 of 3141"
"Steele County",38091,61.8,1184,"145 of 3141"
"Grant County",38037,62.1,1482,"135 of 3141"
"Wells County",38103,62.7,2564,"108 of 3141"
"Logan County",38047,63.1,1220,"96 of 3141"
"Sheridan County",38083,63.5,891,"82 of 3141"
"Emmons County",38029,64.6,2190,"60 of 3141"
"McIntosh County",38051,65.9,1765,"43 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
