------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"North Dakota",38000,3.3,15927,"13 of 52"
"United States",00000,5.4,11759554,"N/A"
"Steele County",38091,1.3,18,"85 of 3141"
"Adams County",38001,1.5,26,"156 of 3141"
"Grand Forks County",38035,2.0,831,"340 of 3141"
"Ramsey County",38071,2.2,175,"435 of 3141"
"Towner County",38095,2.3,38,"485 of 3141"
"Mountrail County",38061,2.4,152,"526 of 3141"
"Cass County",38017,2.4,2588,"533 of 3141"
"Williams County",38105,2.6,548,"620 of 3141"
"Ward County",38101,2.6,1114,"624 of 3141"
"Bowman County",38011,2.7,59,"666 of 3141"
"McKenzie County",38053,2.7,193,"675 of 3141"
"Renville County",38075,2.7,47,"706 of 3141"
"Burke County",38013,2.8,41,"752 of 3141"
"Traill County",38097,2.8,153,"758 of 3141"
"Burleigh County",38015,2.8,1774,"789 of 3141"
"Sioux County",38085,3.0,70,"916 of 3141"
"Nelson County",38063,3.1,71,"974 of 3141"
"Slope County",38087,3.2,16,"993 of 3141"
"Foster County",38031,3.3,79,"1058 of 3141"
"Golden Valley County",38033,3.8,47,"1310 of 3141"
"Dunn County",38025,3.8,114,"1314 of 3141"
"Sargent County",38081,3.8,108,"1357 of 3141"
"McLean County",38055,3.8,269,"1363 of 3141"
"Morton County",38059,3.9,817,"1383 of 3141"
"Stutsman County",38093,3.9,568,"1389 of 3141"
"Billings County",38007,3.9,28,"1397 of 3141"
"Bottineau County",38009,3.9,183,"1408 of 3141"
"Pierce County",38069,4.0,123,"1443 of 3141"
"Richland County",38077,4.1,431,"1472 of 3141"
"Stark County",38089,4.1,810,"1476 of 3141"
"Benson County",38005,4.1,162,"1503 of 3141"
"Rolette County",38079,4.2,348,"1517 of 3141"
"McHenry County",38049,4.2,175,"1535 of 3141"
"Eddy County",38027,4.2,69,"1536 of 3141"
"Barnes County",38003,4.3,334,"1587 of 3141"
"Divide County",38023,4.6,83,"1695 of 3141"
"Ransom County",38073,4.7,179,"1758 of 3141"
"Hettinger County",38041,4.9,95,"1841 of 3141"
"Kidder County",38043,4.9,86,"1846 of 3141"
"Cavalier County",38019,5.0,139,"1866 of 3141"
"Grant County",38037,5.3,95,"1948 of 3141"
"Mercer County",38057,5.5,335,"2008 of 3141"
"Dickey County",38021,5.5,191,"2014 of 3141"
"Pembina County",38067,5.6,286,"2041 of 3141"
"Sheridan County",38083,5.6,62,"2066 of 3141"
"Griggs County",38039,5.9,99,"2184 of 3141"
"Walsh County",38099,6.1,471,"2238 of 3141"
"Oliver County",38065,6.8,91,"2427 of 3141"
"LaMoure County",38045,7.9,233,"2640 of 3141"
"Wells County",38103,8.4,258,"2700 of 3141"
"Emmons County",38029,8.6,217,"2727 of 3141"
"Logan County",38047,10.9,157,"2930 of 3141"
"McIntosh County",38051,12.9,271,"3014 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
