------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"North Dakota",38000,6.8,12688,"4 of 52"
"United States",00000,10.5,8253388,"N/A"
"Steele County",38091,1.6,9,"9 of 3141"
"Renville County",38075,1.7,11,"11 of 3141"
"Ransom County",38073,1.7,25,"13 of 3141"
"Oliver County",38065,1.9,11,"18 of 3141"
"Wells County",38103,2.0,25,"21 of 3141"
"Sargent County",38081,2.1,24,"22 of 3141"
"Golden Valley County",38033,2.8,12,"45 of 3141"
"Pembina County",38067,3.1,63,"54 of 3141"
"Traill County",38097,3.5,72,"79 of 3141"
"Foster County",38031,3.7,37,"96 of 3141"
"Griggs County",38039,3.8,25,"108 of 3141"
"Slope County",38087,4.1,8,"136 of 3141"
"Bottineau County",38009,4.1,78,"142 of 3141"
"Cavalier County",38019,4.3,48,"163 of 3141"
"Morton County",38059,4.6,375,"192 of 3141"
"Burke County",38013,4.8,28,"213 of 3141"
"Nelson County",38063,4.8,41,"216 of 3141"
"Stark County",38089,4.9,355,"229 of 3141"
"Ward County",38101,5.0,820,"236 of 3141"
"Richland County",38077,5.1,219,"259 of 3141"
"Burleigh County",38015,5.2,1249,"270 of 3141"
"Bowman County",38011,5.3,49,"285 of 3141"
"McIntosh County",38051,5.3,44,"292 of 3141"
"Walsh County",38099,5.6,168,"340 of 3141"
"Dickey County",38021,5.8,83,"374 of 3141"
"McLean County",38055,5.9,169,"390 of 3141"
"Adams County",38001,5.9,42,"408 of 3141"
"McHenry County",38049,6.0,101,"431 of 3141"
"Mercer County",38057,6.3,162,"474 of 3141"
"Cass County",38017,6.4,2612,"499 of 3141"
"Kidder County",38043,6.8,53,"579 of 3141"
"Logan County",38047,6.9,39,"599 of 3141"
"Williams County",38105,7.4,593,"743 of 3141"
"Ramsey County",38071,7.4,210,"749 of 3141"
"Hettinger County",38041,7.5,55,"764 of 3141"
"Eddy County",38027,7.6,47,"804 of 3141"
"Stutsman County",38093,7.7,406,"829 of 3141"
"Barnes County",38003,7.9,242,"866 of 3141"
"McKenzie County",38053,8.0,196,"876 of 3141"
"Dunn County",38025,8.0,92,"884 of 3141"
"Emmons County",38029,8.2,79,"937 of 3141"
"Billings County",38007,8.2,24,"952 of 3141"
"Mountrail County",38061,8.3,180,"964 of 3141"
"LaMoure County",38045,8.5,100,"1019 of 3141"
"Divide County",38023,8.8,54,"1095 of 3141"
"Grand Forks County",38035,8.9,1430,"1124 of 3141"
"Towner County",38095,9.1,60,"1174 of 3141"
"Grant County",38037,9.8,64,"1345 of 3141"
"Sheridan County",38083,10.0,44,"1413 of 3141"
"Pierce County",38069,13.4,152,"2171 of 3141"
"Benson County",38005,25.2,413,"3046 of 3141"
"Rolette County",38079,28.3,916,"3087 of 3141"
"Sioux County",38085,32.1,274,"3111 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
