------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"North Dakota",38000,96.7,720731,"48 of 52"
"Walsh County",38099,88.9,9703,"667 of 3141"
"McKenzie County",38053,93.0,10858,"993 of 3141"
"Mountrail County",38061,93.0,9291,"998 of 3141"
"Williams County",38105,93.9,30910,"1111 of 3141"
"Ward County",38101,94.4,65699,"1194 of 3141"
"Renville County",38075,94.6,2406,"1241 of 3141"
"Bowman County",38011,94.9,3061,"1291 of 3141"
"Stark County",38089,94.9,28783,"1303 of 3141"
"Kidder County",38043,95.1,2336,"1335 of 3141"
"Billings County",38007,95.9,943,"1549 of 3141"
"Grand Forks County",38035,96.0,67334,"1568 of 3141"
"Sioux County",38085,96.1,4247,"1583 of 3141"
"Oliver County",38065,96.3,1755,"1646 of 3141"
"Hettinger County",38041,96.3,2506,"1658 of 3141"
"Dickey County",38021,96.6,4870,"1733 of 3141"
"Traill County",38097,96.6,7777,"1734 of 3141"
"Pembina County",38067,96.7,6820,"1773 of 3141"
"Sargent County",38081,97.0,3768,"1894 of 3141"
"Dunn County",38025,97.3,4230,"2000 of 3141"
"Richland County",38077,97.3,15887,"2005 of 3141"
"Mercer County",38057,97.3,8404,"2029 of 3141"
"Morton County",38059,97.3,29253,"2035 of 3141"
"Steele County",38091,97.4,1865,"2061 of 3141"
"Nelson County",38063,97.5,2896,"2104 of 3141"
"Ramsey County",38071,97.5,11284,"2117 of 3141"
"Cass County",38017,97.5,166430,"2142 of 3141"
"McHenry County",38049,97.7,5815,"2223 of 3141"
"Stutsman County",38093,97.7,20579,"2231 of 3141"
"McLean County",38055,97.7,9389,"2235 of 3141"
"Burleigh County",38015,97.8,90371,"2285 of 3141"
"Bottineau County",38009,97.8,6507,"2286 of 3141"
"McIntosh County",38051,97.8,2622,"2288 of 3141"
"Barnes County",38003,98.1,10764,"2442 of 3141"
"Eddy County",38027,98.2,2279,"2487 of 3141"
"Golden Valley County",38033,98.3,1860,"2564 of 3141"
"Logan County",38047,98.4,1901,"2606 of 3141"
"Burke County",38013,98.4,2217,"2609 of 3141"
"Towner County",38095,98.4,2222,"2610 of 3141"
"Ransom County",38073,98.4,5325,"2612 of 3141"
"Foster County",38031,98.7,3274,"2788 of 3141"
"Wells County",38103,98.8,4038,"2841 of 3141"
"Divide County",38023,98.9,2353,"2916 of 3141"
"Cavalier County",38019,99.0,3777,"2917 of 3141"
"LaMoure County",38045,99.0,4063,"2918 of 3141"
"Pierce County",38069,99.0,4229,"2929 of 3141"
"Benson County",38005,99.1,6813,"2958 of 3141"
"Sheridan County",38083,99.1,1391,"2981 of 3141"
"Grant County",38037,99.2,2368,"2998 of 3141"
"Slope County",38087,99.4,670,"3044 of 3141"
"Adams County",38001,99.5,2355,"3053 of 3141"
"Rolette County",38079,99.5,14585,"3068 of 3141"
"Griggs County",38039,99.7,2269,"3097 of 3141"
"Emmons County",38029,99.7,3379,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
