------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"North Dakota",38000,87.7,654024,"10 of 52"
"Sioux County",38085,12.6,559,"3133 of 3141"
"Rolette County",38079,18.9,2775,"3121 of 3141"
"Benson County",38005,41.5,2854,"3028 of 3141"
"Mountrail County",38061,65.9,6576,"2685 of 3141"
"McKenzie County",38053,82.8,9670,"2086 of 3141"
"Dunn County",38025,84.3,3667,"2001 of 3141"
"Williams County",38105,85.2,28040,"1965 of 3141"
"Ramsey County",38071,85.5,9900,"1946 of 3141"
"Grand Forks County",38035,87.8,61575,"1775 of 3141"
"Ward County",38101,87.8,61141,"1774 of 3141"
"Cass County",38017,88.5,151029,"1692 of 3141"
"McLean County",38055,91.0,8744,"1449 of 3141"
"Eddy County",38027,91.0,2113,"1444 of 3141"
"Burleigh County",38015,91.6,84622,"1377 of 3141"
"Towner County",38095,91.7,2070,"1367 of 3141"
"Walsh County",38099,92.1,10060,"1301 of 3141"
"Stark County",38089,92.2,27943,"1295 of 3141"
"Hettinger County",38041,92.5,2407,"1253 of 3141"
"Morton County",38059,92.6,27822,"1251 of 3141"
"Slope County",38087,93.0,627,"1189 of 3141"
"Richland County",38077,93.1,15201,"1181 of 3141"
"Bottineau County",38009,93.3,6206,"1129 of 3141"
"Adams County",38001,93.5,2214,"1102 of 3141"
"Stutsman County",38093,93.6,19709,"1081 of 3141"
"Divide County",38023,93.7,2229,"1056 of 3141"
"Oliver County",38065,93.9,1711,"1031 of 3141"
"Barnes County",38003,94.0,10312,"1016 of 3141"
"Pembina County",38067,94.4,6654,"954 of 3141"
"Billings County",38007,94.4,928,"947 of 3141"
"Burke County",38013,94.4,2127,"945 of 3141"
"Mercer County",38057,94.4,8157,"941 of 3141"
"Traill County",38097,94.6,7617,"896 of 3141"
"Pierce County",38069,95.1,4061,"818 of 3141"
"Bowman County",38011,95.4,3079,"751 of 3141"
"Golden Valley County",38033,95.5,1807,"730 of 3141"
"Cavalier County",38019,95.7,3653,"683 of 3141"
"Sargent County",38081,96.0,3728,"601 of 3141"
"Griggs County",38039,96.2,2189,"561 of 3141"
"Renville County",38075,96.4,2452,"496 of 3141"
"Dickey County",38021,96.4,4861,"494 of 3141"
"Ransom County",38073,96.6,5226,"452 of 3141"
"Kidder County",38043,96.8,2379,"374 of 3141"
"Emmons County",38029,97.0,3287,"327 of 3141"
"McHenry County",38049,97.0,5773,"321 of 3141"
"Foster County",38031,97.1,3221,"303 of 3141"
"McIntosh County",38051,97.3,2608,"240 of 3141"
"Grant County",38037,97.3,2323,"238 of 3141"
"Sheridan County",38083,97.9,1373,"118 of 3141"
"Logan County",38047,97.9,1892,"109 of 3141"
"LaMoure County",38045,98.0,4023,"97 of 3141"
"Nelson County",38063,98.0,2913,"86 of 3141"
"Wells County",38103,98.1,4013,"69 of 3141"
"Steele County",38091,99.4,1904,"12 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
