------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"North Dakota",38000,51.3,382121,"51 of 52"
"Hettinger County",38041,47.8,1242,"179 of 3141"
"Bowman County",38011,47.9,1544,"208 of 3141"
"Renville County",38075,48.8,1241,"695 of 3141"
"McIntosh County",38051,48.9,1310,"772 of 3141"
"Sheridan County",38083,48.9,686,"786 of 3141"
"Golden Valley County",38033,49.2,930,"1038 of 3141"
"Barnes County",38003,49.2,5397,"1079 of 3141"
"Adams County",38001,49.3,1168,"1227 of 3141"
"Eddy County",38027,49.4,1146,"1302 of 3141"
"Rolette County",38079,49.5,7250,"1423 of 3141"
"Foster County",38031,49.6,1645,"1551 of 3141"
"Grant County",38037,49.8,1188,"1738 of 3141"
"Wells County",38103,49.8,2036,"1762 of 3141"
"Dickey County",38021,49.9,2513,"1806 of 3141"
"Emmons County",38029,50.0,1693,"1905 of 3141"
"Burleigh County",38015,50.0,46218,"1977 of 3141"
"Sioux County",38085,50.0,2212,"1982 of 3141"
"Pierce County",38069,50.4,2155,"2297 of 3141"
"Cass County",38017,50.6,86284,"2352 of 3141"
"Towner County",38095,50.6,1143,"2376 of 3141"
"Griggs County",38039,50.7,1153,"2408 of 3141"
"Traill County",38097,50.8,4091,"2481 of 3141"
"Cavalier County",38019,50.9,1944,"2518 of 3141"
"Ramsey County",38071,51.0,5897,"2523 of 3141"
"Divide County",38023,51.2,1217,"2595 of 3141"
"Stutsman County",38093,51.2,10781,"2601 of 3141"
"Benson County",38005,51.2,3520,"2604 of 3141"
"Morton County",38059,51.2,15395,"2609 of 3141"
"Ransom County",38073,51.2,2772,"2615 of 3141"
"Walsh County",38099,51.3,5606,"2644 of 3141"
"Logan County",38047,51.4,993,"2664 of 3141"
"Nelson County",38063,51.5,1530,"2681 of 3141"
"Mercer County",38057,51.5,4451,"2693 of 3141"
"Richland County",38077,51.6,8434,"2707 of 3141"
"Sargent County",38081,51.7,2008,"2726 of 3141"
"McLean County",38055,51.8,4974,"2735 of 3141"
"Stark County",38089,51.9,15719,"2746 of 3141"
"LaMoure County",38045,51.9,2129,"2747 of 3141"
"Slope County",38087,51.9,350,"2762 of 3141"
"McHenry County",38049,51.9,3091,"2765 of 3141"
"Grand Forks County",38035,52.0,36438,"2770 of 3141"
"Pembina County",38067,52.0,3667,"2781 of 3141"
"Oliver County",38065,52.1,950,"2805 of 3141"
"Ward County",38101,52.2,36366,"2820 of 3141"
"Bottineau County",38009,52.3,3478,"2829 of 3141"
"Steele County",38091,52.4,1003,"2840 of 3141"
"Dunn County",38025,53.0,2306,"2901 of 3141"
"Burke County",38013,53.2,1198,"2915 of 3141"
"McKenzie County",38053,53.5,6243,"2942 of 3141"
"Kidder County",38043,53.6,1316,"2949 of 3141"
"Williams County",38105,54.7,18015,"3019 of 3141"
"Mountrail County",38061,55.3,5519,"3032 of 3141"
"Billings County",38007,57.6,566,"3077 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
