------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"North Dakota",38000,1.0,3268,"6 of 51"
"United States",00000,4.5,5305440,"N/A"
"Barnes County",38003,0.0,0,"1 of 3140"
"Bowman County",38011,0.0,0,"1 of 3140"
"Burke County",38013,0.0,0,"1 of 3140"
"Divide County",38023,0.0,0,"1 of 3140"
"Griggs County",38039,0.0,0,"1 of 3140"
"Hettinger County",38041,0.0,0,"1 of 3140"
"Nelson County",38063,0.0,0,"1 of 3140"
"Ransom County",38073,0.0,0,"1 of 3140"
"Slope County",38087,0.0,0,"1 of 3140"
"McLean County",38055,0.0,1,"299 of 3140"
"Pierce County",38069,0.1,1,"329 of 3140"
"Wells County",38103,0.1,1,"330 of 3140"
"Bottineau County",38009,0.1,2,"356 of 3140"
"Williams County",38105,0.1,12,"390 of 3140"
"Sargent County",38081,0.1,2,"415 of 3140"
"Benson County",38005,0.1,3,"457 of 3140"
"Sioux County",38085,0.2,2,"552 of 3140"
"Kidder County",38043,0.2,2,"573 of 3140"
"Traill County",38097,0.3,9,"723 of 3140"
"Grant County",38037,0.3,3,"726 of 3140"
"Pembina County",38067,0.3,9,"746 of 3140"
"Golden Valley County",38033,0.3,3,"871 of 3140"
"Rolette County",38079,0.4,18,"935 of 3140"
"Dickey County",38021,0.4,9,"993 of 3140"
"Adams County",38001,0.5,5,"1090 of 3140"
"Ward County",38101,0.5,141,"1147 of 3140"
"Foster County",38031,0.5,8,"1174 of 3140"
"Richland County",38077,0.6,38,"1214 of 3140"
"Towner County",38095,0.6,6,"1249 of 3140"
"Sheridan County",38083,0.6,4,"1256 of 3140"
"Stutsman County",38093,0.6,54,"1259 of 3140"
"Renville County",38075,0.6,6,"1271 of 3140"
"Emmons County",38029,0.6,10,"1336 of 3140"
"Mountrail County",38061,0.7,23,"1427 of 3140"
"Billings County",38007,0.7,3,"1473 of 3140"
"Burleigh County",38015,0.8,294,"1480 of 3140"
"Cavalier County",38019,0.9,16,"1624 of 3140"
"McHenry County",38049,1.0,26,"1696 of 3140"
"Morton County",38059,1.0,137,"1756 of 3140"
"Steele County",38091,1.1,10,"1800 of 3140"
"Stark County",38089,1.2,140,"1864 of 3140"
"Ramsey County",38071,1.2,60,"1897 of 3140"
"Walsh County",38099,1.2,59,"1899 of 3140"
"Logan County",38047,1.3,11,"1920 of 3140"
"Oliver County",38065,1.3,10,"1933 of 3140"
"Mercer County",38057,1.4,50,"2002 of 3140"
"LaMoure County",38045,1.4,25,"2009 of 3140"
"Dunn County",38025,1.6,26,"2173 of 3140"
"Grand Forks County",38035,1.8,533,"2249 of 3140"
"Cass County",38017,1.8,1317,"2254 of 3140"
"Eddy County",38027,1.8,19,"2259 of 3140"
"McKenzie County",38053,2.8,103,"2596 of 3140"
"McIntosh County",38051,4.3,57,"2807 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
