------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"North Dakota",38000,18.3,132060,"9 of 52"
"United States",00000,23.7,74202606,"N/A"
"Steele County",38091,7.7,147,"9 of 3141"
"Oliver County",38065,9.2,167,"28 of 3141"
"Sargent County",38081,11.3,432,"70 of 3141"
"Bowman County",38011,11.3,358,"71 of 3141"
"Mercer County",38057,11.7,983,"80 of 3141"
"Dickey County",38021,12.8,613,"133 of 3141"
"Pembina County",38067,13.2,905,"143 of 3141"
"Stark County",38089,13.7,4048,"163 of 3141"
"McHenry County",38049,13.7,807,"165 of 3141"
"Traill County",38097,13.9,1060,"174 of 3141"
"Slope County",38087,13.9,94,"178 of 3141"
"Burleigh County",38015,14.0,12485,"180 of 3141"
"Logan County",38047,14.1,261,"182 of 3141"
"Renville County",38075,14.4,358,"201 of 3141"
"Cavalier County",38019,14.8,550,"226 of 3141"
"Mountrail County",38061,14.9,1466,"229 of 3141"
"Billings County",38007,15.0,147,"235 of 3141"
"Wells County",38103,15.0,601,"238 of 3141"
"Williams County",38105,15.0,4822,"239 of 3141"
"Morton County",38059,15.2,4485,"250 of 3141"
"McLean County",38055,15.5,1457,"264 of 3141"
"Dunn County",38025,15.5,658,"268 of 3141"
"Ward County",38101,15.8,10655,"289 of 3141"
"Nelson County",38063,15.8,458,"290 of 3141"
"Bottineau County",38009,15.9,1008,"296 of 3141"
"Richland County",38077,16.3,2467,"323 of 3141"
"Hettinger County",38041,16.5,403,"346 of 3141"
"Barnes County",38003,16.8,1752,"368 of 3141"
"Griggs County",38039,16.9,369,"382 of 3141"
"Foster County",38031,17.0,551,"387 of 3141"
"McKenzie County",38053,17.0,1975,"391 of 3141"
"Ransom County",38073,17.1,897,"398 of 3141"
"Burke County",38013,17.3,390,"421 of 3141"
"Stutsman County",38093,17.5,3397,"444 of 3141"
"Adams County",38001,17.8,413,"473 of 3141"
"Cass County",38017,18.5,30631,"538 of 3141"
"LaMoure County",38045,18.9,757,"605 of 3141"
"Ramsey County",38071,19.2,2136,"632 of 3141"
"Divide County",38023,19.5,446,"663 of 3141"
"McIntosh County",38051,20.7,531,"839 of 3141"
"Emmons County",38029,20.9,698,"870 of 3141"
"Grant County",38037,21.3,497,"922 of 3141"
"Kidder County",38043,21.4,525,"937 of 3141"
"Walsh County",38099,21.9,2331,"994 of 3141"
"Towner County",38095,23.2,518,"1173 of 3141"
"Eddy County",38027,23.6,527,"1228 of 3141"
"Pierce County",38069,24.3,995,"1328 of 3141"
"Golden Valley County",38033,24.5,449,"1354 of 3141"
"Sheridan County",38083,24.9,348,"1435 of 3141"
"Grand Forks County",38035,26.5,17301,"1655 of 3141"
"Rolette County",38079,44.8,6455,"3047 of 3141"
"Benson County",38005,44.8,3056,"3049 of 3141"
"Sioux County",38085,51.0,2220,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
