------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"North Dakota",38000,22.9,170370,"25 of 52"
"United States",00000,22.9,73601279,"N/A"
"Sheridan County",38083,15.9,223,"3063 of 3141"
"McIntosh County",38051,17.4,466,"2961 of 3141"
"Nelson County",38063,18.0,534,"2900 of 3141"
"Divide County",38023,18.6,442,"2810 of 3141"
"Logan County",38047,18.7,361,"2795 of 3141"
"Wells County",38103,19.4,794,"2641 of 3141"
"Emmons County",38029,19.5,661,"2615 of 3141"
"Griggs County",38039,19.6,447,"2581 of 3141"
"Sargent County",38081,19.8,767,"2550 of 3141"
"Barnes County",38003,19.9,2181,"2522 of 3141"
"Grant County",38037,19.9,476,"2507 of 3141"
"Steele County",38091,20.1,384,"2475 of 3141"
"Adams County",38001,20.1,476,"2458 of 3141"
"Stutsman County",38093,20.1,4239,"2453 of 3141"
"Grand Forks County",38035,20.5,14348,"2340 of 3141"
"Pierce County",38069,20.6,879,"2313 of 3141"
"Bottineau County",38009,20.6,1372,"2294 of 3141"
"Cavalier County",38019,20.7,789,"2284 of 3141"
"Pembina County",38067,20.7,1462,"2259 of 3141"
"McLean County",38055,20.8,1999,"2227 of 3141"
"Kidder County",38043,20.9,514,"2197 of 3141"
"Foster County",38031,21.0,696,"2170 of 3141"
"Hettinger County",38041,21.2,552,"2082 of 3141"
"Richland County",38077,21.3,3487,"2026 of 3141"
"Slope County",38087,21.4,144,"2019 of 3141"
"Billings County",38007,21.7,213,"1925 of 3141"
"Oliver County",38065,21.7,396,"1897 of 3141"
"Dickey County",38021,21.8,1099,"1859 of 3141"
"LaMoure County",38045,22.0,903,"1776 of 3141"
"Mercer County",38057,22.1,1908,"1731 of 3141"
"Cass County",38017,22.1,37780,"1707 of 3141"
"Morton County",38059,22.2,6673,"1678 of 3141"
"Traill County",38097,22.2,1790,"1658 of 3141"
"Dunn County",38025,22.5,977,"1554 of 3141"
"Walsh County",38099,22.6,2470,"1498 of 3141"
"Ransom County",38073,22.9,1239,"1367 of 3141"
"Ramsey County",38071,22.9,2655,"1349 of 3141"
"Burleigh County",38015,23.0,21201,"1340 of 3141"
"Ward County",38101,23.3,16201,"1196 of 3141"
"Eddy County",38027,23.4,542,"1159 of 3141"
"McHenry County",38049,23.5,1400,"1092 of 3141"
"Bowman County",38011,23.8,768,"964 of 3141"
"Towner County",38095,24.1,544,"843 of 3141"
"Renville County",38075,24.6,626,"654 of 3141"
"Stark County",38089,24.9,7552,"566 of 3141"
"Golden Valley County",38033,25.2,476,"506 of 3141"
"Mountrail County",38061,25.8,2581,"381 of 3141"
"Williams County",38105,26.5,8731,"306 of 3141"
"Burke County",38013,26.9,607,"262 of 3141"
"McKenzie County",38053,29.1,3393,"116 of 3141"
"Rolette County",38079,33.7,4943,"27 of 3141"
"Benson County",38005,34.2,2352,"21 of 3141"
"Sioux County",38085,37.5,1657,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
