------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"North Dakota",38000,32.9,245474,"49 of 52"
"Towner County",38095,14.3,322,"12 of 3141"
"Emmons County",38029,15.9,538,"23 of 3141"
"McIntosh County",38051,16.8,449,"34 of 3141"
"Oliver County",38065,17.5,318,"52 of 3141"
"Slope County",38087,17.5,118,"55 of 3141"
"Wells County",38103,17.9,731,"67 of 3141"
"Grant County",38037,18.0,429,"72 of 3141"
"Steele County",38091,18.1,347,"79 of 3141"
"Logan County",38047,18.2,351,"81 of 3141"
"Cavalier County",38019,18.9,722,"113 of 3141"
"Griggs County",38039,18.9,431,"116 of 3141"
"Eddy County",38027,19.3,448,"138 of 3141"
"LaMoure County",38045,19.5,801,"153 of 3141"
"Divide County",38023,19.8,470,"168 of 3141"
"Nelson County",38063,20.4,605,"221 of 3141"
"Sheridan County",38083,20.6,289,"241 of 3141"
"Foster County",38031,21.7,719,"377 of 3141"
"Ransom County",38073,21.7,1173,"380 of 3141"
"Golden Valley County",38033,21.8,412,"394 of 3141"
"Pembina County",38067,22.1,1557,"458 of 3141"
"Sargent County",38081,22.1,859,"464 of 3141"
"McLean County",38055,22.4,2152,"528 of 3141"
"Hettinger County",38041,22.5,584,"542 of 3141"
"Walsh County",38099,22.8,2488,"627 of 3141"
"Kidder County",38043,23.2,569,"737 of 3141"
"McHenry County",38049,23.5,1401,"836 of 3141"
"Bowman County",38011,23.6,762,"861 of 3141"
"Mercer County",38057,23.6,2042,"865 of 3141"
"Adams County",38001,23.7,562,"891 of 3141"
"Dickey County",38021,23.8,1198,"901 of 3141"
"Ramsey County",38071,24.1,2786,"996 of 3141"
"Bottineau County",38009,24.3,1617,"1070 of 3141"
"Pierce County",38069,24.7,1055,"1192 of 3141"
"Billings County",38007,24.9,245,"1287 of 3141"
"Benson County",38005,25.5,1753,"1496 of 3141"
"Barnes County",38003,25.7,2816,"1549 of 3141"
"Traill County",38097,25.9,2085,"1622 of 3141"
"Renville County",38075,26.5,673,"1801 of 3141"
"Rolette County",38079,26.6,3903,"1861 of 3141"
"Dunn County",38025,26.7,1161,"1879 of 3141"
"Burke County",38013,27.0,609,"1981 of 3141"
"Sioux County",38085,29.7,1314,"2561 of 3141"
"Stutsman County",38093,30.2,6360,"2640 of 3141"
"Richland County",38077,30.6,4999,"2687 of 3141"
"Morton County",38059,30.7,9237,"2705 of 3141"
"Burleigh County",38015,30.9,28533,"2719 of 3141"
"Stark County",38089,32.6,9881,"2856 of 3141"
"Mountrail County",38061,32.7,3264,"2863 of 3141"
"McKenzie County",38053,33.2,3874,"2894 of 3141"
"Williams County",38105,35.7,11758,"2985 of 3141"
"Ward County",38101,38.9,27068,"3058 of 3141"
"Cass County",38017,39.3,67063,"3066 of 3141"
"Grand Forks County",38035,42.2,29573,"3094 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
