------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"North Dakota",38000,5.2,37942,"50 of 51"
"Oliver County",38065,0.0,0,"1 of 3140"
"Emmons County",38029,0.2,6,"41 of 3140"
"Wells County",38103,0.6,23,"225 of 3140"
"Towner County",38095,0.6,13,"231 of 3140"
"Rolette County",38079,0.6,85,"236 of 3140"
"Benson County",38005,0.8,53,"411 of 3140"
"Steele County",38091,0.8,16,"465 of 3140"
"Cavalier County",38019,0.9,33,"500 of 3140"
"Ramsey County",38071,1.1,124,"738 of 3140"
"Griggs County",38039,1.2,27,"903 of 3140"
"McLean County",38055,1.4,129,"1076 of 3140"
"Billings County",38007,1.5,15,"1293 of 3140"
"Walsh County",38099,1.6,172,"1362 of 3140"
"Slope County",38087,1.6,11,"1412 of 3140"
"Foster County",38031,1.6,54,"1431 of 3140"
"McIntosh County",38051,1.7,45,"1470 of 3140"
"Renville County",38075,1.7,43,"1514 of 3140"
"Sheridan County",38083,1.8,25,"1609 of 3140"
"Eddy County",38027,1.9,44,"1712 of 3140"
"LaMoure County",38045,2.0,81,"1777 of 3140"
"McHenry County",38049,2.1,120,"1835 of 3140"
"Pembina County",38067,2.1,144,"1851 of 3140"
"Pierce County",38069,2.1,88,"1857 of 3140"
"Logan County",38047,2.3,44,"2027 of 3140"
"Divide County",38023,2.3,54,"2062 of 3140"
"Nelson County",38063,2.4,70,"2088 of 3140"
"Burleigh County",38015,2.5,2253,"2140 of 3140"
"Morton County",38059,2.5,743,"2168 of 3140"
"Ransom County",38073,2.7,143,"2262 of 3140"
"Mountrail County",38061,2.8,276,"2336 of 3140"
"Burke County",38013,2.8,63,"2350 of 3140"
"Sioux County",38085,2.9,125,"2376 of 3140"
"Bowman County",38011,3.0,94,"2444 of 3140"
"Sargent County",38081,3.2,124,"2556 of 3140"
"Adams County",38001,3.2,76,"2563 of 3140"
"Traill County",38097,3.6,284,"2681 of 3140"
"Dickey County",38021,3.7,183,"2722 of 3140"
"Hettinger County",38041,3.7,95,"2728 of 3140"
"Mercer County",38057,3.7,318,"2729 of 3140"
"Stutsman County",38093,4.3,900,"2863 of 3140"
"Barnes County",38003,4.4,470,"2870 of 3140"
"Grant County",38037,4.4,104,"2881 of 3140"
"Bottineau County",38009,4.4,292,"2891 of 3140"
"Dunn County",38025,5.6,241,"3026 of 3140"
"Richland County",38077,5.7,920,"3029 of 3140"
"Stark County",38089,6.5,1937,"3065 of 3140"
"Ward County",38101,6.9,4705,"3084 of 3140"
"McKenzie County",38053,7.0,797,"3087 of 3140"
"Cass County",38017,7.2,12076,"3093 of 3140"
"Golden Valley County",38033,7.3,136,"3100 of 3140"
"Williams County",38105,7.7,2504,"3108 of 3140"
"Grand Forks County",38035,9.2,6336,"3126 of 3140"
"Kidder County",38043,9.4,228,"3127 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
