------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"North Dakota",38000,48.7,363354,"2 of 52"
"United States",00000,50.8,162985654,"N/A"
"Billings County",38007,42.4,417,"65 of 3141"
"Mountrail County",38061,44.7,4467,"110 of 3141"
"Williams County",38105,45.3,14901,"123 of 3141"
"Kidder County",38043,46.4,1141,"193 of 3141"
"McKenzie County",38053,46.5,5436,"200 of 3141"
"Burke County",38013,46.8,1055,"227 of 3141"
"Dunn County",38025,47.0,2043,"240 of 3141"
"Steele County",38091,47.6,912,"301 of 3141"
"Bottineau County",38009,47.7,3173,"313 of 3141"
"Ward County",38101,47.8,33262,"322 of 3141"
"Oliver County",38065,47.9,872,"337 of 3141"
"Pembina County",38067,48.0,3383,"361 of 3141"
"Grand Forks County",38035,48.0,33692,"372 of 3141"
"McHenry County",38049,48.1,2860,"377 of 3141"
"Slope County",38087,48.1,324,"380 of 3141"
"LaMoure County",38045,48.1,1977,"395 of 3141"
"Stark County",38089,48.1,14597,"396 of 3141"
"McLean County",38055,48.2,4633,"407 of 3141"
"Sargent County",38081,48.3,1875,"416 of 3141"
"Richland County",38077,48.4,7899,"435 of 3141"
"Mercer County",38057,48.5,4186,"449 of 3141"
"Nelson County",38063,48.5,1441,"461 of 3141"
"Logan County",38047,48.6,939,"478 of 3141"
"Walsh County",38099,48.7,5314,"498 of 3141"
"Ransom County",38073,48.8,2639,"527 of 3141"
"Morton County",38059,48.8,14664,"533 of 3141"
"Benson County",38005,48.8,3355,"538 of 3141"
"Stutsman County",38093,48.8,10277,"541 of 3141"
"Divide County",38023,48.8,1161,"547 of 3141"
"Ramsey County",38071,49.0,5677,"619 of 3141"
"Cavalier County",38019,49.1,1873,"624 of 3141"
"Traill County",38097,49.2,3959,"661 of 3141"
"Griggs County",38039,49.3,1123,"734 of 3141"
"Towner County",38095,49.4,1115,"766 of 3141"
"Cass County",38017,49.4,84336,"790 of 3141"
"Pierce County",38069,49.6,2117,"845 of 3141"
"Sioux County",38085,50.0,2208,"1160 of 3141"
"Burleigh County",38015,50.0,46154,"1165 of 3141"
"Emmons County",38029,50.0,1696,"1237 of 3141"
"Dickey County",38021,50.1,2528,"1336 of 3141"
"Wells County",38103,50.2,2053,"1380 of 3141"
"Grant County",38037,50.2,1199,"1404 of 3141"
"Foster County",38031,50.4,1673,"1591 of 3141"
"Rolette County",38079,50.5,7407,"1719 of 3141"
"Eddy County",38027,50.6,1175,"1840 of 3141"
"Adams County",38001,50.7,1200,"1915 of 3141"
"Barnes County",38003,50.8,5574,"2063 of 3141"
"Golden Valley County",38033,50.8,962,"2104 of 3141"
"Sheridan County",38083,51.1,717,"2356 of 3141"
"McIntosh County",38051,51.1,1370,"2370 of 3141"
"Renville County",38075,51.2,1302,"2447 of 3141"
"Bowman County",38011,52.1,1682,"2934 of 3141"
"Hettinger County",38041,52.2,1359,"2963 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
