------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '38', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=38&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for North Dakota by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"North Dakota",38000,3.3,24744,"48 of 52"
"United States",00000,17.6,56510571,"N/A"
"Emmons County",38029,0.3,10,"3100 of 3141"
"Griggs County",38039,0.3,7,"3097 of 3141"
"Rolette County",38079,0.5,72,"3068 of 3141"
"Adams County",38001,0.5,13,"3053 of 3141"
"Slope County",38087,0.6,4,"3044 of 3141"
"Grant County",38037,0.8,19,"2998 of 3141"
"Sheridan County",38083,0.9,12,"2981 of 3141"
"Benson County",38005,0.9,62,"2958 of 3141"
"Pierce County",38069,1.0,43,"2929 of 3141"
"LaMoure County",38045,1.0,43,"2918 of 3141"
"Cavalier County",38019,1.0,40,"2917 of 3141"
"Divide County",38023,1.1,25,"2916 of 3141"
"Wells County",38103,1.2,51,"2841 of 3141"
"Foster County",38031,1.3,44,"2788 of 3141"
"Ransom County",38073,1.6,86,"2612 of 3141"
"Towner County",38095,1.6,36,"2610 of 3141"
"Burke County",38013,1.6,36,"2609 of 3141"
"Logan County",38047,1.6,31,"2606 of 3141"
"Golden Valley County",38033,1.7,32,"2564 of 3141"
"Eddy County",38027,1.8,42,"2487 of 3141"
"Barnes County",38003,1.9,207,"2442 of 3141"
"McIntosh County",38051,2.2,58,"2288 of 3141"
"Bottineau County",38009,2.2,144,"2286 of 3141"
"Burleigh County",38015,2.2,2001,"2285 of 3141"
"McLean County",38055,2.3,218,"2235 of 3141"
"Stutsman County",38093,2.3,479,"2231 of 3141"
"McHenry County",38049,2.3,136,"2223 of 3141"
"Cass County",38017,2.5,4190,"2142 of 3141"
"Ramsey County",38071,2.5,290,"2117 of 3141"
"Nelson County",38063,2.5,75,"2104 of 3141"
"Steele County",38091,2.6,50,"2061 of 3141"
"Morton County",38059,2.7,806,"2035 of 3141"
"Mercer County",38057,2.7,233,"2029 of 3141"
"Richland County",38077,2.7,446,"2005 of 3141"
"Dunn County",38025,2.7,119,"2000 of 3141"
"Sargent County",38081,3.0,115,"1894 of 3141"
"Pembina County",38067,3.3,230,"1773 of 3141"
"Traill County",38097,3.4,273,"1734 of 3141"
"Dickey County",38021,3.4,171,"1733 of 3141"
"Hettinger County",38041,3.7,95,"1658 of 3141"
"Oliver County",38065,3.7,67,"1646 of 3141"
"Sioux County",38085,3.9,173,"1583 of 3141"
"Grand Forks County",38035,4.0,2796,"1568 of 3141"
"Billings County",38007,4.1,40,"1549 of 3141"
"Kidder County",38043,4.9,121,"1335 of 3141"
"Stark County",38089,5.1,1533,"1303 of 3141"
"Bowman County",38011,5.1,165,"1291 of 3141"
"Renville County",38075,5.4,137,"1241 of 3141"
"Ward County",38101,5.6,3929,"1194 of 3141"
"Williams County",38105,6.1,2006,"1111 of 3141"
"Mountrail County",38061,7.0,695,"998 of 3141"
"McKenzie County",38053,7.0,821,"993 of 3141"
"Walsh County",38099,11.1,1217,"667 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
