------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Alabama",01000,8.5,405321,"24 of 51"
"Perry County",01105,1.5,143,"53 of 3140"
"Greene County",01063,1.6,136,"66 of 3140"
"Sumter County",01119,2.1,279,"115 of 3140"
"Blount County",01009,2.3,1322,"134 of 3140"
"Wilcox County",01131,2.4,256,"142 of 3140"
"Conecuh County",01035,2.6,324,"174 of 3140"
"Washington County",01129,3.0,494,"255 of 3140"
"Escambia County",01053,3.0,1120,"265 of 3140"
"Coosa County",01037,3.3,362,"328 of 3140"
"Hale County",01065,3.9,573,"493 of 3140"
"Jackson County",01071,4.0,2069,"533 of 3140"
"Henry County",01067,4.2,718,"597 of 3140"
"Bibb County",01007,4.4,973,"652 of 3140"
"Pickens County",01107,4.4,873,"654 of 3140"
"Macon County",01087,4.4,847,"667 of 3140"
"Cullman County",01043,4.6,3712,"737 of 3140"
"Butler County",01013,4.6,920,"742 of 3140"
"Cherokee County",01019,4.6,1180,"747 of 3140"
"Lawrence County",01079,5.0,1664,"940 of 3140"
"Elmore County",01051,5.2,4167,"1015 of 3140"
"Monroe County",01099,5.2,1124,"1037 of 3140"
"Limestone County",01083,5.4,4856,"1094 of 3140"
"Tallapoosa County",01123,5.4,2182,"1124 of 3140"
"Randolph County",01111,5.5,1224,"1158 of 3140"
"St. Clair County",01115,5.6,4822,"1208 of 3140"
"Marion County",01093,5.6,1674,"1211 of 3140"
"Pike County",01109,5.8,1917,"1344 of 3140"
"Crenshaw County",01041,5.9,811,"1374 of 3140"
"Shelby County",01117,6.1,12576,"1480 of 3140"
"Marengo County",01091,6.1,1193,"1487 of 3140"
"Clarke County",01025,6.2,1504,"1508 of 3140"
"Baldwin County",01003,6.2,12379,"1512 of 3140"
"Franklin County",01059,6.2,1939,"1537 of 3140"
"Chambers County",01017,6.2,2102,"1554 of 3140"
"Lowndes County",01085,6.3,652,"1610 of 3140"
"Clay County",01027,6.6,877,"1718 of 3140"
"Dallas County",01047,6.6,2654,"1724 of 3140"
"Coffee County",01031,6.7,3367,"1741 of 3140"
"Bullock County",01011,6.7,695,"1744 of 3140"
"Colbert County",01033,6.9,3713,"1821 of 3140"
"Dale County",01045,7.1,3450,"1898 of 3140"
"Autauga County",01001,7.1,3876,"1927 of 3140"
"Cleburne County",01029,7.3,1079,"1992 of 3140"
"Covington County",01039,7.5,2782,"2079 of 3140"
"Barbour County",01005,7.7,1988,"2151 of 3140"
"Choctaw County",01023,7.7,1006,"2162 of 3140"
"Houston County",01069,7.9,8100,"2230 of 3140"
"DeKalb County",01049,8.1,5709,"2311 of 3140"
"Marshall County",01095,8.1,7636,"2317 of 3140"
"Winston County",01133,8.3,1964,"2348 of 3140"
"Chilton County",01021,8.3,3589,"2364 of 3140"
"Lamar County",01075,8.3,1154,"2365 of 3140"
"Fayette County",01057,8.4,1387,"2388 of 3140"
"Talladega County",01121,8.5,6844,"2419 of 3140"
"Russell County",01113,8.7,5009,"2473 of 3140"
"Walker County",01127,9.0,5800,"2567 of 3140"
"Morgan County",01103,9.3,11005,"2642 of 3140"
"Geneva County",01061,9.4,2456,"2647 of 3140"
"Lauderdale County",01077,9.4,8614,"2654 of 3140"
"Tuscaloosa County",01125,9.5,19282,"2694 of 3140"
"Mobile County",01097,10.0,40845,"2780 of 3140"
"Madison County",01089,10.1,35191,"2798 of 3140"
"Etowah County",01055,10.3,10488,"2831 of 3140"
"Lee County",01081,10.5,16266,"2871 of 3140"
"Calhoun County",01015,10.5,12036,"2874 of 3140"
"Jefferson County",01073,11.2,72705,"2954 of 3140"
"Montgomery County",01101,13.7,30667,"3105 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
