------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Alabama",01000,68.4,3317702,"39 of 52"
"United States",00000,73.0,234370202,"N/A"
"Macon County",01087,15.8,3060,"3130 of 3141"
"Greene County",01063,17.1,1459,"3127 of 3141"
"Bullock County",01011,21.9,2299,"3113 of 3141"
"Lowndes County",01085,24.7,2559,"3106 of 3141"
"Sumter County",01119,24.7,3235,"3105 of 3141"
"Wilcox County",01131,26.9,2937,"3099 of 3141"
"Dallas County",01047,28.2,11497,"3092 of 3141"
"Perry County",01105,29.7,2875,"3089 of 3141"
"Montgomery County",01101,37.0,84134,"3057 of 3141"
"Hale County",01065,39.5,5928,"3047 of 3141"
"Marengo County",01091,45.4,8954,"2996 of 3141"
"Barbour County",01005,46.6,12200,"2983 of 3141"
"Russell County",01113,50.6,29568,"2950 of 3141"
"Conecuh County",01035,51.3,6494,"2941 of 3141"
"Jefferson County",01073,52.1,343449,"2932 of 3141"
"Butler County",01013,52.4,10547,"2927 of 3141"
"Clarke County",01025,53.2,13108,"2918 of 3141"
"Monroe County",01099,55.1,11973,"2897 of 3141"
"Pickens County",01107,56.0,11305,"2881 of 3141"
"Choctaw County",01023,56.5,7456,"2875 of 3141"
"Pike County",01109,57.1,18995,"2867 of 3141"
"Chambers County",01017,57.7,19552,"2855 of 3141"
"Mobile County",01097,59.3,245542,"2830 of 3141"
"Escambia County",01053,61.4,23087,"2796 of 3141"
"Talladega County",01121,64.3,51980,"2719 of 3141"
"Tuscaloosa County",01125,64.7,132281,"2707 of 3141"
"Coosa County",01037,65.4,7165,"2694 of 3141"
"Washington County",01129,65.5,10970,"2689 of 3141"
"Madison County",01089,68.5,242114,"2605 of 3141"
"Houston County",01069,69.4,72271,"2577 of 3141"
"Tallapoosa County",01123,69.8,28455,"2566 of 3141"
"Lee County",01081,69.9,109481,"2560 of 3141"
"Henry County",01067,71.0,12144,"2533 of 3141"
"Crenshaw County",01041,71.5,9911,"2523 of 3141"
"Dale County",01045,73.3,36202,"2472 of 3141"
"Calhoun County",01015,74.6,86136,"2432 of 3141"
"Elmore County",01051,75.2,60877,"2405 of 3141"
"Coffee County",01031,76.3,38956,"2372 of 3141"
"Autauga County",01001,76.6,42159,"2365 of 3141"
"Bibb County",01007,76.7,17323,"2361 of 3141"
"Randolph County",01111,77.0,17341,"2348 of 3141"
"Lawrence County",01079,78.0,25978,"2307 of 3141"
"Colbert County",01033,79.6,43315,"2237 of 3141"
"Shelby County",01117,80.7,168535,"2181 of 3141"
"Etowah County",01055,80.9,83436,"2172 of 3141"
"Morgan County",01103,81.2,96748,"2162 of 3141"
"Limestone County",01083,81.6,74794,"2141 of 3141"
"Clay County",01027,83.2,11148,"2059 of 3141"
"Chilton County",01021,83.3,36497,"2047 of 3141"
"Covington County",01039,84.6,31758,"1989 of 3141"
"Fayette County",01057,85.5,14240,"1948 of 3141"
"Franklin County",01059,85.9,27055,"1924 of 3141"
"DeKalb County",01049,86.3,61415,"1893 of 3141"
"Baldwin County",01003,86.5,175961,"1874 of 3141"
"Geneva County",01061,86.6,23014,"1866 of 3141"
"Lauderdale County",01077,86.9,80456,"1846 of 3141"
"St. Clair County",01115,87.4,76026,"1809 of 3141"
"Lamar County",01075,87.5,12264,"1807 of 3141"
"Jackson County",01071,91.0,47628,"1447 of 3141"
"Walker County",01127,91.2,59223,"1428 of 3141"
"Marshall County",01095,92.6,87765,"1239 of 3141"
"Cherokee County",01019,93.1,24072,"1172 of 3141"
"Marion County",01093,93.3,28032,"1142 of 3141"
"Cleburne County",01029,94.6,14127,"909 of 3141"
"Blount County",01009,95.5,55045,"747 of 3141"
"Cullman County",01043,95.5,78056,"724 of 3141"
"Winston County",01133,96.5,23135,"473 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
