------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Alabama",01000,1.3,65028,"46 of 52"
"United States",00000,5.5,17756436,"N/A"
"Bibb County",01007,0.0,0,"2927 of 3141"
"Coosa County",01037,0.0,0,"2927 of 3141"
"Greene County",01063,0.0,0,"2927 of 3141"
"Henry County",01067,0.0,0,"2927 of 3141"
"Lamar County",01075,0.0,0,"2927 of 3141"
"Lowndes County",01085,0.0,0,"2927 of 3141"
"Marengo County",01091,0.0,0,"2927 of 3141"
"Wilcox County",01131,0.0,0,"2927 of 3141"
"Conecuh County",01035,0.0,4,"2897 of 3141"
"Clay County",01027,0.0,6,"2874 of 3141"
"Lawrence County",01079,0.1,18,"2864 of 3141"
"Choctaw County",01023,0.1,8,"2855 of 3141"
"Pickens County",01107,0.1,23,"2749 of 3141"
"Blount County",01009,0.1,84,"2687 of 3141"
"Hale County",01065,0.2,26,"2639 of 3141"
"Cherokee County",01019,0.2,50,"2596 of 3141"
"Macon County",01087,0.2,38,"2591 of 3141"
"Perry County",01105,0.2,23,"2514 of 3141"
"Marion County",01093,0.3,96,"2346 of 3141"
"Randolph County",01111,0.3,72,"2345 of 3141"
"Winston County",01133,0.4,89,"2223 of 3141"
"Tallapoosa County",01123,0.4,160,"2166 of 3141"
"Geneva County",01061,0.4,106,"2153 of 3141"
"Chilton County",01021,0.4,187,"2079 of 3141"
"Covington County",01039,0.4,166,"2035 of 3141"
"Fayette County",01057,0.5,78,"1972 of 3141"
"Walker County",01127,0.5,306,"1964 of 3141"
"Franklin County",01059,0.5,149,"1957 of 3141"
"Dallas County",01047,0.5,206,"1862 of 3141"
"Monroe County",01099,0.5,116,"1800 of 3141"
"Colbert County",01033,0.5,293,"1789 of 3141"
"Escambia County",01053,0.5,203,"1782 of 3141"
"Cleburne County",01029,0.5,81,"1772 of 3141"
"Elmore County",01051,0.6,461,"1726 of 3141"
"Jackson County",01071,0.6,305,"1696 of 3141"
"Clarke County",01025,0.6,149,"1654 of 3141"
"Talladega County",01121,0.6,491,"1651 of 3141"
"Marshall County",01095,0.6,582,"1636 of 3141"
"Barbour County",01005,0.6,165,"1598 of 3141"
"Cullman County",01043,0.6,531,"1561 of 3141"
"Baldwin County",01003,0.7,1405,"1488 of 3141"
"Bullock County",01011,0.7,73,"1473 of 3141"
"Morgan County",01103,0.7,834,"1466 of 3141"
"Lauderdale County",01077,0.7,649,"1464 of 3141"
"Etowah County",01055,0.8,777,"1360 of 3141"
"St. Clair County",01115,0.9,743,"1232 of 3141"
"Houston County",01069,0.9,921,"1196 of 3141"
"Washington County",01129,0.9,159,"1127 of 3141"
"Russell County",01113,1.0,564,"1109 of 3141"
"Chambers County",01017,1.0,339,"1079 of 3141"
"Calhoun County",01015,1.0,1156,"1076 of 3141"
"Autauga County",01001,1.0,559,"1058 of 3141"
"Dale County",01045,1.0,512,"1036 of 3141"
"Butler County",01013,1.1,224,"966 of 3141"
"DeKalb County",01049,1.2,848,"901 of 3141"
"Coffee County",01031,1.3,659,"825 of 3141"
"Limestone County",01083,1.3,1227,"803 of 3141"
"Crenshaw County",01041,1.4,194,"768 of 3141"
"Tuscaloosa County",01125,1.6,3202,"679 of 3141"
"Jefferson County",01073,1.6,10371,"675 of 3141"
"Shelby County",01117,1.9,4029,"560 of 3141"
"Mobile County",01097,2.0,8181,"545 of 3141"
"Pike County",01109,2.2,733,"482 of 3141"
"Montgomery County",01101,2.5,5618,"433 of 3141"
"Madison County",01089,2.7,9375,"389 of 3141"
"Sumter County",01119,3.0,392,"334 of 3141"
"Lee County",01081,3.8,6012,"242 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
