------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Alabama",01000,13.6,167495,"46 of 52"
"Shelby County",01117,5.0,2757,"241 of 3141"
"Baldwin County",01003,8.2,4090,"932 of 3141"
"Coosa County",01037,8.6,218,"1037 of 3141"
"Madison County",01089,10.2,9368,"1466 of 3141"
"Elmore County",01051,10.2,2142,"1474 of 3141"
"St. Clair County",01115,10.3,2417,"1486 of 3141"
"Autauga County",01001,10.9,1621,"1632 of 3141"
"Blount County",01009,11.1,1694,"1685 of 3141"
"Limestone County",01083,11.2,2590,"1717 of 3141"
"Lauderdale County",01077,11.3,2778,"1745 of 3141"
"Tuscaloosa County",01125,11.4,5359,"1754 of 3141"
"Henry County",01067,11.7,532,"1829 of 3141"
"Bibb County",01007,11.9,629,"1861 of 3141"
"Cleburne County",01029,12.2,472,"1932 of 3141"
"Cullman County",01043,12.3,2649,"1952 of 3141"
"Cherokee County",01019,12.8,967,"2057 of 3141"
"Colbert County",01033,12.9,1933,"2088 of 3141"
"Coffee County",01031,13.1,1761,"2124 of 3141"
"Covington County",01039,13.2,1363,"2145 of 3141"
"Lee County",01081,13.3,4956,"2163 of 3141"
"Crenshaw County",01041,13.5,486,"2197 of 3141"
"Lawrence County",01079,13.5,1262,"2205 of 3141"
"Fayette County",01057,13.7,674,"2251 of 3141"
"Jefferson County",01073,13.8,22862,"2263 of 3141"
"Etowah County",01055,13.9,3677,"2287 of 3141"
"Marion County",01093,13.9,1224,"2292 of 3141"
"Morgan County",01103,14.0,4413,"2297 of 3141"
"Chambers County",01017,14.0,1217,"2303 of 3141"
"Winston County",01133,14.2,893,"2323 of 3141"
"Houston County",01069,14.4,3738,"2363 of 3141"
"Randolph County",01111,14.7,890,"2397 of 3141"
"Calhoun County",01015,14.9,4580,"2432 of 3141"
"Clay County",01027,15.0,562,"2449 of 3141"
"Talladega County",01121,15.2,3231,"2479 of 3141"
"Mobile County",01097,15.3,15706,"2495 of 3141"
"Russell County",01113,15.4,2224,"2498 of 3141"
"Jackson County",01071,15.5,2188,"2517 of 3141"
"Dale County",01045,15.5,1970,"2520 of 3141"
"Marshall County",01095,15.8,3822,"2551 of 3141"
"Lamar County",01075,15.9,642,"2556 of 3141"
"Chilton County",01021,16.0,1909,"2567 of 3141"
"DeKalb County",01049,16.2,2906,"2586 of 3141"
"Walker County",01127,16.5,2907,"2625 of 3141"
"Montgomery County",01101,16.6,9355,"2645 of 3141"
"Washington County",01129,16.7,720,"2647 of 3141"
"Pike County",01109,16.7,1221,"2648 of 3141"
"Tallapoosa County",01123,16.8,1921,"2655 of 3141"
"Geneva County",01061,16.8,1269,"2665 of 3141"
"Choctaw County",01023,17.4,624,"2716 of 3141"
"Marengo County",01091,17.4,802,"2719 of 3141"
"Pickens County",01107,17.5,861,"2726 of 3141"
"Franklin County",01059,17.5,1401,"2733 of 3141"
"Clarke County",01025,17.8,1074,"2751 of 3141"
"Escambia County",01053,17.9,1527,"2765 of 3141"
"Butler County",01013,19.3,879,"2858 of 3141"
"Macon County",01087,20.4,940,"2911 of 3141"
"Barbour County",01005,20.5,1239,"2922 of 3141"
"Hale County",01065,21.2,777,"2956 of 3141"
"Conecuh County",01035,21.9,681,"2975 of 3141"
"Wilcox County",01131,23.1,542,"3005 of 3141"
"Lowndes County",01085,24.7,741,"3038 of 3141"
"Dallas County",01047,25.7,2647,"3055 of 3141"
"Monroe County",01099,26.6,1357,"3067 of 3141"
"Sumter County",01119,27.5,754,"3082 of 3141"
"Bullock County",01011,29.7,721,"3099 of 3141"
"Perry County",01105,30.3,548,"3101 of 3141"
"Greene County",01063,33.4,615,"3119 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
