------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Alabama",01000,14.7,481059,"45 of 52"
"Shelby County",01117,7.9,11226,"558 of 3141"
"Madison County",01089,9.2,22014,"829 of 3141"
"Baldwin County",01003,9.8,13997,"975 of 3141"
"Lee County",01081,10.1,9303,"1039 of 3141"
"Jefferson County",01073,10.6,47558,"1197 of 3141"
"Tuscaloosa County",01125,11.8,14807,"1458 of 3141"
"Autauga County",01001,12.3,4521,"1543 of 3141"
"Elmore County",01051,13.6,7531,"1773 of 3141"
"Mobile County",01097,13.7,37870,"1782 of 3141"
"Dale County",01045,14.0,4673,"1834 of 3141"
"Lauderdale County",01077,14.1,8934,"1855 of 3141"
"Montgomery County",01101,14.3,21382,"1885 of 3141"
"Coffee County",01031,14.6,5075,"1920 of 3141"
"Houston County",01069,14.7,10455,"1932 of 3141"
"St. Clair County",01115,15.8,9533,"2106 of 3141"
"Colbert County",01033,16.1,6181,"2144 of 3141"
"Limestone County",01083,16.3,10242,"2166 of 3141"
"Calhoun County",01015,16.8,13254,"2235 of 3141"
"Marengo County",01091,16.8,2279,"2241 of 3141"
"Etowah County",01055,16.9,12156,"2261 of 3141"
"Monroe County",01099,17.0,2513,"2269 of 3141"
"Russell County",01113,17.1,6618,"2282 of 3141"
"Sumter County",01119,17.3,1429,"2310 of 3141"
"Morgan County",01103,17.5,14330,"2331 of 3141"
"Washington County",01129,17.6,2038,"2342 of 3141"
"Bibb County",01007,17.9,2833,"2374 of 3141"
"Cullman County",01043,17.9,10147,"2375 of 3141"
"Covington County",01039,18.0,4743,"2380 of 3141"
"Chilton County",01021,18.2,5391,"2400 of 3141"
"Macon County",01087,18.4,2258,"2414 of 3141"
"Clarke County",01025,18.5,3136,"2428 of 3141"
"Jackson County",01071,18.6,6893,"2443 of 3141"
"Dallas County",01047,18.7,5025,"2458 of 3141"
"Hale County",01065,18.9,1925,"2479 of 3141"
"Butler County",01013,18.9,2645,"2480 of 3141"
"Pike County",01109,19.0,3725,"2481 of 3141"
"Escambia County",01053,19.0,4927,"2487 of 3141"
"Chambers County",01017,19.1,4537,"2501 of 3141"
"Tallapoosa County",01123,19.2,5486,"2507 of 3141"
"Marion County",01093,19.3,4134,"2521 of 3141"
"Henry County",01067,19.4,2348,"2528 of 3141"
"Talladega County",01121,19.5,10939,"2545 of 3141"
"Choctaw County",01023,19.9,1881,"2589 of 3141"
"Walker County",01127,20.0,9019,"2595 of 3141"
"Perry County",01105,20.0,1171,"2599 of 3141"
"Marshall County",01095,20.0,12661,"2602 of 3141"
"Pickens County",01107,20.2,2870,"2615 of 3141"
"Blount County",01009,20.2,7980,"2621 of 3141"
"Fayette County",01057,20.4,2385,"2635 of 3141"
"Lamar County",01075,20.5,2034,"2646 of 3141"
"Cherokee County",01019,20.5,3850,"2648 of 3141"
"Crenshaw County",01041,20.7,1981,"2663 of 3141"
"Wilcox County",01131,20.9,1511,"2680 of 3141"
"Conecuh County",01035,21.0,1842,"2691 of 3141"
"Geneva County",01061,21.0,3920,"2692 of 3141"
"Randolph County",01111,21.4,3344,"2741 of 3141"
"Lawrence County",01079,22.0,5136,"2789 of 3141"
"Winston County",01133,22.8,3929,"2845 of 3141"
"Coosa County",01037,23.2,1887,"2877 of 3141"
"Greene County",01063,23.4,1365,"2885 of 3141"
"Franklin County",01059,23.6,4903,"2901 of 3141"
"Lowndes County",01085,24.0,1698,"2916 of 3141"
"Cleburne County",01029,24.2,2512,"2928 of 3141"
"DeKalb County",01049,26.4,12571,"3016 of 3141"
"Clay County",01027,26.7,2525,"3026 of 3141"
"Barbour County",01005,26.9,4960,"3034 of 3141"
"Bullock County",01011,28.6,2113,"3061 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
